property_id,coordinates,StationID,min_route_dist_m,min_route_dur_s
17756081,POINT (145.1422129 -37.6966648),1752,140.52,17.88
17756076,POINT (142.1798352 -34.2350052),37021,801.6,104.62
17756067,POINT (143.8351286 -37.5267183),35050,187.2,39.11
17756062,POINT (145.0312135 -37.9265771),14946,556.21,84.24
17756054,POINT (145.1805232 -38.1030253),23006,227.1,43.76
17756050,POINT (144.347377 -38.1583628),30570,314.1,73.01
17756044,POINT (144.9854424 -37.8588157),19703,387.99,69.98
17756041,POINT (145.0243197 -37.7784729),46341,250.49,41.97
17756031,POINT (143.8842224 -37.5722148),35402,122.07,24.85
17756022,POINT (144.9988621 -37.8935137),4801,440.86,72.91
17755979,POINT (146.8762489 -36.1312526),37366,405.15,51.66
17755974,POINT (145.4013559 -38.0693371),48385,1343.84,183.25
17755969,POINT (145.0733585 -37.894348),vic:rail:HUG,341.59,81.98
17755956,POINT (144.9524267 -37.8142736),19549,331.86,63.85
17755955,POINT (143.8262033 -37.5278573),35042,329.63,40.35
17755954,POINT (145.0832823 -37.7193525),10961,334.16,38.81
17755953,POINT (145.0871945 -37.8908042),1968,418.3,50.82
17755944,POINT (144.7369764 -37.895152),4925,861.39,112.61
17755943,POINT (144.9521613 -37.8313948),340,193.05,44.39
17755941,POINT (145.0230065 -38.2699433),12340,208.33,28.14
17755925,POINT (145.3204405 -38.08586320000001),51290,367.61,88.22
17755924,POINT (145.0126532 -37.7610811),547,8.12,1.17
17755922,POINT (145.0102657 -37.852904),3944,206.15,37.44
17755915,POINT (144.5516736 -37.71303290000001),6622,2155.81,279.09
17755910,POINT (145.1784109 -37.9082691),13031,476.95,76.81
17755895,POINT (144.9471916 -37.8378228),47139,108.26,23.79
17755886,POINT (144.7610958 -37.6036479),20789,1172.64,155.89
17755876,POINT (144.7276672 -37.8546511),50079,349.8,52.08
17755871,POINT (144.939224 -37.5857967),21911,719.63,107.24
17755865,POINT (145.0154146 -37.8144176),19389,671.66,81.75
17755860,POINT (144.9447217 -37.8422364),47133,164.68,29.16
17755859,POINT (145.0131757 -37.8354262),20704,435.73,80.88
17755858,POINT (144.293165 -36.7702201),50458,200.94,29.03
17755853,POINT (145.1352155 -38.1370337),12075,139.08,33.38
17755843,POINT (144.9589035 -37.8082052),17856,343.4,47.13
17755836,POINT (144.9564083 -37.80531390000001),47741,135.86,22.98
17755835,POINT (144.9858169 -37.7968086),6051,110.84,26.6
17755817,POINT (144.9220471 -37.7207022),46531,157.72,37.85
17755807,POINT (144.9935025 -37.8381775),vic:rail:SYR,617.67,111.18
17755780,POINT (144.9288484 -37.6152002),42054,461.39,84.93
