property_id,coordinates,StationID,min_route_dist_m,min_route_dur_s
17739808,POINT (144.9948939 -37.86707579999999),18632,219.75,52.74
17739807,POINT (144.3245101 -36.7596874),50468,889.21,84.56
17739770,POINT (144.9617616 -37.55024239999999),28106,1321.29,147.43
17739763,POINT (145.2679431 -38.0236373),22014,88.44,13.9
17739759,POINT (145.0821167 -37.5895217),51047,580.47,61.64
17739758,POINT (145.0402681 -37.6591229),1573,320.74,76.97
17739706,POINT (144.8992771 -37.6032281),28223,331.42,75.2
17739684,POINT (144.9755273 -37.7794586),357,104.69,13.84
17739659,POINT (144.9309971 -37.7984107),7578,540.66,98.1
17739657,POINT (144.8945209 -37.7438827),19667,621.28,49.49
17739655,POINT (144.7569992 -37.7737785),47613,1091.09,119.57
17739650,POINT (144.8980011 -37.6752463),7292,215.16,44.61
17739624,POINT (145.0252445 -37.7750197),320,97.87,12.62
17739617,POINT (145.0796156 -37.9033855),13632,248.37,56.71
17739612,POINT (144.6584747 -37.8217584),28026,1724.67,229.35
17739611,POINT (145.1638662 -37.8073573),2845,154.37,20.29
17739597,POINT (145.0810628 -37.7470611),1708,620.23,91.67
17739590,POINT (144.6154058 -37.9028216),50141,631.57,80.98
17739579,POINT (148.0398393 -37.8641553),22857,1235.64,289.98
17739564,POINT (145.0013801 -37.7107557),12441,279.92,67.18
17739562,POINT (144.6861962 -37.7666317),,,
17739554,POINT (145.082269 -37.7460338),1708,411.74,61.65
17739550,POINT (146.5301962 -38.2041884),46122,312.18,37.46
17739543,POINT (144.3075348 -38.3229437),28604,609.87,89.85
17739528,POINT (147.4212659 -38.1921996),37849,3187.61,294.11
17739527,POINT (145.122304 -37.8166364),46878,161.66,38.79
17739502,POINT (144.992657 -37.765925),4468,125.17,26.65
17739496,POINT (145.3358109 -38.0812763),27929,866.21,143.01
17739485,POINT (145.0527993 -37.7403189),31,117.46,25.65
17739479,POINT (144.9719884 -37.8159704),18092,234.63,32.87
17739476,POINT (145.2917417 -38.1152271),49867,454.6,49.94
17739475,POINT (145.3444707 -38.1243195),51596,1190.25,181.68
17739387,POINT (145.2127549 -37.9718475),448,324.52,75.91
17739333,POINT (144.9625618 -37.4712246),51630,1085.52,96.79
17739326,POINT (145.0257262 -37.7843051),19289,516.54,80.89
17739294,POINT (145.0686973 -37.8924049),13727,301.89,81.27
17739266,POINT (145.0389211 -37.8739957),18650,293.73,63.66
17739246,POINT (144.965384 -37.4803596),51630,1802.06,144.18
17739235,POINT (144.9681257 -37.8041016),345,260.33,39.15
17739232,POINT (142.5286878 -37.1576348),51744,85.96,5.63
17739231,POINT (144.7739846 -37.6149642),20789,2815.62,225.87
17739225,POINT (144.6967897 -37.8143543),28537,3128.31,362.89
17739224,POINT (145.120326 -37.9075895),6422,233.4,27.86
17739223,POINT (145.0051845 -37.9408582),11615,432.5,102.97
17739192,POINT (145.0107953 -37.8529856),3944,158.81,26.08
17739188,POINT (145.2252746 -37.8130592),4439,227.85,32.81
17739186,POINT (145.008908 -37.8111571),19386,131.06,22.69
17739182,POINT (146.2945697 -38.1804039),32204,366.8,44.19
17739179,POINT (146.4205787 -38.2377317),32055,299.08,56.49
17739173,POINT (145.4081531 -36.3455209),43594,230.64,38.33
17739169,POINT (146.4020669 -38.3098163),43139,1618.05,209.34
17739165,POINT (145.130105 -37.822334),6196,204.26,16.34
17739139,POINT (144.3032351 -38.1407129),30238,2226.04,296.49
17739111,POINT (145.2240746 -37.8121385),28061,342.51,47.75
17739090,POINT (144.9553466 -37.8132589),10921,235.97,36.58
