property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,suburb,year,quarter,address
17289557,820.0,3,2,2,Townhouse,glen waverley-mulgrave,2024,4,"Chivers Avenue Glen, Waverley, VIC 3150"
17293566,750.0,3,2,2,Townhouse,vermont south,2024,4,"240 Morack Road Vermont, South, VIC 3133"
17293660,600.0,3,2,2,Apartment / Unit / Flat,nunawading-mitcham,2024,4,"54 Mount Pleasant Road, Nunawading, VIC 3131"
10219843,500.0,4,1,1,House,west footscray,2024,4,"Hansen Street West, Footscray, VIC 3012"
14712194,620.0,3,1,4,House,west footscray,2024,4,"Pitt Street West, Footscray, VIC 3012"
16301657,490.0,2,2,1,Apartment / Unit / Flat,west footscray,2024,4,"699c Barkly Street West, Footscray, VIC 3012"
16656804,330.0,1,1,1,Apartment / Unit / Flat,west footscray,2024,4,"27 Clarendon Parade West, Footscray, VIC 3012"
17324762,460.0,2,1,1,Apartment / Unit / Flat,west footscray,2024,4,"15 Beaumont Parade West, Footscray, VIC 3012"
17334585,450.0,2,1,1,Apartment / Unit / Flat,west footscray,2024,4,"32 Beaumont Parade West, Footscray, VIC 3012"
17337471,330.0,1,1,1,Apartment / Unit / Flat,west footscray,2024,4,"1 Argyle Street West, Footscray, VIC 3012"
17339729,610.0,3,2,1,House,west footscray,2024,4,"Hex Street West, Footscray, VIC 3012"
17339902,535.0,2,2,1,Apartment / Unit / Flat,west footscray,2024,4,"172 Rupert Street West, Footscray, VIC 3012"
17341427,745.0,4,1,2,House,west footscray,2024,4,"Dove Street West, Footscray, VIC 3012"
17342577,185.0,1,1,2,House,west footscray,2024,4,"103 Stanhope Street West, Footscray, VIC 3012"
17344328,560.0,2,2,1,Townhouse,west footscray,2024,4,"711 Barkly Street West, Footscray, VIC 3012"
17347747,650.0,3,2,1,Townhouse,west footscray,2024,4,"Highbury Street West, Footscray, VIC 3012"
17348550,680.0,3,2,2,House,west footscray,2024,4,"Clive Street West, Footscray, VIC 3012"
17348568,400.0,1,1,1,Apartment / Unit / Flat,west footscray,2024,4,"34 Beaumont Parade West, Footscray, VIC 3012"
17348730,420.0,1,1,1,Apartment / Unit / Flat,west footscray,2024,4,"709 Barkly Street West, Footscray, VIC 3012"
17348940,550.0,3,1,1,Apartment / Unit / Flat,west footscray,2024,4,"695 Barkly Street West, Footscray, VIC 3012"
17349248,450.0,1,1,1,Apartment / Unit / Flat,west footscray,2024,4,"172 Rupert St West, Footscray, VIC 3012"
17349521,280.0,1,1,1,Apartment / Unit / Flat,west footscray,2024,4,"15 Clarendon Parade West, Footscray, VIC 3012"
17350877,490.0,2,2,1,Townhouse,west footscray,2024,4,"630 Barkly Street West, Footscray, VIC 3012"
15361990,750.0,4,2,2,House,wheelers hill,2024,4,"Hibiscus Drive Wheelers, Hill, VIC 3150"
15631144,600.0,4,2,1,House,wheelers hill,2024,4,"Brahmin Avenue Wheelers, Hill, VIC 3150"
16127510,560.0,3,1,1,House,wheelers hill,2024,4,"Lum Road Wheelers, Hill, VIC 3150"
16166197,580.0,3,2,3,House,wheelers hill,2024,4,"Brandon Park Drive Wheelers, Hill, VIC 3150"
