property_id,url,rental_price,bedrooms,bathrooms,car_spaces,property_type,land_area,property_features,suburb,postcode,scraped_date,wayback_url,wayback_time
15021233,/701-115-swanston-street-melbourne-vic-3000-15021233,$380 per week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/701-115-swanston-street-melbourne-vic-3000-15021233,20221206164621
15287220,/1001-594-st-kilda-road-melbourne-vic-3000-15287220,$440 per week,1,1,1,Apartment / Unit / Flat,0,"1, ,1, ,1,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/1001-594-st-kilda-road-melbourne-vic-3000-15287220,20221206164621
15540233,/5418-228-la-trobe-street-melbourne-vic-3000-15540233,$860 per week,2,2,,Apartment / Unit / Flat,0,"2, ,2, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/5418-228-la-trobe-street-melbourne-vic-3000-15540233,20221206164621
15850115,/902-280-spencer-street-melbourne-vic-3000-15850115,$450 per week,1,1,1,Apartment / Unit / Flat,0,"1, ,1, ,1,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/902-280-spencer-street-melbourne-vic-3000-15850115,20221206164621
16176991,/1402-8-downie-street-melbourne-vic-3000-16176991,$410 per week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/1402-8-downie-street-melbourne-vic-3000-16176991,20221206164621
16206133,/4502-500-elizabeth-street-melbourne-vic-3000-16206133,$600 per week,2,1,,Apartment / Unit / Flat,0,"2, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/4502-500-elizabeth-street-melbourne-vic-3000-16206133,20221206164621
16206693,/803-225-elizabeth-street-melbourne-vic-3000-16206693,$550.00 per week,2,1,1,Apartment / Unit / Flat,0,"2, ,1, ,1,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/803-225-elizabeth-street-melbourne-vic-3000-16206693,20221206164621
16212791,/411b-399-bourke-street-melbourne-vic-3000-16212791,$350 per week,1,1,,Studio,0,"1, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/411b-399-bourke-street-melbourne-vic-3000-16212791,20221206164621
16213501,/1902-199-william-street-melbourne-vic-3000-16213501,$600,2,1,,Apartment / Unit / Flat,0,"2, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/1902-199-william-street-melbourne-vic-3000-16213501,20221206164621
16213716,/204-8-exploration-lane-melbourne-vic-3000-16213716,$440 per week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/204-8-exploration-lane-melbourne-vic-3000-16213716,20221206164621
16214960,/511-106-a-beckett-street-melbourne-vic-3000-16214960,$320 Per Week,,1,,Apartment / Unit / Flat,0,", ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/511-106-a-beckett-street-melbourne-vic-3000-16214960,20221206164621
16215678,/903-639-little-bourke-street-melbourne-vic-3000-16215678,$690,2,1,,Apartment / Unit / Flat,0,"2, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/903-639-little-bourke-street-melbourne-vic-3000-16215678,20221206164621
16215717,/1402-380-little-lonsdale-street-melbourne-vic-3000-16215717,$570.00,2,1,1,Apartment / Unit / Flat,0,"2, ,1, ,1,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/1402-380-little-lonsdale-street-melbourne-vic-3000-16215717,20221206164621
16216162,/504-390-little-collins-street-melbourne-vic-3000-16216162,$720.00 per week,2,2,,Apartment / Unit / Flat,0,"2, ,2, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/504-390-little-collins-street-melbourne-vic-3000-16216162,20221206164621
16216487,/3106-380-little-lonsdale-street-melbourne-vic-3000-16216487,$675,2,2,1,Apartment / Unit / Flat,0,"2, ,2, ,1,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/3106-380-little-lonsdale-street-melbourne-vic-3000-16216487,20221206164621
16217738,/1903-25-33-wills-street-melbourne-vic-3000-16217738,$450 per week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/1903-25-33-wills-street-melbourne-vic-3000-16217738,20221206164621
16218694,/11-187-collins-street-melbourne-vic-3000-16218694,$670,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/11-187-collins-street-melbourne-vic-3000-16218694,20221206164621
16220837,/1410-565-flinders-street-melbourne-vic-3000-16220837,$425 per week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/1410-565-flinders-street-melbourne-vic-3000-16220837,20221206164621
16221168,/108-20-26-coromandel-place-melbourne-vic-3000-16221168,"$1,956",2,1,,Apartment / Unit / Flat,0,"2, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/108-20-26-coromandel-place-melbourne-vic-3000-16221168,20221206164621
16222017,/3905-28-timothy-lane-melbourne-vic-3000-16222017,$900 per week,3,2,1,Apartment / Unit / Flat,0,"3, ,2, ,1,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/3905-28-timothy-lane-melbourne-vic-3000-16222017,20221206164621
16222283,/303-551-flinders-lane-melbourne-vic-3000-16222283,$325 per week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/303-551-flinders-lane-melbourne-vic-3000-16222283,20221206164621
16222998,/63-416a-st-kilda-road-melbourne-vic-3000-16222998,$725,3,1,1,Apartment / Unit / Flat,0,"3, ,1, ,1,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/63-416a-st-kilda-road-melbourne-vic-3000-16222998,20221206164621
16223740,/17-2-exhibition-street-melbourne-vic-3000-16223740,$500.00,1,1,1,Apartment / Unit / Flat,0,"1, ,1, ,1,",MELBOURNE,3000,2022-12-06 16:46:21,https://web.archive.org/web/20221206164621/https://www.domain.com.au/17-2-exhibition-street-melbourne-vic-3000-16223740,20221206164621
