property_id,coordinates,driving_5min,driving_10min,driving_15min,walking_5min,walking_10min,walking_15min
15788023,POINT (144.78034 -37.846022),,,,,,
15862607,POINT (144.774885 -37.853208),,,,,,
15863823,POINT (144.77046 -37.853644),,,,,,
15836918,POINT (144.765289 -37.793039),,,,,,
15933305,POINT (144.770883 -37.789127),,,,,,
15124854,POINT (144.756895 -37.788976),,,,,,
15951994,POINT (144.76977 -37.795451),,,,,,
15892451,POINT (144.661343 -37.89479),,,,,,
15900101,POINT (144.661343 -37.89479),,,,,,
15512662,POINT (144.678625 -37.889682),,,,,,
15900132,POINT (144.661343 -37.89479),,,,,,
15839505,POINT (144.661343 -37.89479),,,,,,
15892406,POINT (144.661343 -37.89479),,,,,,
15965364,POINT (144.660558 -37.90695),,,,,,
15920359,POINT (144.869616 -37.810322),,,,,,
15964577,POINT (144.867726 -37.796442),,,,,,
15854193,POINT (144.865153 -37.795062),,,,,,
15889118,POINT (144.865937 -37.793094),,,,,,
15870086,POINT (144.869462 -37.795089),,,,,,
15887146,POINT (144.86814 -37.793225),,,,,,
15861585,POINT (144.867203 -37.798019),,,,,,
15885776,POINT (144.869528 -37.797507),,,,,,
15932865,POINT (144.875023 -37.810332),,,,,,
15951646,POINT (144.81743 -37.872426),,,,,,
15957922,POINT (144.742667 -37.853561),,,,,,
15888377,POINT (144.731413 -37.849626),,,,,,
15884134,POINT (144.726797 -37.825555),,,,,,
15591377,POINT (144.722676 -37.847909),,,,,,
15879221,POINT (144.75 -37.81667),,,,,,
15868269,POINT (144.726448 -37.839804),,,,,,
15881630,POINT (144.720603 -37.864211),,,,,,
15847970,POINT (144.75 -37.81667),,,,,,
15888493,POINT (144.724283 -37.866012),,,,,,
15885930,POINT (144.740368 -37.843693),,,,,,
15964355,POINT (144.678391 -37.825233),,,,,,
15946690,POINT (144.685081 -37.842363),,,,,,
15912987,POINT (144.655511 -37.865307),,,,,,
15857332,POINT (144.658229 -37.833257),,,,,,
15950118,POINT (144.68861 -37.818797),,,,,,
15539910,POINT (144.677199 -37.840386),,,,,,
15960836,POINT (144.689125 -37.838485),,,,,,
15936592,POINT (144.660106 -37.833822),,,,,,
15036400,POINT (144.67516 -37.823541),,,,,,
15287717,POINT (144.674583 -37.829615),,,,,,
15956406,POINT (144.666343 -37.841162),,,,,,
15949150,POINT (144.575352 -38.175928),,,,,,
15254769,POINT (144.454355 -38.200142),,,,,,
15932454,POINT (144.477256 -38.177341),,,,,,
15953369,POINT (144.551945 -38.161308),,,,,,
15381749,POINT (145.324668 -37.787695),,,,,,
15902716,POINT (145.311913 -37.785739),,,,,,
14172567,POINT (145.307332 -37.788455),,,,,,
15364804,POINT (145.309519 -37.78808),,,,,,
15892019,POINT (145.355734 -37.80634),,,,,,
15830442,POINT (145.340667 -37.757273),,,,,,
15833349,POINT (145.293538 -37.758391),,,,,,
15868939,POINT (145.302481 -37.720658),,,,,,
15895147,POINT (145.307552 -37.759002),,,,,,
8431359,POINT (145.055547 -37.714405),,,,,,
8564173,POINT (145.055547 -37.714405),,,,,,
8642387,POINT (145.055547 -37.714405),,,,,,
15949136,POINT (145.060733 -37.71752),,,,,,
15938534,POINT (145.084464 -37.717933),,,,,,
9466547,POINT (145.055547 -37.714405),,,,,,
8643194,POINT (145.055547 -37.714405),,,,,,
8643195,POINT (145.055547 -37.714405),,,,,,
15877849,POINT (146.296808 -36.908543),,,,,,
15894103,POINT (146.087931 -37.049658),,,,,,
15909379,POINT (146.091899 -37.056813),,,,,,
15936513,POINT (146.072294 -37.050656),,,,,,
15906835,POINT (146.069479 -37.178986),,,,,,
15792837,POINT (143.667259 -38.747085),,,,,,
14682885,POINT (144.556284 -37.716333),,,,,,
15906484,POINT (145.065064 -37.990008),,,,,,
15914654,POINT (145.063592 -37.983122),,,,,,
15963268,POINT (145.061126 -37.982025),,,,,,
15869584,POINT (142.16303 -34.18836),,,,,,
15895173,POINT (142.137883 -34.195325),,,,,,
15899344,POINT (142.135828 -34.231772),,,,,,
15905002,POINT (142.167346 -34.18809),,,,,,
15903066,POINT (142.149455 -34.20978),,,,,,
15902042,POINT (142.141463 -34.210958),,,,,,
15901263,POINT (142.14333 -34.191381),,,,,,
15901276,POINT (142.161354 -34.181071),,,,,,
13874155,POINT (145.051256 -37.652751),,,,,,
15849612,POINT (145.051519 -37.663326),,,,,,
15876095,POINT (145.068818 -37.670226),,,,,,
14421898,POINT (145.04143 -37.664817),,,,,,
15865178,POINT (145.077403 -37.653605),,,,,,
15891114,POINT (145.07173 -37.67175),,,,,,
15113347,POINT (145.047392 -37.659532),,,,,,
15887987,POINT (145.051826 -37.665452),,,,,,
15891094,POINT (145.077251 -37.672734),,,,,,
15918826,POINT (146.158927 -38.399466),,,,,,
15942963,POINT (146.101787 -38.409078),,,,,,
15815665,POINT (146.13333 -38.45),,,,,,
15943769,POINT (145.940966 -38.481421),,,,,,
15954386,POINT (146.244545 -38.176786),,,,,,
15951789,POINT (146.245918 -38.191876),,,,,,
15202825,POINT (146.25783 -38.188009),,,,,,
15950702,POINT (146.253581 -38.180828),,,,,,
15939762,POINT (146.261673 -38.183821),,,,,,
15897752,POINT (146.242686 -38.183206),,,,,,
15955093,POINT (146.149402 -38.208422),,,,,,
14362372,POINT (145.323405 -37.855963),,,,,,
15871551,POINT (145.326391 -37.798072),,,,,,
15879403,POINT (145.322639 -37.802769),,,,,,
15861470,POINT (145.356723 -37.846021),,,,,,
15947510,POINT (144.927955 -37.761951),,,,,,
15949209,POINT (144.905827 -37.760526),,,,,,
14949212,POINT (144.920962 -37.763993),,,,,,
15952000,POINT (144.920783 -37.759127),,,,,,
15929646,POINT (144.911561 -37.765741),,,,,,
15946405,POINT (144.918622 -37.769944),,,,,,
15903192,POINT (144.916646 -37.769994),,,,,,
15942838,POINT (145.051166 -38.222445),,,,,,
15945975,POINT (145.040097 -38.218219),,,,,,
14559145,POINT (145.046232 -38.225774),,,,,,
15946634,POINT (145.033979 -38.243079),,,,,,
15937259,POINT (145.041714 -38.220287),,,,,,
15942726,POINT (145.031909 -38.237502),,,,,,
15913515,POINT (145.067768 -38.242012),,,,,,
12167003,POINT (145.170404 -37.928201),,,,,,
15920980,POINT (145.148603 -37.926054),,,,,,
15949622,POINT (145.188599 -37.93071),,,,,,
15968657,POINT (145.192062 -37.930696),,,,,,
15962151,POINT (145.19012 -37.925812),,,,,,
15959450,POINT (145.172074 -37.932816),,,,,,
15956244,POINT (145.158009 -37.92653),,,,,,
15957214,POINT (145.205372 -37.937091),,,,,,
15965460,POINT (145.015804 -36.584789),,,,,,
15965541,POINT (145.150113 -36.631749),,,,,,
12274829,POINT (145.311361 -38.032861),,,,,,
14720849,POINT (145.297966 -38.008307),,,,,,
15938388,POINT (145.30205 -38.027296),,,,,,
15933019,POINT (145.317518 -38.043423),,,,,,
15926299,POINT (145.296914 -38.01416),,,,,,
15956063,POINT (145.289384 -38.021288),,,,,,
15960850,POINT (145.307435 -38.014548),,,,,,
15960117,POINT (145.288908 -38.010628),,,,,,
15952877,POINT (145.30751 -38.036188),,,,,,
15890562,POINT (147.728668 -37.903861),,,,,,
15891442,POINT (147.715909 -37.911812),,,,,,
15879262,POINT (147.650027 -37.818645),,,,,,
15879301,POINT (147.631606 -37.966095),,,,,,
15889781,POINT (147.593087 -37.823993),,,,,,
15888384,POINT (144.88661 -37.847598),,,,,,
15892116,POINT (144.882222 -37.837628),,,,,,
