property_id,coordinates,driving_5min,driving_10min,driving_15min,walking_5min,walking_10min,walking_15min
17742326,POINT (-37.8952519 144.7378547),,,,,,
17598768,POINT (-37.9023241 144.7392628),,,,,,
16752662,POINT (-37.9024897 144.7338326),,,,,,
17659848,POINT (-37.9089093 144.7477688),,,,,,
17664425,POINT (-37.90894890000001 144.7702894),,,,,,
17742263,POINT (-37.9104858 144.7592687),,,,,,
13513032,POINT (-37.9144463 144.7852334),,,,,,
12752808,POINT (-37.9089918 144.7726612),,,,,,
17711209,POINT (-37.8976784 144.7336733),,,,,,
15851588,POINT (-37.8919438 144.7300858),,,,,,
17741885,POINT (-37.9125642 144.7472966),,,,,,
17753160,POINT (-37.89820450000001 144.732147),,,,,,
17669282,POINT (-37.8814916 144.7219078),,,,,,
17752104,POINT (-37.9075397 144.7294086),,,,,,
17687300,POINT (-37.9045441 144.7294333),,,,,,
17190089,POINT (-37.9067534 144.7203851),,,,,,
17740861,POINT (-37.9001446 144.7197094),,,,,,
17742486,POINT (-37.8824048 144.7112679),,,,,,
17755327,POINT (-37.9098084 144.7160942),,,,,,
16864525,POINT (-37.8829938 144.7141391),,,,,,
17150971,POINT (-37.8998494 144.7274982),,,,,,
17727846,POINT (-37.8995657 144.7258434),,,,,,
17717188,POINT (-37.9057946 144.7180439),,,,,,
17607566,POINT (-37.9119674 144.7666305),,,,,,
17746588,POINT (-37.9084049 144.7708274),,,,,,
17751280,POINT (-37.9071326 144.7230555),,,,,,
17732986,POINT (-37.9010403 144.7371099),,,,,,
17719279,POINT (-37.8783153 144.7231882),,,,,,
17718328,POINT (-37.8752091 144.7347139),,,,,,
17750496,POINT (-37.8955471 144.7779152),,,,,,
17743235,POINT (-37.8871849 144.737483),,,,,,
16627396,POINT (-37.8935324 144.7120956),,,,,,
17732931,POINT (-37.90833930000001 144.7767347),,,,,,
17710047,POINT (-37.8847848 144.7134575),,,,,,
17743926,POINT (-37.8976274 144.7440103),,,,,,
17646067,POINT (-37.8923005 144.7300621),,,,,,
17755257,POINT (-37.9127201 144.7580608),,,,,,
17758451,POINT (-37.892789 144.7146276),,,,,,
17726728,POINT (-37.9146796 144.7875059),,,,,,
17593471,POINT (-37.9154811 144.7881106),,,,,,
15587987,POINT (-37.8781007 144.7400117),,,,,,
17702188,POINT (-37.9042513 144.7597364),,,,,,
17724604,POINT (-37.9100034 144.7603833),,,,,,
15391720,POINT (-37.9092503 144.7506224),,,,,,
17731761,POINT (-37.8868368 144.7318988),,,,,,
17727699,POINT (-37.8899355 144.7127778),,,,,,
17352404,POINT (-37.8909792 144.7332332),,,,,,
17718452,POINT (-37.9078801 144.7663468),,,,,,
15315045,POINT (-37.9157862 144.7873319),,,,,,
17753737,POINT (-37.90214570000001 144.7226472),,,,,,
16859218,POINT (-37.9033152 144.7327726),,,,,,
17757146,POINT (-37.8986887 144.7354077),,,,,,
17744676,POINT (-37.9017451 144.7305214),,,,,,
17746803,POINT (-37.8924476 144.7512705),,,,,,
17022027,POINT (-37.893771 144.7136398),,,,,,
17745444,POINT (-37.9084393 144.7192673),,,,,,
9799179,POINT (-37.91492530000001 144.781225),,,,,,
17744214,POINT (-37.9062855 144.7716759),,,,,,
17750481,POINT (-37.8904854 144.7304262),,,,,,
17729981,POINT (-37.88608809999999 144.7130512),,,,,,
17741725,POINT (-37.89331019999999 144.733145),,,,,,
17062480,POINT (-37.8937759 144.730108),,,,,,
17746116,POINT (-37.88865759999999 144.7460401),,,,,,
17755944,POINT (-37.895152 144.7369764),,,,,,
17479079,POINT (-37.8868871 144.7113209),,,,,,
17755727,POINT (-37.908372 144.7706805),,,,,,
17746055,POINT (-37.9122402 144.7503965),,,,,,
17672874,POINT (-37.9040853 144.7616475),,,,,,
17724675,POINT (-37.9148046 144.7651926),,,,,,
17756201,POINT (-37.9041793 144.7162607),,,,,,
17726598,POINT (-37.9094111 144.7324339),,,,,,
17720115,POINT (-38.2652991 144.605636),,,,,,
17747278,POINT (-38.2674813 144.6110256),,,,,,
17663625,POINT (-37.6775946 144.6991802),,,,,,
16529978,POINT (-38.670443 146.6939248),,,,,,
17738014,POINT (-37.8413105 144.9412339),,,,,,
17538541,POINT (-37.842164 144.939974),,,,,,
17595819,POINT (-37.8283864 144.9479705),,,,,,
17738061,POINT (-37.8382134 144.9389113),,,,,,
17756505,POINT (-37.8443239 144.9437223),,,,,,
17049980,POINT (-37.8338326 144.9200618),,,,,,
17750976,POINT (-37.83422729999999 144.9196085),,,,,,
17741519,POINT (-37.84207500000001 144.9444458),,,,,,
17736527,POINT (-37.8318155 144.9437946),,,,,,
17637316,POINT (-37.8438951 144.9444928),,,,,,
17751954,POINT (-37.8416519 144.9357508),,,,,,
17755860,POINT (-37.8422364 144.9447217),,,,,,
14853057,POINT (-37.8348291 144.9486637),,,,,,
17676363,POINT (-37.8281833 144.9426087),,,,,,
17735504,POINT (-37.8421494 144.9405789),,,,,,
17758552,POINT (-37.8332859 144.9258893),,,,,,
17576411,POINT (-37.8436672 144.9412376),,,,,,
17716622,POINT (-37.8286598 144.9424082),,,,,,
17538540,POINT (-37.8421512 144.9399802),,,,,,
17736447,POINT (-37.8361738 144.9161202),,,,,,
15892044,POINT (-37.843244 144.9429132),,,,,,
17731574,POINT (-37.8409433 144.9404951),,,,,,
13202315,POINT (-37.8343665 144.9360983),,,,,,
17608836,POINT (-37.8416352 144.9374997),,,,,,
17750339,POINT (-37.8400723 144.9399577),,,,,,
17707379,POINT (-37.8415973 144.9380163),,,,,,
17735689,POINT (-37.8413567 144.9455927),,,,,,
17728536,POINT (-37.8339434 144.9368982),,,,,,
17745609,POINT (-37.8339884 144.9199784),,,,,,
17751685,POINT (-37.8362275 144.9161544),,,,,,
17755895,POINT (-37.8378228 144.9471916),,,,,,
17656988,POINT (-37.8378621 144.9422229),,,,,,
17757571,POINT (-37.8292563 144.9438616),,,,,,
17717850,POINT (-37.8419693 144.9364158),,,,,,
17745630,POINT (-37.8339884 144.9199784),,,,,,
17516943,POINT (-37.8402107 144.9393232),,,,,,
17742802,POINT (-37.840225 144.935013),,,,,,
17694628,POINT (-37.8368427 144.9279877),,,,,,
17742540,POINT (-38.1149865 144.6489379),,,,,,
17675829,POINT (-38.1206007 144.6364772),,,,,,
16498515,POINT (-38.1217988 144.6684866),,,,,,
17125043,POINT (-38.1148891 144.6481671),,,,,,
17736966,POINT (-38.122349 144.6333298),,,,,,
17685962,POINT (-38.6986127 146.4621164),,,,,,
17642814,POINT (-38.3889264 142.223425),,,,,,
17741679,POINT (-36.7025244 146.9229024),,,,,,
17757740,POINT (-38.367694 141.5956898),,,,,,
17687623,POINT (-38.3162238 141.5957328),,,,,,
17743985,POINT (-38.358623 141.614483),,,,,,
17752899,POINT (-38.3431244 141.6023299),,,,,,
17714633,POINT (-38.3670309 141.5935874),,,,,,
17647221,POINT (-38.3259937 144.7103082),,,,,,
17755922,POINT (-37.852904 145.0102657),,,,,,
17747848,POINT (-37.8507628 145.0019223),,,,,,
17719931,POINT (-37.8575569 145.0070227),,,,,,
17271249,POINT (-37.855327 145.0032087),,,,,,
17748520,POINT (-37.8533921 145.005703),,,,,,
17752173,POINT (-37.8504329 144.9900137),,,,,,
17748157,POINT (-37.8509195 145.0044635),,,,,,
17742306,POINT (-37.8520563 144.9883682),,,,,,
17736217,POINT (-37.8499018 145.0080147),,,,,,
17737968,POINT (-37.8464387 144.9853179),,,,,,
17752253,POINT (-37.8577838 144.9986376),,,,,,
17649456,POINT (-37.8518689 144.9947717),,,,,,
17742447,POINT (-37.8496177 144.9904793),,,,,,
17691086,POINT (-37.8479962 144.991094),,,,,,
17744843,POINT (-37.854849 144.9955247),,,,,,
17729535,POINT (-37.8514286 144.9978699),,,,,,
17751447,POINT (-37.8510908 144.996319),,,,,,
17481176,POINT (-37.8583714 145.0068556),,,,,,
17693030,POINT (-37.85814860000001 145.006446),,,,,,
17608806,POINT (-37.8495225 145.0082574),,,,,,
14777988,POINT (-37.8563538 145.0016353),,,,,,
17739192,POINT (-37.8529856 145.0107953),,,,,,
17738399,POINT (-37.8504609 145.0080459),,,,,,
17744049,POINT (-37.8505533 144.9900602),,,,,,
17688694,POINT (-37.8513524 145.0078777),,,,,,
17720006,POINT (-37.8510518 145.0083579),,,,,,
17647691,POINT (-37.8488303 144.9995655),,,,,,
17686413,POINT (-37.8561606 144.9992535),,,,,,
17722525,POINT (-37.8587938 145.0023782),,,,,,
8638308,POINT (-37.8485067 144.9903284),,,,,,
17694552,POINT (-37.8565502 145.0020169),,,,,,
17758369,POINT (-37.8597813 145.0097362),,,,,,
17747824,POINT (-37.8532061 145.004641),,,,,,
9367743,POINT (-37.8485067 144.9903284),,,,,,
17758380,POINT (-37.8485067 144.9903284),,,,,,
9854032,POINT (-37.8503789 144.9860072),,,,,,
17742364,POINT (-37.8583778 144.9993075),,,,,,
17745261,POINT (-37.8516973 144.9952972),,,,,,
14844786,POINT (-37.8477986 144.9947556),,,,,,
17753453,POINT (-37.8558989 145.0059705),,,,,,
17738145,POINT (-37.7350839 145.0275591),,,,,,
17755451,POINT (-37.7407295 145.018408),,,,,,
16699336,POINT (-37.7390531 145.0116153),,,,,,
17466443,POINT (-37.7407838 145.0057909),,,,,,
17753285,POINT (-37.735356 145.0049807),,,,,,
17119325,POINT (-37.7445401 144.9997768),,,,,,
17113382,POINT (-37.7498589 145.0035615),,,,,,
17726003,POINT (-37.7332234 145.0311901),,,,,,
17580048,POINT (-37.7372951 145.010241),,,,,,
17461460,POINT (-37.730052 144.994142),,,,,,
16451268,POINT (-37.7404932 144.999752),,,,,,
17715034,POINT (-37.738007 145.0242036),,,,,,
17745726,POINT (-37.7447025 145.0008412),,,,,,
17303144,POINT (-37.7413821 144.988084),,,,,,
17741944,POINT (-37.731725 144.99355),,,,,,
17729255,POINT (-37.7298274 144.9986665),,,,,,
17744849,POINT (-37.7324308 144.9857039),,,,,,
17750436,POINT (-37.752102 145.011361),,,,,,
17723091,POINT (-37.7381345 145.0105879),,,,,,
17735342,POINT (-37.748932 145.0167641),,,,,,
17179537,POINT (-37.7445401 144.9997768),,,,,,
15328464,POINT (-37.73385409999999 145.0072076),,,,,,
17730310,POINT (-37.7331967 145.0124304),,,,,,
17746538,POINT (-37.75054009999999 144.9882798),,,,,,
17754882,POINT (-37.7378486 144.9982148),,,,,,
17742412,POINT (-37.736687 145.002508),,,,,,
17736268,POINT (-37.7348609 145.0057554),,,,,,
17736488,POINT (-37.7453431 144.9995301),,,,,,
17753974,POINT (-37.731181 144.9996887),,,,,,
17749157,POINT (-37.7361681 144.9944913),,,,,,
17750130,POINT (-37.7333671 145.0315584),,,,,,
17693392,POINT (-37.7516913 145.0153028),,,,,,
17752242,POINT (-37.7498589 145.0035615),,,,,,
16802267,POINT (-37.7431934 144.9820369),,,,,,
17735446,POINT (-37.7485573 144.9985129),,,,,,
