property_id,coordinates,driving_5min,driving_10min,driving_15min,walking_5min,walking_10min,walking_15min
17708620,POINT (-37.5728324 144.9102422),,,,,,
17710957,POINT (-37.5678423 144.919283),,,,,,
17706548,POINT (-37.6021918 144.9372421),,,,,,
17737417,POINT (-37.6110928 144.9234144),,,,,,
17358301,POINT (-37.5809005 144.9100655),,,,,,
17733200,POINT (-37.5754114 144.9369875),,,,,,
17739946,POINT (-37.5823391 144.9116112),,,,,,
17625649,POINT (-37.5819841 144.9180657),,,,,,
17677837,POINT (-37.606273 144.929886),,,,,,
17702708,POINT (-37.569854 144.917082),,,,,,
17108686,POINT (-37.5809908 144.9308433),,,,,,
17755871,POINT (-37.5857967 144.939224),,,,,,
17728699,POINT (-37.5824516 144.9306244),,,,,,
17750465,POINT (-37.5747037 144.9222558),,,,,,
17626697,POINT (-37.5745549 144.913437),,,,,,
17722666,POINT (-37.58904090000001 144.9105696),,,,,,
17743232,POINT (-37.5738277 144.9129059),,,,,,
17661517,POINT (-37.5670505 144.8959669),,,,,,
16236485,POINT (-37.5814056 144.909644),,,,,,
17748781,POINT (-37.5827354 144.9003342),,,,,,
17731613,POINT (-37.5911221 144.9248406),,,,,,
17680010,POINT (-37.5889635 144.9376233),,,,,,
17710483,POINT (-37.5920293 144.9229708),,,,,,
17182383,POINT (-37.589009 144.9195707),,,,,,
17695788,POINT (-37.5887421 144.8941937),,,,,,
17437465,POINT (-37.5862965 144.9109753),,,,,,
17655867,POINT (-37.5769624 144.9066513),,,,,,
17733571,POINT (-37.5916503 144.8888635),,,,,,
17733293,POINT (-37.5783733 144.9074824),,,,,,
17754214,POINT (-37.5810889 144.9127129),,,,,,
17719668,POINT (-37.5746248 144.934839),,,,,,
17731657,POINT (-37.5974068 144.9361158),,,,,,
17744963,POINT (-37.5925236 144.893399),,,,,,
17745658,POINT (-37.60199739999999 144.9308451),,,,,,
17747250,POINT (-37.5996645 144.9102307),,,,,,
17726810,POINT (-37.5755524 144.8974106),,,,,,
17739706,POINT (-37.6032281 144.8992771),,,,,,
17733396,POINT (-37.5885937 144.922697),,,,,,
17743301,POINT (-37.5747501 144.8962249),,,,,,
17674862,POINT (-37.5896906 144.9197652),,,,,,
17694861,POINT (-37.600708 144.8970357),,,,,,
17751369,POINT (-37.59582049999999 144.9367014),,,,,,
17613584,POINT (-37.5979964 144.9249272),,,,,,
17666954,POINT (-38.10345909999999 145.2606632),,,,,,
17746247,POINT (-38.0992959 145.2561634),,,,,,
17732616,POINT (-38.093492 145.2573007),,,,,,
17696240,POINT (-38.1001105 145.2590491),,,,,,
17754083,POINT (-38.1038535 145.2583379),,,,,,
17745425,POINT (-38.1113363 145.2494674),,,,,,
17685520,POINT (-38.1143583 145.2500161),,,,,,
17712093,POINT (-38.0946731 145.2606982),,,,,,
17748278,POINT (-38.1131653 145.2356406),,,,,,
17744207,POINT (-38.1042671 145.2536679),,,,,,
17747032,POINT (-37.82981480000001 144.9901409),,,,,,
17736802,POINT (-37.828432 144.995274),,,,,,
17737646,POINT (-37.4283004 143.8970465),,,,,,
17757940,POINT (-38.3527444 145.1965008),,,,,,
17741770,POINT (-37.8202809 145.2833176),,,,,,
17694831,POINT (-37.8155735 145.2785871),,,,,,
17734394,POINT (-37.8144421 145.2842655),,,,,,
17053692,POINT (-37.7917961 145.2578573),,,,,,
15872230,POINT (-37.78608070000001 145.2675717),,,,,,
17215392,POINT (-37.80023449999999 145.2875397),,,,,,
17752024,POINT (-37.78480320000001 145.2868454),,,,,,
17742234,POINT (-37.7783484 145.2925541),,,,,,
17725066,POINT (-37.79712850000001 145.2640812),,,,,,
17721076,POINT (-37.7829939 145.2664927),,,,,,
17750489,POINT (-37.7941504 145.266173),,,,,,
17757857,POINT (-37.8022409 145.2728479),,,,,,
17332730,POINT (-37.7929236 145.2839921),,,,,,
16616631,POINT (-37.7925154 145.2822383),,,,,,
17712156,POINT (-37.7678106 145.2932953),,,,,,
17175739,POINT (-37.7816073 145.2650338),,,,,,
17753806,POINT (-38.16321689999999 144.5480147),,,,,,
17727950,POINT (-38.1775064 144.5477778),,,,,,
17613073,POINT (-38.16536300000001 144.548144),,,,,,
17624734,POINT (-38.1761678 144.5432612),,,,,,
17746201,POINT (-38.1696785 144.5450282),,,,,,
17730353,POINT (-37.669387 144.9354533),,,,,,
17069803,POINT (-37.6745477 144.9368127),,,,,,
17756883,POINT (-37.6713802 144.9410845),,,,,,
15049395,POINT (-37.6669001 144.9336329),,,,,,
17648673,POINT (-37.67309030000001 144.9382317),,,,,,
17588476,POINT (-38.5587976 145.5429406),,,,,,
17724415,POINT (-38.5665543 145.5434597),,,,,,
17744277,POINT (-38.5665102 145.5435182),,,,,,
17538052,POINT (-37.9839303 145.2196403),,,,,,
17744692,POINT (-37.9817767 145.205911),,,,,,
17743411,POINT (-37.9846628 145.207209),,,,,,
17743207,POINT (-37.9738377 145.2084688),,,,,,
17748528,POINT (-37.9703367 145.2157608),,,,,,
17714280,POINT (-37.9837359 145.2207768),,,,,,
16975202,POINT (-37.9733785 145.216988),,,,,,
17705188,POINT (-37.98420170000001 145.2200529),,,,,,
17738079,POINT (-37.9975056 145.2151001),,,,,,
17457284,POINT (-37.9889295 145.2237559),,,,,,
17694637,POINT (-37.9815242 145.2147441),,,,,,
17496689,POINT (-37.9836443 145.2069044),,,,,,
17743250,POINT (-37.983316 145.2252444),,,,,,
17745725,POINT (-37.9818732 145.202189),,,,,,
