property_id,coordinates,driving_5min,driving_10min,driving_15min,walking_5min,walking_10min,walking_15min
17668890,POINT (143.5903976 -37.3735768),,,,,,
17667687,POINT (143.7381304 -37.0581737),,,,,,
17613979,POINT (143.733325 -37.0535089),,,,,,
17505926,POINT (143.746166 -37.0643683),,,,,,
17626184,POINT (143.724315 -37.054301),,,,,,
17630283,POINT (143.7346727 -37.04278),,,,,,
17656283,POINT (143.7405175 -37.0388582),,,,,,
17555393,POINT (143.753548 -37.044247),,,,,,
17525333,POINT (143.8587053 -36.8824271),,,,,,
17543964,POINT (146.884229 -36.1566105),,,,,,
17610679,POINT (146.896689 -36.1718005),,,,,,
17657113,POINT (146.8961559 -36.1578661),,,,,,
16359128,POINT (146.8986108 -36.1575142),,,,,,
17524826,POINT (146.8997464 -36.1578117),,,,,,
17282198,POINT (147.0374161 -36.1007133),,,,,,
17558984,POINT (146.9432566 -36.1377824),,,,,,
17561633,POINT (147.0516348 -36.5359315),,,,,,
17593268,POINT (146.9204193 -36.1411279),,,,,,
17652351,POINT (146.9442174 -36.1751194),,,,,,
17648357,POINT (146.9346767 -36.1812207),,,,,,
17593406,POINT (146.9378979 -36.1780993),,,,,,
17641961,POINT (146.948005 -36.184916),,,,,,
17627203,POINT (146.9396897 -36.1794849),,,,,,
17601254,POINT (146.9386246 -36.1752504),,,,,,
17557381,POINT (147.0626042 -36.0979735),,,,,,
17613646,POINT (147.0213033 -36.3553931),,,,,,
17610661,POINT (147.1731076 -36.2174247),,,,,,
17657055,POINT (143.8760127 -37.5463596),,,,,,
17568866,POINT (143.8636929 -37.5513862),,,,,,
17672696,POINT (143.8656366 -37.5669111),,,,,,
17673220,POINT (143.8674018 -37.5918653),,,,,,
17617909,POINT (146.3813936 -36.4445286),,,,,,
17455234,POINT (148.53164 -37.796671),,,,,,
17561036,POINT (147.8244103 -37.7061411),,,,,,
16450907,POINT (142.9110631 -38.2379515),,,,,,
17597531,POINT (143.0443828 -38.2265034),,,,,,
17605482,POINT (143.249134 -38.2538651),,,,,,
17622055,POINT (143.1527277 -38.231675),,,,,,
16114966,POINT (145.2776463 -38.0732937),,,,,,
17576969,POINT (145.2947688 -38.0737521),,,,,,
17625511,POINT (145.315193 -38.0738638),,,,,,
17529749,POINT (145.2898861 -38.1469648),,,,,,
17573251,POINT (145.2874419 -38.1494114),,,,,,
17615973,POINT (145.2944981 -38.1205214),,,,,,
17525864,POINT (145.2964129 -38.1257225),,,,,,
17626532,POINT (145.2922124 -38.1230839),,,,,,
17626998,POINT (145.2985816 -38.1098046),,,,,,
17575186,POINT (145.3072138 -38.1031783),,,,,,
17564383,POINT (145.193313 -38.086696),,,,,,
17576971,POINT (145.2098385 -38.0857459),,,,,,
17546646,POINT (145.1946661 -38.1151181),,,,,,
17550666,POINT (145.2349761 -38.1160871),,,,,,
17417247,POINT (145.2571005 -38.1014819),,,,,,
17546868,POINT (145.2613922 -38.0924663),,,,,,
17575307,POINT (145.2429804 -38.113322),,,,,,
17520518,POINT (145.2462005 -38.0966096),,,,,,
17567436,POINT (145.2610538 -38.0913991),,,,,,
14074180,POINT (145.2433782 -38.1141483),,,,,,
17561058,POINT (145.2624267 -38.0937206),,,,,,
17563888,POINT (145.2508367 -38.097136),,,,,,
17601733,POINT (145.2568781 -38.1114726),,,,,,
17627368,POINT (145.2786109 -38.103277),,,,,,
17555082,POINT (145.2588525 -38.1116903),,,,,,
17629555,POINT (145.2684171 -38.1024584),,,,,,
17607988,POINT (145.2661148 -38.1099368),,,,,,
17602788,POINT (145.2893157 -38.1097737),,,,,,
17613062,POINT (145.2884254 -38.0985281),,,,,,
17194759,POINT (145.2742749 -38.1049374),,,,,,
17662173,POINT (145.2884683 -38.0975249),,,,,,
17592007,POINT (145.2728033 -38.108104),,,,,,
17586832,POINT (145.2915004 -38.0948201),,,,,,
17609753,POINT (145.2594928 -38.1130375),,,,,,
17658857,POINT (143.7170102 -37.0080629),,,,,,
17555629,POINT (146.4324302 -36.4488998),,,,,,
17569984,POINT (146.2492521 -36.263784),,,,,,
16281972,POINT (145.1281836 -37.8313286),,,,,,
16961408,POINT (145.1331778 -37.8446502),,,,,,
17600554,POINT (145.1183316 -37.8374759),,,,,,
17581370,POINT (145.1101946 -37.842939),,,,,,
17511067,POINT (145.1201343 -37.8346279),,,,,,
17622855,POINT (145.1295511 -37.8312124),,,,,,
17625723,POINT (145.1312354 -37.8303212),,,,,,
17623974,POINT (145.1261162 -37.8296324),,,,,,
17612433,POINT (145.1178946 -37.8382691),,,,,,
14398256,POINT (144.9326047 -37.2882507),,,,,,
15934570,POINT (144.9545766 -37.3042359),,,,,,
16525267,POINT (144.9524472 -37.3012139),,,,,,
17645103,POINT (144.9354358 -37.2921869),,,,,,
17424727,POINT (144.949372 -37.30756),,,,,,
17557384,POINT (144.948782 -37.2937583),,,,,,
17579066,POINT (144.9494513 -37.2908618),,,,,,
17578053,POINT (144.9468699 -37.3082965),,,,,,
17553487,POINT (144.9532576 -37.3063984),,,,,,
16839794,POINT (144.8727252 -37.2983037),,,,,,
12060226,POINT (145.040078 -37.2067934),,,,,,
17224484,POINT (145.040001 -37.214097),,,,,,
17534182,POINT (145.060102 -37.2064797),,,,,,
17582341,POINT (145.0350502 -37.214262),,,,,,
17624078,POINT (145.0350502 -37.214262),,,,,,
17620717,POINT (145.1472441 -37.2854044),,,,,,
17667510,POINT (144.9817531 -37.2796171),,,,,,
16634808,POINT (143.9059503 -37.5535144),,,,,,
17553734,POINT (143.9197527 -37.5512751),,,,,,
17544903,POINT (143.8826029 -37.6181925),,,,,,
17566739,POINT (143.8662063 -37.5399681),,,,,,
17566815,POINT (143.9797008 -37.7136363),,,,,,
17542356,POINT (144.9693571 -37.7747485),,,,,,
17572381,POINT (144.9801202 -37.7692327),,,,,,
17570747,POINT (144.9728187 -37.7661201),,,,,,
17542541,POINT (144.9709136 -37.7781033),,,,,,
17564286,POINT (144.9765902 -37.7774926),,,,,,
17557018,POINT (144.9693571 -37.7747485),,,,,,
17566015,POINT (144.9706211 -37.778276),,,,,,
17553584,POINT (144.9784808 -37.7703616),,,,,,
17572429,POINT (144.9782494 -37.7715469),,,,,,
17571365,POINT (144.9706896 -37.7783373),,,,,,
15164044,POINT (144.9388605 -37.7589481),,,,,,
