bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
3,17713715,2025,POINT (144.9281819 -37.7194924),live,3,1,590.0,oak park-glenroy-fawkner,144.9281819,1,-37.7194924,townhouse
2,17721887,2025,POINT (144.9170203 -37.7232327),live,3,1,480.0,oak park-glenroy-fawkner,144.9170203,1,-37.7232327,apartment / unit / flat
2,17743037,2025,POINT (144.919114 -37.7137092),live,3,1,540.0,oak park-glenroy-fawkner,144.919114,1,-37.7137092,townhouse
2,15376174,2025,POINT (144.922193 -37.71867),live,3,1,495.0,oak park-glenroy-fawkner,144.922193,1,-37.71867,apartment / unit / flat
5,17742593,2025,POINT (145.4224994 -38.0527705),live,3,3,800.0,officer,145.4224994,2,-38.0527705,house
4,17742643,2025,POINT (145.4054406 -38.0494789),live,3,2,590.0,officer,145.4054406,2,-38.0494789,house
4,17743230,2025,POINT (145.4373489 -38.0593192),live,3,2,640.0,officer,145.4373489,2,-38.0593192,house
4,17743680,2025,POINT (145.4380748 -38.0538961),live,3,2,800.0,officer,145.4380748,2,-38.0538961,house
3,17745165,2025,POINT (145.4016146 -38.0732287),live,3,2,550.0,officer,145.4016146,2,-38.0732287,house
4,17746465,2025,POINT (145.4063204 -38.0501722),live,3,2,600.0,officer,145.4063204,2,-38.0501722,house
3,17747482,2025,POINT (145.4035536 -38.07188910000001),live,3,2,560.0,officer,145.4035536,2,-38.07188910000001,house
4,17748047,2025,POINT (145.4269319 -38.0818915),live,3,2,600.0,officer,145.4269319,2,-38.0818915,house
3,17679503,2025,POINT (145.4281814 -38.0774506),live,3,2,580.0,officer,145.4281814,2,-38.0774506,townhouse
4,17687010,2025,POINT (145.4205869 -38.052187),live,3,2,650.0,officer,145.4205869,2,-38.052187,house
4,17682807,2025,POINT (145.4298633 -38.0692479),live,3,2,560.0,officer,145.4298633,2,-38.0692479,house
3,17706631,2025,POINT (145.4276452 -38.0753902),live,3,2,570.0,officer,145.4276452,2,-38.0753902,house
3,17707406,2025,POINT (145.4260577 -38.0771291),live,3,2,590.0,officer,145.4260577,1,-38.0771291,townhouse
4,17710541,2025,POINT (145.4268131 -38.070963),live,3,2,620.0,officer,145.4268131,2,-38.070963,house
4,17712186,2025,POINT (145.4248496 -38.0409205),live,3,1,700.0,officer,145.4248496,2,-38.0409205,house
3,17717405,2025,POINT (145.4163252 -38.0755308),live,3,2,550.0,officer,145.4163252,2,-38.0755308,house
4,17746999,2025,POINT (145.4202129 -38.0693941),live,3,2,630.0,officer,145.4202129,2,-38.0693941,house
4,17745998,2025,POINT (145.4212841 -38.0760579),live,3,2,570.0,officer,145.4212841,2,-38.0760579,house
3,17751243,2025,POINT (145.4333664 -38.0741006),live,3,2,530.0,officer,145.4333664,2,-38.0741006,house
4,17039677,2025,POINT (145.4152003 -38.068729),live,3,2,585.0,officer,145.4152003,2,-38.068729,townhouse
4,17752898,2025,POINT (145.429426 -38.0727485),live,3,2,650.0,officer,145.429426,2,-38.0727485,house
4,17753054,2025,POINT (145.4062483 -38.0486417),live,3,2,600.0,officer,145.4062483,2,-38.0486417,house
