property_id,coordinates
17141399,POINT (145.1583844 -38.0124375)
17141388,POINT (144.6539368 -38.1169915)
17141290,POINT (143.0767319 -38.3314764)
17141221,POINT (146.8961559 -36.1578661)
17141220,POINT (-37.8849805 145.069183)
17141036,POINT (144.5622645 -37.6657222)
17140871,POINT (145.2737423 -38.1028633)
17140646,POINT (145.3204478 -38.0382328)
17140421,POINT (144.7074263 -37.5877301)
17140109,POINT (144.7320811 -37.5849683)
17140066,POINT (144.6966866 -37.6242017)
17140039,POINT (143.3553149 -38.1173267)
17139751,POINT (145.4155824 -36.3696096)
17139680,POINT (145.9217691 -38.1533721)
17139641,POINT (-37.6988723 145.0437707)
17139640,POINT (-37.836643 144.8653795)
17139601,POINT (-37.5622764 143.8392867)
17139274,POINT (-37.7545066 144.6812693)
17138817,POINT (142.1937203 -36.7061356)
17138604,POINT (145.847064 -38.116213)
17138136,POINT (-37.5311451 144.8997737)
17138057,POINT (145.5989347 -38.586258)
17137736,POINT (144.275325 -36.7722393)
17137699,POINT (145.3853679 -38.2136786)
17137668,POINT (-37.8073387 144.9667765)
17137185,POINT (144.5453285 -37.689834)
17137171,POINT (144.923209 -37.7826177)
17137080,POINT (145.3143402 -38.0132174)
17136849,POINT (146.8817468 -36.122369)
17136695,POINT (144.9031062 -37.718541)
17136450,POINT (145.004061 -37.712408)
17136439,POINT (145.160111 -37.9333862)
17136122,POINT (-37.8654162 144.908494)
17135994,POINT (142.7657431 -37.3060245)
17135689,POINT (-37.544492 145.0124878)
17135389,POINT (147.1887528 -38.3685216)
17135137,POINT (144.6176709 -38.270953)
17135067,POINT (144.9104294 -37.6714553)
17135050,POINT (145.0191521 -37.6069499)
17134790,POINT (145.1920966 -38.3121142)
17134600,POINT (144.5931032 -37.4891718)
17134323,POINT (144.935646 -37.7839389)
17133899,POINT (144.5440869 -37.6886897)
17133538,POINT (144.7093563 -37.5943633)
17133276,POINT (144.9129297 -38.3632622)
17133160,POINT (146.6920175 -36.3503835)
17132914,POINT (145.2700651 -38.0843122)
17132858,POINT (145.2176744 -38.4630606)
17132411,POINT (144.2928744 -36.7302102)
17131895,POINT (145.1988082 -38.0840218)
17131889,POINT (145.1703667 -37.9844797)
17131428,POINT (144.3016808 -36.7673618)
17131270,POINT (-37.8169818 145.1176698)
17131055,POINT (145.0814941 -37.9959648)
17130954,POINT (-37.809615 144.9623021)
17130457,POINT (144.8184832 -37.7329001)
17130332,POINT (-38.3676812 144.9059284)
17130277,POINT (144.5747614 -38.1537468)
17130241,POINT (144.9247411 -37.7815802)
17130068,POINT (-37.5243754 144.9587305)
17129826,POINT (144.7651454 -37.6906182)
17129780,POINT (144.5891706 -37.4911271)
17129709,POINT (145.04159 -37.7428327)
17129670,POINT (145.934879 -38.161766)
17129503,POINT (144.5819512 -37.677297)
17129132,POINT (145.0310609 -37.8880533)
17128028,POINT (145.2981134 -38.0017335)
17127983,POINT (145.0433778 -37.8886792)
17127871,POINT (145.0626298 -37.8849362)
17127719,POINT (145.1583844 -38.0124375)
17127389,POINT (-37.8244365 144.9621622)
