property_id,coordinates
16585827,POINT (-37.8072076 145.0938737)
16581221,POINT (-37.8377448 144.9929162)
16579538,POINT (-37.7373216 145.0456527)
16579198,POINT (-37.7439813 145.0486486)
16579134,POINT (-37.8247866 144.7486887)
16578864,POINT (-36.5421653 145.9824971)
16575392,POINT (-37.88781609999999 144.6670604)
16574777,POINT (-37.827276 144.9590268)
16574574,POINT (-37.8142474 144.9402778)
16574176,POINT (-37.8301541 144.946391)
16572606,POINT (-37.7090044 145.0497641)
16570654,POINT (-38.359201 142.4713355)
16570491,POINT (-38.3652217 142.462112)
16570337,POINT (-37.8174166 144.9536383)
16568528,POINT (144.6596883 -37.9098373)
16567660,POINT (-37.8320373 144.8575278)
16566153,POINT (145.2013855 -37.9356921)
16566039,POINT (-36.8541431 142.3951825)
16565637,POINT (145.3124768 -38.0429735)
16565524,POINT (143.9322741 -37.5636287)
16565361,POINT (-37.804005 144.965128)
16563191,POINT (-37.51702909999999 144.9575623)
16561254,POINT (-37.79114939999999 145.1126287)
16560348,POINT (-37.58872909999999 144.8936799)
16559754,POINT (145.1914908 -38.315154)
16559492,POINT (-37.7906021 145.0936828)
16559047,POINT (-36.5552792 146.7194594)
16558821,POINT (-37.9233385 145.0593328)
16558756,POINT (-37.83924469999999 144.995215)
16558367,POINT (145.9832394 -36.5474418)
16558331,POINT (144.8592444 -37.7637248)
16558003,POINT (145.1215261 -37.8519064)
16557549,POINT (-38.3097426 144.9964651)
16557326,POINT (-37.8175602 144.9585916)
16557249,POINT (-37.8006456 144.9556249)
16556691,POINT (-36.7810735 144.2907446)
16554674,POINT (-37.8174166 144.9536383)
16552525,POINT (-37.8484143 145.1344014)
16551229,POINT (-37.7737409 144.8816532)
16548587,POINT (145.0183343 -37.8942792)
16548420,POINT (-37.8330683 145.0413267)
16547858,POINT (145.2501185 -38.1007074)
16546226,POINT (-37.7970924 144.9732724)
16544889,POINT (-37.8271281 144.9590333)
16544173,POINT (-37.8240969 144.9636781)
16543931,POINT (-37.7095191 145.0495236)
16539748,POINT (-37.80568 144.9627446)
16539355,POINT (144.2225489 -37.0635437)
16536955,POINT (-37.867186 144.9915659)
16536810,POINT (-37.7320724 145.0276449)
16536035,POINT (-37.8054998 144.9624528)
16535646,POINT (-37.806639 145.1659474)
16533464,POINT (146.4158934 -38.309344)
16530510,POINT (-37.8743375 144.6625011)
16529978,POINT (-38.670443 146.6939248)
16528237,POINT (-37.809678 144.9593125)
16528123,POINT (-37.8155523 144.9379982)
16527758,POINT (-37.7174376 144.5661307)
16526262,POINT (-37.8960735 144.6365068)
16525267,POINT (144.9524472 -37.3012139)
16524652,POINT (-37.8165057 144.7096791)
16523833,POINT (-37.7994041 145.0003906)
16523300,POINT (-37.7826833 145.1315015)
16522151,POINT (-37.8281788 144.6758839)
16521573,POINT (-37.809552 144.950835)
16518204,POINT (146.2492521 -36.263784)
16516009,POINT (145.4031284 -36.432987)
16515195,POINT (145.0542291 -37.8432823)
16514998,POINT (145.6558378 -35.9143071)
16513137,POINT (-37.657919 143.882461)
16511917,POINT (-37.4748088 144.984343)
16511822,POINT (-37.8097375 144.9595257)
16511745,POINT (144.9857401 -37.4778081)
16507781,POINT (-37.689174 144.7317071)
16506421,POINT (-37.7380247 144.9347392)
16506335,POINT (-36.7635105 145.5785577)
16505030,POINT (-37.6240813 145.0642433)
16504794,POINT (-37.5824042 144.7303403)
16504082,POINT (146.2957148 -38.1824639)
16501596,POINT (145.1573611 -37.9919946)
16501146,POINT (-37.5512991 143.8587256)
16499485,POINT (-38.3795951 144.8462321)
16498515,POINT (-38.1217988 144.6684866)
16497985,POINT (144.955703 -37.815159)
16497552,POINT (144.953581 -37.814559)
16497232,POINT (-38.39503699999999 145.5374393)
16497058,POINT (144.972659 -37.815694)
16495707,POINT (-37.8109941 145.3800597)
16494298,POINT (144.969252 -37.808604)
16493920,POINT (144.971315 -37.808217)
16491620,POINT (144.966028 -37.814996)
16490607,POINT (-37.8175602 144.9585916)
16489109,POINT (144.962336 -37.807218)
16487314,POINT (-38.0715313 145.4037218)
16485996,POINT (144.7456596 -37.910453)
16485551,POINT (148.4600351 -37.7064018)
16483720,POINT (-37.754997 144.9587835)
16482891,POINT (144.5542133 -37.7185825)
16482738,POINT (-37.7163352 144.8261425)
16482180,POINT (145.1965335 -38.231462)
16481875,POINT (145.141093 -38.139883)
16481623,POINT (145.134928 -38.14837)
16481341,POINT (-38.07498959999999 142.8102834)
16481176,POINT (145.151022 -38.173651)
16481049,POINT (145.2227559 -37.8185809)
16480752,POINT (147.071893 -38.094842)
16480696,POINT (147.065092 -38.093145)
16480196,POINT (-37.7587878 145.3548154)
16480063,POINT (144.9605402 -37.7146535)
16479859,POINT (145.145639 -38.14282)
16479807,POINT (145.0828125 -37.8033139)
16478740,POINT (144.967028 -37.808896)
