property_id,longitude,latitude,coordinates
16976330,144.945021,-37.82486,POINT (-37.82486 144.945021)
16979248,144.937374,-37.815578,POINT (-37.815578 144.937374)
16979709,144.953512,-37.821284,POINT (-37.821284 144.953512)
16979714,144.953512,-37.821284,POINT (-37.821284 144.953512)
16979906,144.942452,-37.813526,POINT (-37.813526 144.942452)
16981587,144.940754,-37.813882,POINT (-37.813882 144.940754)
16983404,144.940067,-37.814143,POINT (-37.814143 144.940067)
16983561,144.946966,-37.818305,POINT (-37.818305 144.946966)
16984490,144.942452,-37.813526,POINT (-37.813526 144.942452)
15813126,145.398929,-36.372719,POINT (-36.372719 145.398929)
16412751,145.403216,-36.374654,POINT (-36.374654 145.403216)
16884426,145.403808,-36.387677,POINT (-36.387677 145.403808)
16885006,145.373568,-36.362129,POINT (-36.362129 145.373568)
16885737,145.408336,-36.359981,POINT (-36.359981 145.408336)
16887390,145.414268,-36.391295,POINT (-36.391295 145.414268)
16888971,145.413766,-36.360129,POINT (-36.360129 145.413766)
16890148,145.408634,-36.391758,POINT (-36.391758 145.408634)
16890973,145.411644,-36.360683,POINT (-36.360683 145.411644)
16891094,145.406836,-36.36548,POINT (-36.36548 145.406836)
16891121,145.406836,-36.36548,POINT (-36.36548 145.406836)
16891584,145.381186,-36.354988,POINT (-36.354988 145.381186)
16892571,145.398107,-36.378749,POINT (-36.378749 145.398107)
16892637,145.416777,-36.367418,POINT (-36.367418 145.416777)
16893170,145.407741,-36.39384,POINT (-36.39384 145.407741)
16893424,145.379074,-36.363367,POINT (-36.363367 145.379074)
16893513,145.406723,-36.378738,POINT (-36.378738 145.406723)
16897177,145.404047,-36.35578,POINT (-36.35578 145.404047)
16198817,145.122163,-38.052061,POINT (-38.052061 145.122163)
16862744,145.089961,-38.00258,POINT (-38.00258 145.089961)
16868893,145.120306,-38.039149,POINT (-38.039149 145.120306)
16869111,145.107134,-38.034996,POINT (-38.034996 145.107134)
16870402,145.117983,-38.043175,POINT (-38.043175 145.117983)
16875184,145.117085,-38.04035,POINT (-38.04035 145.117085)
16876241,145.098213,-38.000975,POINT (-38.000975 145.098213)
16879472,145.087018,-38.000482,POINT (-38.000482 145.087018)
16884463,145.084696,-37.986004,POINT (-37.986004 145.084696)
16889174,145.116896,-38.033132,POINT (-38.033132 145.116896)
16893280,145.122673,-38.06743,POINT (-38.06743 145.122673)
16896220,145.114919,-38.037468,POINT (-38.037468 145.114919)
16896608,145.089702,-38.005112,POINT (-38.005112 145.089702)
16898076,145.108209,-38.034559,POINT (-38.034559 145.108209)
16899888,145.105338,-38.020616,POINT (-38.020616 145.105338)
16899958,145.126884,-38.055266,POINT (-38.055266 145.126884)
16900160,145.121375,-38.061654,POINT (-38.061654 145.121375)
16900755,145.116396,-38.035106,POINT (-38.035106 145.116396)
16903263,145.090058,-38.001291,POINT (-38.001291 145.090058)
13965128,144.906105,-37.75565,POINT (-37.75565 144.906105)
14043855,144.909268,-37.74539,POINT (-37.74539 144.909268)
16749366,144.896559,-37.752751,POINT (-37.752751 144.896559)
16942445,144.92388,-37.755227,POINT (-37.755227 144.92388)
16947485,144.921443,-37.753516,POINT (-37.753516 144.921443)
16969349,144.913381,-37.74841,POINT (-37.74841 144.913381)
16970710,144.907691,-37.756202,POINT (-37.756202 144.907691)
16975330,144.913598,-37.748725,POINT (-37.748725 144.913598)
16975776,144.922822,-37.753684,POINT (-37.753684 144.922822)
16978559,144.918203,-37.754075,POINT (-37.754075 144.918203)
16979206,144.894179,-37.743718,POINT (-37.743718 144.894179)
16979941,144.912704,-37.750932,POINT (-37.750932 144.912704)
16981161,144.910173,-37.746468,POINT (-37.746468 144.910173)
16982063,144.912089,-37.744066,POINT (-37.744066 144.912089)
16982183,144.9211,-37.756817,POINT (-37.756817 144.9211)
16982839,144.911096,-37.744217,POINT (-37.744217 144.911096)
16983097,144.929875,-37.757196,POINT (-37.757196 144.929875)
16983691,144.933014,-37.756847,POINT (-37.756847 144.933014)
