property_id,address,longitude,latitude,coordinates,geocode_success
17664152,"Beveridge Court Point, Cook, VIC 3030",144.749057,-37.893311,POINT (144.749057 -37.893311),True
17664425,"Everly Way Point, Cook, VIC 3030",144.769978,-37.909227,POINT (144.769978 -37.909227),True
15932624,"60 Chomley Street, Prahran, VIC 3181",145.005965,-37.855912,POINT (145.005965 -37.855912),True
16457636,"Charles St, Prahran, VIC 3181",144.989205,-37.848763,POINT (144.989205 -37.848763),True
17391944,"19a Ellesmere Road, Prahran, VIC 3181",145.006676,-37.854771,POINT (145.006676 -37.854771),True
17579021,"Raleigh Street, Prahran, VIC 3181",145.006676,-37.854771,POINT (145.006676 -37.854771),True
17600317,"43 Grandview Grove, Prahran, VIC 3181",145.008009,-37.849915,POINT (145.008009 -37.849915),True
17601646,"26 Clarke Street, Prahran, VIC 3181",145.000005,-37.849194,POINT (145.000005 -37.849194),True
17602311,"10 Clifton Street, Prahran, VIC 3181",144.995319,-37.851375,POINT (144.995319 -37.851375),True
17604860,"39 Grandview Grove, Prahran, VIC 3181",145.008057,-37.850268,POINT (145.008057 -37.850268),True
17612565,"Dixon Street, Prahran, VIC 3181",145.000706,-37.848431,POINT (145.000706 -37.848431),True
17612653,"101a York Street, Prahran, VIC 3181",144.99831,-37.848804,POINT (144.99831 -37.848804),True
17613816,"1 Mount Street, Prahran, VIC 3181",144.995621,-37.852019,POINT (144.995621 -37.852019),True
17614009,"8 Charles Street, Prahran, VIC 3181",144.989198,-37.851146,POINT (144.989198 -37.851146),True
17616185,"4 Victoria Street, Prahran, VIC 3181",145.006676,-37.854771,POINT (145.006676 -37.854771),True
17620215,"Duke Street, Prahran, VIC 3181",145.006676,-37.854771,POINT (145.006676 -37.854771),True
17622522,"26 Grandview Grove, Prahran, VIC 3181",145.008354,-37.851062,POINT (145.008354 -37.851062),True
17624779,"Princes Street, Prahran, VIC 3181",144.996926,-37.849572,POINT (144.996926 -37.849572),True
17628659,"1a Charles Street, Prahran, VIC 3181",144.988687,-37.850785,POINT (144.988687 -37.850785),True
17630905,"10 Highbury Grove, Prahran, VIC 3181",145.007131,-37.854667,POINT (145.007131 -37.854667),True
17631144,"8 Sydney Street, Prahran, VIC 3181",145.010589,-37.851847,POINT (145.010589 -37.851847),True
17632451,"42 Porter St, Prahran, VIC 3181",144.990334,-37.848515,POINT (144.990334 -37.848515),True
17632801,"6 Percy Place, Prahran, VIC 3181",144.990824,-37.850816,POINT (144.990824 -37.850816),True
16291425,"114d Mossfiel Drive Hoppers, Crossing, VIC 3029",144.690754,-37.86922,POINT (144.690754 -37.86922),True
17339879,"Atherton Way, Werribee, VIC 3030",144.661343,-37.89479,POINT (144.661343 -37.89479),True
17583939,"Nia Road, Tarneit, VIC 3029",144.678391,-37.825233,POINT (144.678391 -37.825233),True
17596233,"Flintwood Street, Tarneit, VIC 3029",144.678391,-37.825233,POINT (144.678391 -37.825233),True
17598020,"Glabella Avenue, Tarneit, VIC 3029",144.678391,-37.825233,POINT (144.678391 -37.825233),True
17610653,"Sonder Avenue, Werribee, VIC 3030",144.661343,-37.89479,POINT (144.661343 -37.89479),True
17615687,"551 Tarneit Rd, Tarneit, VIC 3029",144.672438,-37.832696,POINT (144.672438 -37.832696),True
17617780,"Clara Avenue, Truganina, VIC 3029",144.75,-37.81667,POINT (144.75 -37.81667),True
17617892,"Glabella Avenue, Tarneit, VIC 3029",144.678391,-37.825233,POINT (144.678391 -37.825233),True
17619011,"Glabella Avenue, Tarneit, VIC 3029",144.678391,-37.825233,POINT (144.678391 -37.825233),True
17481992,"Azure Avenue, Balnarring, VIC 3926",145.118435,-38.372745,POINT (145.118435 -38.372745),True
17561786,"Stumpy Gully Road, Balnarring, VIC 3926",145.127294,-38.363604,POINT (145.127294 -38.363604),True
17630627,"Warrawee Road, Balnarring, VIC 3926",145.11612,-38.36419,POINT (145.11612 -38.36419),True
16081084,"Ascot Street South, Redan, VIC 3350",143.839537,-37.57634,POINT (143.839537 -37.57634),True
17554959,"Yarrowee Parade, Redan, VIC 3350",143.845572,-37.582357,POINT (143.845572 -37.582357),True
17585592,"Skipton Street, Redan, VIC 3350",143.845743,-37.574509,POINT (143.845743 -37.574509),True
17585898,"Park Street East, Redan, VIC 3350",143.831932,-37.571413,POINT (143.831932 -37.571413),True
17592006,"La Trobe Street, Redan, VIC 3350",143.829295,-37.571862,POINT (143.829295 -37.571862),True
17602234,"Drummond Street South, Redan, VIC 3350",143.845174,-37.573504,POINT (143.845174 -37.573504),True
17607001,"Lonsdale Street, Redan, VIC 3350",143.833461,-37.575132,POINT (143.833461 -37.575132),True
17610551,"Darling Street, Redan, VIC 3350",143.836603,-37.574422,POINT (143.836603 -37.574422),True
17616231,"Ripon Street South, Redan, VIC 3350",143.838721,-37.57447,POINT (143.838721 -37.57447),True
17625772,"Pleasant Street, Redan, VIC 3350",143.835239,-37.580477,POINT (143.835239 -37.580477),True
17628772,"801 Ripon Street South, Redan, VIC 3350",143.839078,-37.577524,POINT (143.839078 -37.577524),True
16765532,"19 Henderson Street, Reservoir, VIC 3073",145.001748,-37.697835,POINT (145.001748 -37.697835),True
17163844,"20 Wardens Walk, Coburg, VIC 3058",144.968924,-37.740116,POINT (144.968924 -37.740116),True
17626685,"Wilmoth Street, Thornbury, VIC 3071",145.016278,-37.763297,POINT (145.016278 -37.763297),True
17629876,"184 Rossmoyne Street, Thornbury, VIC 3071",145.012201,-37.758542,POINT (145.012201 -37.758542),True
17641197,"44 Dundee Street, Reservoir, VIC 3073",145.022924,-37.702898,POINT (145.022924 -37.702898),True
17661567,"125 St Vigeons Road, Reservoir, VIC 3073",145.01792,-37.705904,POINT (145.01792 -37.705904),True
17661758,"Mcfadzen Avenue, Reservoir, VIC 3073",145.004061,-37.712408,POINT (145.004061 -37.712408),True
17670466,"Fyffe Street, Thornbury, VIC 3071",144.983362,-37.753354,POINT (144.983362 -37.753354),True
16701065,"72 Leamington St, Reservoir, VIC 3073",145.001497,-37.712275,POINT (145.001497 -37.712275),True
17367633,"79a Purinuan Road, Reservoir, VIC 3073",145.026813,-37.709074,POINT (145.026813 -37.709074),True
17375178,"41 Mcmahon Road, Reservoir, VIC 3073",145.020212,-37.711622,POINT (145.020212 -37.711622),True
17523560,"3 Fordham Road, Reservoir, VIC 3073",145.015952,-37.716123,POINT (145.015952 -37.716123),True
17541897,"12 Bedford Street, Reservoir, VIC 3073",145.008853,-37.717635,POINT (145.008853 -37.717635),True
17566569,"134 Mcmahon Road, Reservoir, VIC 3073",145.012892,-37.710151,POINT (145.012892 -37.710151),True
17567330,"73 Boldrewood Parade, Reservoir, VIC 3073",145.020661,-37.719553,POINT (145.020661 -37.719553),True
17567849,"201 Purinuan Road, Reservoir, VIC 3073",145.011991,-37.707266,POINT (145.011991 -37.707266),True
17568074,"17 Dundee Street, Reservoir, VIC 3073",145.019882,-37.703221,POINT (145.019882 -37.703221),True
