property_id,coordinates,stationid,min_route_dist_m,min_route_dur_s
17641356,POINT (-37.8069399 145.0854836),,,
17641262,POINT (144.9575697 -37.8270709),18184.0,234.15,21.95
17641028,POINT (145.489018 -38.0733543),3430.0,542.3,126.17
17640947,POINT (-36.360695 148.8262359),,,
17640790,POINT (144.9907407 -37.7932069),1133.0,518.13,75.51
17640733,POINT (-38.273497 146.4878942),,,
17640652,POINT (144.9268574 -37.647034),8114.0,571.44,71.93
17640256,POINT (144.7272275 -37.7403547),46042.0,393.04,94.32
17640150,POINT (-37.8612727 145.0186506),,,
17640097,POINT (145.1222033 -37.6097136),28169.0,772.41,108.32
17639044,POINT (-36.4216505 148.6149199),,,
17638662,POINT (-37.5652515 143.9495028),,,
17638574,POINT (144.6330362 -37.90706369999999),44853.0,334.69,45.44
17638348,POINT (144.6378823 -37.3892525),,,
17637998,POINT (-38.1586035 144.3697438),,,
17637700,POINT (144.7599987 -37.7495419),4719.0,563.36,127.21
17637557,POINT (144.9556899 -37.8140225),43718.0,53.81,7.13
17637527,POINT (-37.9849303 146.7863294),,,
17637484,POINT (-37.7128901 144.6696199),,,
17637316,POINT (144.9444928 -37.8438951),47138.0,79.41,14.01
17637281,POINT (144.9751703 -37.8406391),28688.0,559.27,58.32
17636869,POINT (-36.4939326 144.613834),,,
17636735,POINT (-37.5775409 143.8374591),,,
17636609,POINT (144.9804948 -37.8511144),46879.0,203.66,29.57
17636591,POINT (144.9522135 -37.8313439),340.0,189.99,43.66
17636523,POINT (-37.8882481 145.0337727),,,
17636495,POINT (-37.7608051 144.7682476),,,
17636404,POINT (145.0340838 -37.9434323),11303.0,101.83,24.44
17636272,POINT (-38.0421989 145.1208658),,,
17636258,POINT (-37.2946204 144.4198477),,,
17636178,POINT (145.0606863 -37.9666059),22732.0,571.71,70.42
17636123,POINT (145.2245866 -37.9740143),1348.0,274.32,43.92
17635554,POINT (145.0469689 -37.7511361),10052.0,116.96,12.24
17635402,POINT (145.08782 -37.8059877),4649.0,235.47,51.85
17635346,POINT (143.5819401 -37.4670894),,,
17635238,POINT (141.0131613 -36.7238571),,,
17635129,POINT (145.0490227 -37.7115197),2737.0,209.77,45.67
17634911,POINT (-38.0799745 145.3607841),,,
17634454,POINT (-38.0641182 145.1226175),,,
17633431,POINT (-38.0406733 145.1310439),,,
17633186,POINT (145.0286499 -37.7839022),16848.0,376.49,62.31
17633095,POINT (-37.9614915 145.2127439),,,
17632878,POINT (145.0655343 -37.8560936),15490.0,156.92,31.7
17632622,POINT (-38.0412815 145.120383),,,
17632590,POINT (-37.7163734 144.7000864),,,
17632295,POINT (-37.7547236 144.7695412),,,
17632139,POINT (-37.7876696 145.3999691),,,
17632041,POINT (143.810478 -37.5885099),35559.0,405.43,81.78
17631996,POINT (-37.5581128 143.7954716),,,
17631897,POINT (-37.7595208 144.9409512),,,
17631839,POINT (-37.5702813 143.8307697),,,
17631805,POINT (-36.7445299 144.2956665),,,
17631780,POINT (-37.5674888 143.7963228),,,
17631711,POINT (144.978741 -37.8471627),19573.0,450.46,50.19
17631674,POINT (-37.7922203 144.9683273),,,
17631363,POINT (142.1636811 -34.18337229999999),37041.0,277.24,24.16
17631338,POINT (-37.90444 145.1063146),,,
17631182,POINT (-37.0692033 144.134415),,,
17631063,POINT (-38.2702996 143.5009515),,,
17630724,POINT (-36.7684462 144.2963452),,,
17630705,POINT (-37.8766538 145.0292692),,,
17630283,POINT (-37.04278 143.7346727),,,
17630103,POINT (144.6413098 -37.8419711),28036.0,1500.87,175.52
17630089,POINT (146.5515793 -38.1776533),47726.0,322.21,65.78
17629988,POINT (144.533247 -37.674862),27543.0,1525.53,136.33
17629869,POINT (-37.5585555 143.7911089),,,
17629850,POINT (145.1550213 -37.7935195),4010.0,644.41,90.65
17629840,POINT (-37.5649302 143.7891931),,,
17629810,POINT (-36.1650444 146.8268412),,,
17629804,POINT (-37.8045247 144.9632808),,,
17629555,POINT (-38.1024584 145.2684171),,,
17629300,POINT (144.9119446 -37.744879),19661.0,172.32,21.26
17629270,POINT (144.6644391 -37.7420716),1980.0,1622.38,154.34
17629252,POINT (145.2759877 -38.0962359),16514.0,121.66,25.33
17629243,POINT (-36.7752702 144.2798197),,,
17629100,POINT (-36.716812 144.3161317),,,
17628839,POINT (142.213287 -34.2636268),37004.0,3471.08,414.75
17628832,POINT (-37.5585555 143.7911089),,,
17628354,POINT (-37.7780785 145.5440208),,,
17628064,POINT (145.1243185 -37.790622),4936.0,253.28,48.78
17627847,POINT (146.2945697 -38.1804039),32204.0,366.8,44.19
17627658,POINT (144.3072792 -38.1921452),48042.0,442.6,100.58
17627623,POINT (144.959961 -37.8264504),654.0,75.52,19.2
17627452,POINT (-36.7661143 146.4105719),,,
17627412,POINT (-38.1343619 145.2919282),,,
17627368,POINT (-38.103277 145.2786109),,,
17627265,POINT (143.6632599 -38.7761658),7009.0,151.47,33.09
17627203,POINT (-36.1794849 146.9396897),,,
17627053,POINT (-37.8982934 147.6600271),,,
17626792,POINT (-37.732066 144.7608509),,,
17626708,POINT (-37.8049906 144.9849218),,,
17626571,POINT (-37.54961 143.8110558),,,
17626205,POINT (142.2152931 -36.7183297),36313.0,1317.66,199.19
17625940,POINT (-37.5813156 143.8587024),,,
17625723,POINT (-37.8303212 145.1312354),,,
17625689,POINT (-37.6529807 143.673191),,,
17625649,POINT (144.9180657 -37.5819841),44844.0,843.84,114.41
17625577,POINT (-37.7982816 144.9895028),,,
17625508,POINT (147.6559671 -37.8294228),37887.0,256.33,57.47
17625502,POINT (-37.8182734 144.9471193),,,
17625425,POINT (-37.4607958 144.6774924),,,
17625283,POINT (144.9624528 -37.8054998),19693.0,48.2,6.94
17625197,POINT (-37.966962 145.2193507),,,
17624820,POINT (-38.1170056 145.3444589),,,
17624788,POINT (145.0820953 -37.8077296),6382.0,56.48,4.24
17624734,POINT (144.5432612 -38.1761678),31095.0,994.55,92.37
17624723,POINT (145.1511945 -37.9813944),9516.0,409.32,95.45
17624597,POINT (-37.8222833 144.934619),,,
17624424,POINT (-37.5566039 143.8796538),,,
17624078,POINT (-37.214262 145.0350502),,,
17623974,POINT (-37.8296324 145.1261162),,,
17623699,POINT (145.2829096 -38.059644),21907.0,299.17,43.31
17623453,POINT (144.98005 -37.76965879999999),6145.0,69.71,6.27
17623148,POINT (-36.3710749 148.8265326),,,
17623134,POINT (-37.5942054 143.8767207),,,
17623129,POINT (-37.5365191 143.7812323),,,
17623049,POINT (144.9995324 -37.8253746),19094.0,194.85,41.05
17622855,POINT (-37.8312124 145.1295511),,,
17622792,POINT (-37.0873855 144.204666),,,
17622564,POINT (-37.283299 144.7321212),,,
17622534,POINT (146.7001652 -36.3524997),18685.0,1634.64,220.11
17622395,POINT (-35.9254777 145.484831),,,
17622055,POINT (-38.231675 143.1527277),,,
17621924,POINT (-37.580103 143.8434068),,,
17621628,POINT (-37.5853254 144.717203),,,
17621444,POINT (-37.5620444 143.7944343),,,
17621339,POINT (144.7901547 -37.6953503),10799.0,480.52,65.54
17621114,POINT (144.954365 -37.7770051),7971.0,190.83,25.89
17620805,POINT (-37.5603418 143.8665633),,,
17620717,POINT (-37.2854044 145.1472441),,,
17620656,POINT (144.2958436 -36.7646026),35899.0,824.6,129.4
17620580,POINT (144.6625723 -37.8650154),5667.0,409.26,93.23
17620406,POINT (144.586818 -37.8936714),50144.0,2992.59,291.23
17620393,POINT (-37.8925875 145.009934),,,
17620241,POINT (144.9657956 -37.8159969),17851.0,284.79,36.89
17620225,POINT (144.3975694 -38.1823438),50722.0,87.5,5.73
17620136,POINT (144.5639745 -37.7003979),13377.0,352.0,44.53
17619930,POINT (-37.7646373 144.7880506),,,
17619601,POINT (-37.8222833 144.934619),,,
17619592,POINT (144.293419 -36.7848264),50453.0,155.05,30.65
17619577,POINT (-36.7569335 144.3159049),,,
17619529,POINT (-37.9455725 145.201797),,,
17619514,POINT (144.95644 -37.8094208),20468.0,231.82,31.16
17619506,POINT (-37.8863719 145.0073978),,,
17464028,POINT (144.962153 -37.8219262),18450,827.12,163.66
17463815,POINT (144.875989 -37.693883),47196,79.51,18.47
17462645,POINT (-36.6526688 141.9289383),,,
17462335,POINT (-36.7285833 144.1360599),,,
17462007,POINT (144.961909 -37.8210084),18450,840.15,159.76
17461874,POINT (144.3090638 -38.1967782),30710,605.69,143.64
17461558,POINT (-36.7423718 146.9736746),,,
17461553,POINT (-36.8839162 147.0634397),,,
17461517,POINT (-37.8108868 147.7361925),,,
17461460,POINT (144.994142 -37.730052),10153,279.36,59.32
17460919,POINT (-37.1456468 142.5199737),,,
17460414,POINT (-37.9523058 147.6736563),,,
17458665,POINT (145.4782288 -38.00164040000001),,,
17458612,POINT (144.593289 -37.906993),50144,2434.53,262.61
17457284,POINT (145.2237559 -37.9889295),3110,501.27,58.77
17455234,POINT (-37.796671 148.53164),,,
17455105,POINT (145.1241428 -37.7923932),4663,307.21,69.35
17454293,POINT (144.4450903 -37.6555062),47220,914.58,83.39
17453763,POINT (144.9797891 -37.8452869),19573,209.97,35.38
17453210,POINT (144.9745766 -37.4737392),51630,1668.38,155.93
17453208,POINT (144.9687496 -37.5425658),52540,330.27,35.3
17453207,POINT (145.4818724 -38.0776708),45622,542.46,78.16
17450651,POINT (-37.6832331 142.6578315),,,
17449597,POINT (144.9622234 -37.5165353),27619,2267.53,213.07
17449469,POINT (145.4066199 -36.3667327),43492,31.53,4.54
17448177,POINT (145.0419151 -37.88784709999999),23246,296.05,59.4
17448057,POINT (144.5969008 -37.6601966),40288,464.0,69.71
17447332,POINT (145.31588 -37.7801584),12759,385.14,52.01
17446440,POINT (-38.0006801 145.5237086),,,
17445769,POINT (146.8573783 -36.1295559),37392,64.35,15.2
17444686,POINT (144.7340177 -37.582424),44399,35.81,8.59
17444110,POINT (-37.6042796 141.6917828),,,
17443757,POINT (142.1929723 -34.2022035),37057,945.11,138.26
17443520,POINT (144.205511 -36.7534698),50543,481.78,115.63
17443009,POINT (144.9372302 -37.8155076),18038,341.6,58.16
17441649,POINT (145.8946675 -36.2710233),17241,116.63,8.4
17441454,POINT (145.0390668 -37.9090062),vic:rail:MCK,225.18,54.04
17441343,POINT (143.1263245 -38.6567396),20907,3995.85,267.67
17440939,POINT (-38.2702207 144.6284627),,,
17440666,POINT (-37.6711866 145.1629763),,,
17440506,POINT (-36.3710749 148.8265326),,,
17439079,POINT (-36.9159202 144.7033402),,,
17437465,POINT (144.9109753 -37.5862965),28292,551.29,73.16
17436177,POINT (145.0488933 -37.6792326),4518,521.73,70.04
17435801,POINT (144.8014679 -38.3965111),40029,1832.35,322.84
17435649,POINT (-38.3938969 145.1176328),,,
17434184,POINT (145.1244932 -37.9081051),6421,275.64,24.2
17434079,POINT (-37.3078668 144.1355473),,,
17433898,POINT (-37.7800276 145.282616),,,
17433725,POINT (144.9965119 -37.8759668),vic:rail:RIP,106.42,25.54
17433003,POINT (-38.1958291 143.0128426),,,
17432017,POINT (144.963942 -37.7029005),40754,156.55,37.23
17431839,POINT (145.0342399 -37.9301814),14947,412.99,93.35
17431045,POINT (-37.7809593 144.8548778),,,
17430824,POINT (-37.7978955 144.9847031),,,
17430354,POINT (144.9513719 -37.8119298),19510,97.31,13.31
17430249,POINT (-38.3862671 142.5997476),,,
17429526,POINT (-37.4578884 144.1394473),,,
17428601,POINT (144.9595257 -37.8097375),20471,175.44,23.3
17427936,POINT (-38.0832259 142.8043743),,,
17427866,POINT (144.993878 -37.836617),vic:rail:SYR,440.51,79.29
17427498,POINT (-37.5688556 143.8353483),,,
17427493,POINT (145.0111228 -37.7731704),682,4.9,0.88
17427290,POINT (-38.3409237 146.0905931),,,
17427139,POINT (144.9603877 -37.5165486),27619,2118.46,197.88
17426550,POINT (144.2237576 -37.0601871),46275,331.22,43.48
17426491,POINT (-37.173678 144.0882527),,,
17425988,POINT (145.0448273 -37.2079803),vic:rail:BRF,777.6,84.72
17425837,POINT (-36.5362917 147.052172),,,
17425256,POINT (144.993878 -37.836617),vic:rail:SYR,440.51,79.29
17424727,POINT (-37.30756 144.949372),,,
17424029,POINT (144.9573479 -37.8146627),17885,237.33,48.55
17421771,POINT (144.7423173 -37.8787962),50026,409.69,62.34
17421169,POINT (-37.8799041 145.0935488),,,
17421168,POINT (-38.812453 146.206555),,,
17420606,POINT (145.3327872 -38.0803726),51319,635.01,117.23
17420293,POINT (-37.5411186 145.0236239),,,
17418344,POINT (144.9566396 -37.8102641),20470,33.99,8.16
17418324,POINT (-38.3518316 143.5722665),,,
17417247,POINT (-38.1014819 145.2571005),,,
17415193,POINT (-38.3803942 144.9759881),,,
17414946,POINT (-38.405501 143.613028),,,
17414576,POINT (144.6395608 -37.83887060000001),28036,1620.49,181.96
17413284,POINT (144.9556249 -37.8006456),51573,89.1,12.96
17413148,POINT (144.9938153 -37.8385882),vic:rail:SYR,657.8,118.4
17412674,POINT (145.3331054 -38.124071),51325,683.47,75.57
17412503,POINT (144.5700268 -37.6989278),13427,571.56,118.82
17408287,POINT (144.3488767 -38.30910739999999),23273,1292.85,218.84
17406494,POINT (-37.7813407 145.0188844),,,
17406209,POINT (-37.7367751 144.8241221),,,
17406103,POINT (-37.2379314 143.6143693),,,
17404030,POINT (-36.0992194 147.0611529),,,
17403573,POINT (146.3862077 -36.44350610000001),39129,246.63,23.81
17402402,POINT (-36.7781275 146.9861198),,,
17401741,POINT (145.151599 -37.8606689),15915,242.78,31.96
17400024,POINT (-37.9760109 145.0204751),,,
17398656,POINT (-37.8856849 145.0520378),,,
17398369,POINT (145.0378181 -37.6502622),1021,487.22,109.82
17396819,POINT (146.8657147 -36.1172312),37379,458.04,82.77
17395997,POINT (145.3693634 -38.08020870000001),27961,396.15,50.72
17394376,POINT (-36.1227428 147.0978387),,,
17393703,POINT (145.0260383 -37.8001108),384,385.92,53.66
17392828,POINT (-37.7352411 144.7555386),,,
17391313,POINT (-37.7814923 144.8021318),,,
17391063,POINT (-37.7477519 144.7696733),,,
17390929,POINT (-38.1350374 144.3352076),,,
17390308,POINT (-37.7590935 144.8710306),,,
17389709,POINT (-37.8783461 144.9968113),,,
17388787,POINT (-37.7947699 145.2903557),,,
17388154,POINT (-37.9997485 145.253606),,,
17386974,POINT (-37.829941 145.3525437),,,
17386710,POINT (-37.7889123 144.8054433),,,
17386432,POINT (-37.7515974 144.7487687),,,
17385951,POINT (-38.0613231 145.2504312),,,
17385251,POINT (144.6012492 -37.90873759999999),50144.0,2231.04,226.71
17383491,POINT (-37.7280735 144.7793782),,,
17380456,POINT (144.9593125 -37.809678),20471.0,160.47,21.26
17379447,POINT (145.0273042 -38.3987535),13572.0,5949.26,361.55
17379265,POINT (-38.3684561 147.1886631),,,
17379186,POINT (144.6790275 -37.8641886),50183.0,198.27,28.55
17377227,POINT (-37.5453349 144.595863),,,
17376790,POINT (-37.9971392 145.2507783),,,
17376191,POINT (145.1114642 -37.8353502),9193.0,114.28,8.23
17375846,POINT (-34.092053 142.0435042),,,
17375314,POINT (-37.6563541 145.3765884),,,
17374684,POINT (-38.58333 146.03333),,,
17374425,POINT (-37.6847356 145.4820866),,,
17371158,POINT (-37.8841857 145.0076182),,,
17369584,POINT (145.0102218 -37.8630451),5927.0,76.44,7.65
17369581,POINT (-37.4237118 143.9537927),,,
17369140,POINT (144.6083778 -37.8857237),50153.0,332.6,47.89
17368743,POINT (145.0116379 -37.7283918),1241.0,223.3,41.06
17366782,POINT (-37.7772842 144.8048708),,,
17364756,POINT (-38.0339505 147.5994661),,,
17364554,POINT (145.232776 -37.8295642),12059.0,958.9,107.05
17361918,POINT (-36.2615246 142.393765),,,
17361662,POINT (-37.1901208 144.3862464),,,
17360388,POINT (144.6412234 -37.8422043),28036.0,1270.95,174.03
17360318,POINT (-36.2507474 142.3860223),,,
17359952,POINT (144.6590322 -37.7424076),1980.0,2361.95,209.81
17358997,POINT (-37.9991011 145.2451012),,,
17356966,POINT (-37.8148966 144.9461767),,,
17356348,POINT (-36.4608192 142.0323349),,,
17356064,POINT (145.2047961 -37.98045500000001),1860.0,248.44,55.91
17355826,POINT (144.7566609 -37.87588179999999),46688.0,316.62,45.71
17355370,POINT (144.6515852 -37.8814022),5748.0,468.53,44.13
