property_id,coordinates,stationid,min_route_dist_m,min_route_dur_s
16026394,POINT (144.972487 -37.83547),19528,341.71,57.59
16028023,POINT (144.978682 -37.825071),48761,745.45,83.01
16030421,POINT (144.97833 -37.842626),19573,392.76,56.0
15132854,POINT (145.114197 -37.807675),4969,332.1,27.53
15882758,POINT (145.108712 -37.801717),4656,155.01,29.05
15974016,POINT (145.118346 -37.798687),22313,12.31,1.48
15998116,POINT (145.11114 -37.806443),4969,753.3,97.88
15999011,POINT (145.109174 -37.801698),4656,195.17,36.28
16000602,POINT (145.110295 -37.799052),4941,305.09,71.94
16017517,POINT (145.115295 -37.812214),4968,103.35,21.87
16046223,POINT (145.105871 -37.774939),41403,248.63,36.49
16048651,POINT (145.089834 -37.82164),12213,755.43,88.14
15921899,POINT (145.041077 -37.941426),15661,209.74,34.95
16001400,POINT (145.048911 -37.935286),3501,59.19,14.2
16010832,POINT (145.049895 -37.940193),3362,229.69,55.12
16011307,POINT (145.037771 -37.934851),14233,96.65,22.32
16032863,POINT (145.047286 -37.939905),3362,182.51,43.8
16036615,POINT (145.049216 -37.945031),3506,163.34,33.93
16038267,POINT (145.048701 -37.935844),3501,36.95,8.87
16039051,POINT (145.05105 -37.942871),15953,119.44,24.88
15939670,POINT (145.022185 -38.269668),12340,326.05,37.44
15998249,POINT (145.019621 -38.269058),12283,119.58,22.63
16026721,POINT (145.065831 -38.248015),21571,664.48,139.55
16030697,POINT (145.041978 -38.23487),12604,427.31,41.58
16030723,POINT (145.039066 -38.249208),13203,462.67,70.91
16031317,POINT (145.039412 -38.235763),12734,336.19,58.29
15990752,POINT (145.185469 -37.828162),16673,102.5,14.49
15995643,POINT (145.169599 -37.81694),44028,648.81,83.32
16013480,POINT (145.180018 -37.805413),4118,240.56,53.47
16017988,POINT (145.176287 -37.817359),4121,312.06,58.34
16022671,POINT (145.181838 -37.831291),16708,891.56,157.11
16030598,POINT (145.165557 -37.815967),5115,242.78,58.26
16034947,POINT (145.173706 -37.813009),3078,9.34,0.67
8233991,POINT (144.954252 -37.795634),46457,370.04,65.32
13814750,POINT (144.939152 -37.778836),45660,78.36,12.8
14983269,POINT (144.941773 -37.788613),17959,295.74,53.9
15211194,POINT (144.939152 -37.778836),45660,78.36,12.8
15546900,POINT (144.939152 -37.778836),45660,78.36,12.8
15853526,POINT (144.958684 -37.786844),45655,216.29,24.07
15912140,POINT (144.941554 -37.786295),19259,256.61,50.12
15980240,POINT (144.959499 -37.780333),17329,295.25,25.76
16001502,POINT (144.938529 -37.778005),45648,39.85,5.74
16002920,POINT (144.938529 -37.778005),45648,39.85,5.74
16039772,POINT (144.938979 -37.778358),45648,13.93,2.0
16042481,POINT (144.939152 -37.778836),45660,78.36,12.8
16025883,POINT (144.944488 -37.843908),47138,80.81,14.13
16029852,POINT (144.944606 -37.837266),648,176.36,40.19
16034335,POINT (144.936269 -37.83645),19372,77.32,16.14
16038756,POINT (144.945587 -37.84137),47133,248.57,40.81
16039800,POINT (144.94278 -37.833063),19371,86.23,20.7
16040691,POINT (144.940706 -37.843688),47137,243.75,37.58
16041018,POINT (144.944606 -37.837266),648,176.36,40.19
16041306,POINT (144.938559 -37.841023),47136,400.95,84.3
16041481,POINT (144.943719 -37.844328),47134,200.86,30.01
16046297,POINT (144.94382 -37.83843),10076,258.42,46.67
15978813,POINT (145.006849 -37.858385),19029,194.3,24.6
15991793,POINT (145.008039 -37.858953),3947,359.33,48.73
15995682,POINT (145.010065 -37.852906),3944,223.5,41.6
16008631,POINT (145.005223 -37.849516),3941,177.18,22.84
16013307,POINT (144.997839 -37.852005),16610,65.45,13.67
16015493,POINT (145.004899 -37.854354),16739,212.7,35.99
16022563,POINT (144.998286 -37.849973),6621,309.5,69.07
16025167,POINT (145.010302 -37.854934),5924,155.16,33.94
16028331,POINT (145.003748 -37.848861),6564,76.1,9.92
14993222,POINT (145.000949 -38.31068),40354,793.61,127.79
15749561,POINT (145.00039 -38.308836),38366,768.87,127.93
15965849,POINT (144.98985 -38.318221),40310,33.74,4.86
16022294,POINT (144.981251 -38.324664),40346,167.16,24.07
16035967,POINT (145.172273 -38.310612),13155,1519.89,184.08
13331592,POINT (144.788497 -37.731188),10376,483.27,43.74
16020113,POINT (144.804675 -37.731936),47515,369.31,57.06
16023474,POINT (144.8071 -37.743656),7940,230.5,17.85
16027386,POINT (144.811615 -37.732604),47514,436.88,58.99
16030198,POINT (144.810927 -37.758506),7931,41.75,9.15
16033802,POINT (144.794803 -37.745565),10872,250.15,53.62
16039848,POINT (144.795971 -37.742517),10872,331.07,36.82
16039871,POINT (144.783193 -37.735089),10865,250.2,38.95
16040628,POINT (144.781335 -37.739377),47563,436.95,79.16
16042044,POINT (144.801097 -37.740662),10644,38.97,5.61
16042635,POINT (144.813331 -37.73556),10648,630.6,148.31
15948483,POINT (143.894317 -37.444697),35277,700.59,162.01
15949793,POINT (143.887012 -37.42557),36626,660.86,131.1
15959661,POINT (143.809909 -37.506115),23161,849.67,196.71
16018360,POINT (143.813312 -37.603313),48598,1697.12,152.81
16045176,POINT (143.80107 -37.4808),22695,31.95,7.67
16046314,POINT (143.893305 -37.435396),35253,309.85,59.13
16046362,POINT (143.823104 -37.595451),50283,802.54,101.93
15208134,POINT (144.47022 -37.259363),44860,525.82,105.85
15995740,POINT (144.454698 -37.250716),44863,310.89,44.78
16002124,POINT (144.465374 -37.250689),44858,244.61,51.78
16038691,POINT (144.464825 -37.254526),44862,315.95,30.79
16046388,POINT (144.45626 -37.246089),44879,277.81,24.79
13740759,POINT (145.212182 -37.831924),15720,236.61,40.88
15367459,POINT (145.198967 -37.838232),15299,376.78,32.54
15791304,POINT (145.190296 -37.835821),11497,260.11,39.85
15964934,POINT (145.184827 -37.831965),16675,366.3,85.1
15988930,POINT (145.207905 -37.835677),15295,182.13,43.71
15998394,POINT (145.192138 -37.817644),47109,44.01,6.59
16009646,POINT (145.210944 -37.838591),15296,567.23,102.01
16018896,POINT (145.198967 -37.838232),15299,376.78,32.54
16019516,POINT (145.195139 -37.831626),11501,1.98,0.14
16024834,POINT (145.184827 -37.831965),16675,366.3,85.1
16025878,POINT (145.256187 -37.788141),8496,209.82,25.82
16028354,POINT (145.195759 -37.836925),11853,424.25,62.21
15947666,POINT (145.224879 -37.864218),23265,49.68,3.97
15990423,POINT (145.230974 -37.850494),15228,487.1,101.74
16008576,POINT (145.238984 -37.856971),15166,303.53,64.6
16012336,POINT (145.224144 -37.863708),8257,320.28,71.75
16015278,POINT (145.243795 -37.848815),17212,503.49,120.83
16027127,POINT (145.22364 -37.846905),15172,392.19,34.4
16033709,POINT (145.22364 -37.846905),15172,392.19,34.4
16036726,POINT (145.236312 -37.848135),15226,425.17,75.26
15999960,POINT (142.519973 -38.38691),21705,2267.03,247.85
