property_id,coordinates,stationid,min_route_dist_m,min_route_dur_s
17644903,POINT (145.025027 -37.9779158),11316,226.35,27.72
17741194,POINT (145.0125971 -37.9658465),20922,556.7,74.79
17674632,POINT (145.0120632 -37.970123),8039,666.75,61.22
17712643,POINT (145.1585468 -37.8083544),5250,42.76,7.41
17736819,POINT (145.154799 -37.8014988),1302,467.6,107.58
17451659,POINT (145.1431254 -37.8167517),5265,213.91,29.02
17752949,POINT (145.1427628 -37.8222821),11470,701.36,98.2
17688387,POINT (145.1457606 -37.82314460000001),11470,389.21,53.25
17743910,POINT (145.1338544 -38.0591189),2502,932.89,164.46
17556879,POINT (145.2558767 -37.8629111),15772,479.1,70.76
17753633,POINT (145.2557249 -37.8572246),15396,263.48,34.3
17729833,POINT (145.2705473 -37.865867),15673,81.62,11.75
17754409,POINT (145.1161627 -37.8119445),4968,39.37,7.19
17710052,POINT (145.126798 -37.812627),4976,171.3,23.93
17752602,POINT (145.1266123 -37.8082206),4672,95.3,19.26
17734972,POINT (145.1263747 -37.813216),4976,177.0,29.47
17754405,POINT (145.1305486 -37.8294664),11897,126.01,14.88
17746292,POINT (145.1121314 -37.8416029),6504,166.78,36.96
17745706,POINT (145.129643 -37.819143),5103,243.47,36.25
17705672,POINT (145.117206 -37.821435),9187,486.98,53.2
17658712,POINT (145.1251727 -37.8247326),11901,206.91,23.01
17710963,POINT (145.1208678 -37.8243416),8667,212.04,24.45
17758122,POINT (145.0058121 -37.924012),3485,520.47,59.17
17721825,POINT (145.0204678 -37.9210118),51603,135.99,27.19
16204501,POINT (145.0206025 -37.9060703),45958,269.93,52.99
17716574,POINT (145.0169324 -37.92158939999999),51605,404.49,77.52
17606156,POINT (145.0166606 -37.9311013),3372,125.05,7.5
17753432,POINT (145.0017027 -37.8913233),20394,791.36,135.49
17757055,POINT (145.0039173 -37.926368),3485,162.77,16.28
17657121,POINT (144.9906616 -37.8987134),4629,154.61,29.95
17713501,POINT (144.9922133 -37.9214792),3238,151.32,34.8
17753100,POINT (145.0031304 -37.9085277),12445,481.82,80.01
17736338,POINT (144.993519 -37.9299609),11621,22.08,1.59
17744432,POINT (144.9982116 -37.9267194),3485,465.67,68.13
17629631,POINT (145.0028018 -37.9128856),11624,265.57,48.9
17542223,POINT (144.986966 -37.903278),4631,169.05,19.96
17733670,POINT (144.9261284 -37.6797429),9753,305.05,104.53
17350357,POINT (144.9340798 -37.6866144),8891,73.35,6.65
17738928,POINT (144.9311072 -37.6320831),4607,611.22,130.06
17696383,POINT (144.9218069 -37.6364966),22915,531.14,125.72
17635163,POINT (144.9195346 -37.62943509999999),4598,434.34,86.24
17755607,POINT (144.9199603 -37.6369276),22915,372.98,87.77
17727353,POINT (144.5416213 -37.6889229),805,1158.94,144.74
17660145,POINT (144.5470681 -37.6901352),805,757.59,112.41
17758526,POINT (144.5382838 -37.6997518),5722,1422.48,156.94
17745153,POINT (144.5420777 -37.6977448),5722,918.13,81.45
17720436,POINT (144.5394089 -37.6994134),5722,1355.99,155.66
17704042,POINT (144.9810332 -37.7664282),10519,161.83,30.48
17752208,POINT (144.9738467 -37.7648478),18718,97.31,10.7
16944362,POINT (144.970481 -37.7780368),19348,203.24,29.94
16053638,POINT (144.9756297 -37.7765249),9301,429.14,64.54
17626025,POINT (144.9444556 -37.7564261),49278,157.22,21.99
17694144,POINT (144.9490223 -37.7576883),10733,174.2,24.56
17758717,POINT (144.9621239 -37.7670402),17323,7.64,1.83
17727845,POINT (144.949435 -37.77561),7969,95.53,9.02
17727155,POINT (144.9660559 -37.7669254),6179,339.03,42.03
17717015,POINT (144.9537627 -37.771981),9290,257.72,36.51
17702934,POINT (144.9566036 -37.7580222),9731,541.31,53.96
12881206,POINT (144.9735229 -37.7592696),18720,180.19,23.22
17718914,POINT (144.9594412 -37.7567095),8838,274.95,35.61
17349735,POINT (145.0929859 -37.7737485),6401,215.71,48.07
17452588,POINT (145.1397482 -37.7889475),4354,653.77,80.21
17749866,POINT (145.1586637 -37.7665254),3867,459.06,82.89
17745337,POINT (145.0917683 -37.7675416),5544,268.22,31.51
17752853,POINT (145.1263196 -37.7581421),5565,409.68,45.73
17725963,POINT (145.1189189 -37.778489),3421,272.43,57.18
17755638,POINT (145.0906304 -37.7660033),5544,231.73,20.11
17749152,POINT (145.1629898 -37.7678339),48790,57.73,11.66
17721915,POINT (145.1198881 -37.7801838),3421,327.57,70.41
17685751,POINT (145.1382766 -37.7663461),4828,707.16,160.37
17261668,POINT (145.1164127 -37.7869198),3993,442.04,63.38
14249722,POINT (145.0411077 -37.6958165),10831,285.67,51.84
17748749,POINT (145.2079133 -37.6357257),51124,1445.37,186.1
17750812,POINT (145.0619531 -37.6952217),2694,332.67,64.94
17744089,POINT (145.0515591 -37.6961067),10828,210.88,40.62
17739116,POINT (145.0579876 -37.6782636),2325,76.3,12.38
17719054,POINT (145.0435396 -37.6977998),10341,453.99,96.75
17752160,POINT (145.0987027 -37.7143573),1726,317.73,44.45
17707980,POINT (145.1005654 -37.695562),863,188.91,22.99
17738754,POINT (145.0767463 -37.6949129),177,1174.97,215.35
15982051,POINT (145.2113999 -37.632396),51124,1810.39,171.23
16896206,POINT (145.0604191 -37.6847037),14011,83.3,10.95
17748895,POINT (145.1212557 -37.8445871),9195,19.2,1.38
17696851,POINT (145.0811189 -37.8636015),11799,25.5,2.62
17723749,POINT (145.0898783 -37.8602895),9668,364.78,84.23
17737177,POINT (145.0477629 -37.8591229),16753,43.28,6.45
17749822,POINT (145.0849973 -37.8476238),21086,177.17,41.94
17723589,POINT (145.0611588 -37.842727),18802,275.76,40.04
17717604,POINT (145.068504 -37.8494452),15493,153.06,22.35
17512392,POINT (145.0772707 -37.8481265),21082,15.79,2.27
17743157,POINT (145.0679934 -37.8402255),21073,172.3,37.07
17624808,POINT (145.088257 -37.8372731),19770,283.27,35.44
17661725,POINT (145.070438 -37.8423765),21074,241.06,41.35
17557932,POINT (145.0544588 -37.8648416),22005,175.36,26.99
