property_id,coordinates,stationid,min_route_dist_m,min_route_dur_s
15908140,POINT (145.009696 -37.679992),10638,3.48,0.28
17374500,POINT (145.027908 -37.674994),1009,354.9,46.46
15943438,POINT (145.015864 -37.666251),4748,149.47,23.36
17124475,POINT (145.009555 -37.677635),10638,271.68,21.73
17538340,POINT (144.995562 -37.678027),22074,371.1,38.53
17402038,POINT (145.019197 -37.671911),102,213.71,30.77
15965665,POINT (145.011154 -37.665738),11736,131.4,18.22
17392719,POINT (144.999845 -37.761809),6034,33.14,3.41
17536231,POINT (144.992015 -37.756929),4161,306.19,47.91
17374557,POINT (145.007492 -37.760959),8824,224.6,44.54
17390288,POINT (145.005457 -37.753047),560,183.08,32.85
15862240,POINT (144.993206 -37.761167),4469,168.73,11.04
15470628,POINT (144.995445 -37.760794),4469,424.63,63.0
15875101,POINT (145.023303 -37.758901),246,174.66,32.04
17661659,POINT (144.989288 -37.756621),9722,348.71,62.6
17389389,POINT (145.008498 -37.753388),253,55.68,10.13
15852714,POINT (145.009402 -37.753464),253,143.1,27.55
15877172,POINT (144.983298 -37.751716),4475,548.71,81.93
17147583,POINT (144.995138 -37.761921),4469,287.54,41.08
17660338,POINT (145.006629 -37.756312),560,482.92,87.43
17381553,POINT (145.009126 -37.75631),8454,533.34,96.97
17391032,POINT (145.004206 -37.761147),8825,289.26,64.46
15862811,POINT (145.002608 -37.756425),26295,167.2,36.82
16703908,POINT (142.978761 -38.484895),46462,634.79,114.07
17252124,POINT (145.00419 -37.84739),18937,164.39,34.09
17532136,POINT (145.013566 -37.839582),19332,321.46,42.68
15966620,POINT (145.012474 -37.847404),20698,42.18,3.8
17250050,POINT (145.019914 -37.850134),18942,108.59,11.17
17535242,POINT (145.013682 -37.84136),19332,41.39,10.48
17528450,POINT (145.010149 -37.847248),20726,294.07,42.34
17582847,POINT (145.010418 -37.842072),19331,103.88,14.34
17523519,POINT (145.008081 -37.84296),19330,225.46,23.19
15962928,POINT (145.006586 -37.832282),20707,506.4,63.54
15963694,POINT (145.004101 -37.84646),26188,172.27,34.97
17517604,POINT (145.006694 -37.848099),5920,56.04,5.04
15949948,POINT (145.013379 -37.841788),19332,32.1,6.62
15948031,POINT (145.028072 -37.849784),19064,281.64,52.72
17539989,POINT (145.008503 -37.84863),19123,99.61,10.72
17582721,POINT (145.014608 -37.838194),19332,402.67,44.39
15942099,POINT (145.01104 -37.841162),18709,9.51,1.37
17518946,POINT (145.01207 -37.841287),18709,101.58,12.05
16949239,POINT (145.015066 -37.839752),18781,407.04,78.13
17579046,POINT (145.009873 -37.8375),20718,90.84,21.8
16973611,POINT (145.006305 -37.840604),18707,80.12,9.61
16363423,POINT (145.029744 -37.843756),19336,275.01,25.95
16979172,POINT (145.030733 -37.843736),19338,67.13,10.32
16951164,POINT (145.014471 -37.839075),19332,307.48,34.83
16984950,POINT (145.018133 -37.84757),18941,498.28,71.04
16376497,POINT (144.86051 -38.369674),40036,171.8,41.23
15897917,POINT (144.321903 -38.331641),30937,47.82,3.83
17009810,POINT (146.160339 -38.208019),45021,535.98,58.61
17622779,POINT (146.160339 -38.208019),45021,535.98,58.61
15954535,POINT (146.520978 -38.186208),32310,120.26,28.86
15951253,POINT (146.5265 -38.180252),46118,745.24,149.89
17627873,POINT (146.528744 -38.197853),32469,91.87,15.17
17627835,POINT (146.531914 -38.1935),32336,315.35,36.74
17517956,POINT (144.938297 -37.78466),19260,157.76,32.25
17515804,POINT (144.938297 -37.78466),19260,157.76,32.25
10165170,POINT (144.938297 -37.78466),19260,157.76,32.25
16821190,POINT (144.938297 -37.78466),19260,157.76,32.25
16845642,POINT (144.938297 -37.78466),19260,157.76,32.25
16047762,POINT (144.935159 -37.782985),19600,120.32,14.87
16879496,POINT (144.938297 -37.78466),19260,157.76,32.25
17479258,POINT (144.935159 -37.782985),19600,120.32,14.87
17391397,POINT (144.938692 -37.78537),19260,73.27,16.08
16871435,POINT (144.733225 -37.84354),27998,806.67,77.61
17607206,POINT (145.145572 -38.284329),12127,4369.39,270.15
17142998,POINT (145.188856 -38.258441),12090,360.91,48.82
17132691,POINT (145.186788 -38.261692),13148,191.35,12.57
17140680,POINT (145.186029 -38.257462),12132,383.92,92.14
17269034,POINT (145.190521 -37.853277),15307,346.25,54.53
17265623,POINT (145.187815 -37.855284),8250,295.74,42.58
17298098,POINT (145.131712 -37.857003),6352,33.37,5.51
15292953,POINT (145.13533 -37.849861),8392,391.08,69.52
15808525,POINT (145.169736 -37.843753),12518,579.89,73.3
15919574,POINT (145.13533 -37.849861),8392,391.08,69.52
15950021,POINT (145.13533 -37.849861),8392,391.08,69.52
17296876,POINT (145.135181 -37.851929),8237,266.66,22.58
16748480,POINT (145.167395 -37.834004),12522,549.23,72.79
15841570,POINT (145.167864 -37.834072),12522,507.43,69.79
15251803,POINT (145.177325 -37.833987),12947,581.82,108.89
17328503,POINT (145.135181 -37.851929),8237,266.66,22.58
17370121,POINT (145.174039 -37.833905),12947,607.28,100.93
17275004,POINT (145.212262 -37.835782),15296,575.28,98.8
15952392,POINT (145.160393 -37.852665),8244,579.35,109.29
17441124,POINT (145.168903 -37.841768),11478,460.2,57.43
15903677,POINT (145.156883 -37.846681),15435,136.27,30.64
17458757,POINT (145.191687 -37.834477),11497,381.17,53.86
15038389,POINT (145.174705 -37.831327),12945,292.0,34.48
17237852,POINT (146.293276 -36.356126),37573,630.79,58.35
17237512,POINT (146.319604 -36.368536),48680,82.24,16.41
17232588,POINT (146.324018 -36.379567),37606,85.49,6.84
17230449,POINT (146.327546 -36.378116),47484,422.51,76.82
17233268,POINT (146.322399 -36.358867),44188,406.16,52.21
15877528,POINT (145.244899 -37.863166),15775,107.11,13.71
15896593,POINT (145.231823 -37.873947),15162,345.64,76.28
17069852,POINT (145.241213 -37.858517),15222,142.05,20.06
17524486,POINT (145.249654 -37.855135),15395,760.69,91.15
17582150,POINT (145.244492 -37.859692),15222,436.32,59.89
15869386,POINT (145.24967 -37.86055),15773,323.7,68.55
17580107,POINT (145.242613 -37.861536),15402,85.51,10.84
16032101,POINT (145.227092 -37.844833),15230,253.08,22.54
17551625,POINT (145.920421 -38.157602),51475,68.68,5.49
17637112,POINT (145.933381 -38.162252),51401,29.78,7.15
17004610,POINT (145.930556 -38.156517),51426,467.72,36.67
17138605,POINT (145.929694 -38.152378),51423,242.57,48.52
17051863,POINT (145.939202 -38.161552),51493,121.87,15.85
16036338,POINT (142.495479 -38.376726),36392,1152.54,139.17
16029672,POINT (142.469909 -38.359654),36381,3352.57,316.73
16032788,POINT (142.45991 -38.361126),20358,3566.99,366.44
17402709,POINT (142.45991 -38.361126),20358,3566.99,366.44
16035701,POINT (142.47555 -38.368422),36381,2354.84,249.22
16039026,POINT (142.490844 -38.380884),36392,583.7,96.12
16011519,POINT (142.47555 -38.368422),36381,2354.84,249.22
16022976,POINT (142.4871 -38.385427),36392,499.58,70.06
17515713,POINT (143.838163 -37.538087),50324,304.93,58.29
17238030,POINT (143.833604 -37.540057),35016,87.05,5.7
17526488,POINT (143.831722 -37.523125),35049,345.28,74.36
15883829,POINT (143.817804 -37.556354),35129,253.44,40.35
15914500,POINT (143.822733 -37.537804),35010,194.49,22.24
17602795,POINT (144.706796 -37.965179),47152,303.2,64.75
17161731,POINT (144.70593 -37.965939),47152,308.65,68.42
14439143,POINT (144.70593 -37.965939),47152,308.65,68.42
17121830,POINT (144.70593 -37.965939),47152,308.65,68.42
14885740,POINT (144.70593 -37.965939),47152,308.65,68.42
17227345,POINT (144.698931 -37.877278),5989,491.91,56.42
15965364,POINT (144.660558 -37.90695),44388,190.08,31.06
17512077,POINT (144.667082 -37.902025),7183,476.81,64.47
17629887,POINT (144.65838 -37.896329),7197,84.68,10.36
17414454,POINT (144.700462 -37.867383),5675,379.65,35.35
17386779,POINT (144.689462 -37.861321),50196,674.46,74.46
17504991,POINT (144.654682 -37.894652),5213,306.86,37.19
17387502,POINT (144.694282 -37.871665),21799,295.01,42.37
16666255,POINT (144.867726 -37.796442),3921,125.67,15.93
15964577,POINT (144.867726 -37.796442),3921,125.67,15.93
13481443,POINT (144.866978 -37.796357),3921,49.97,5.29
15861585,POINT (144.867203 -37.798019),3922,331.21,73.79
15920359,POINT (144.869616 -37.810322),40901,306.94,25.16
17556439,POINT (144.867794 -37.806699),23244,319.37,42.71
17348568,POINT (144.866639 -37.807363),40901,362.56,49.95
17337471,POINT (144.875509 -37.793528),2556,47.43,4.78
17607017,POINT (144.867457 -37.796436),3921,92.89,10.44
15892627,POINT (144.871132 -37.796846),3923,50.06,5.15
17324762,POINT (144.868633 -37.807922),40901,180.44,23.73
17631653,POINT (144.867457 -37.796436),3921,92.89,10.44
16301657,POINT (144.867457 -37.796436),3921,92.89,10.44
17616978,POINT (144.86915 -37.805431),10238,217.17,28.83
17624434,POINT (144.878989 -37.797459),5904,75.16,9.02
15871272,POINT (144.880394 -37.791689),2558,350.7,82.06
17348940,POINT (144.867794 -37.796919),3921,177.29,28.32
16755372,POINT (146.853578 -36.133131),37391,358.17,34.63
17089510,POINT (144.888544 -37.6786),7288,289.33,62.88
17556604,POINT (144.895704 -37.677042),9122,8.0,0.64
17332516,POINT (145.187599 -37.909123),1474,360.68,38.57
16901526,POINT (145.189211 -37.918736),1471,78.28,14.42
16964954,POINT (144.299061 -36.740824),36177,249.13,31.57
16954300,POINT (144.292164 -36.731067),40140,91.49,17.64
16324314,POINT (144.74374 -37.866608),50137,281.16,30.37
17476610,POINT (146.893124 -36.125718),37412,495.22,59.97
16776378,POINT (146.886872 -36.133595),37381,42.89,3.09
16902763,POINT (146.89372 -36.127609),37412,600.68,101.94
15965902,POINT (146.902572 -36.131965),37410,186.98,37.86
16975595,POINT (146.89372 -36.127609),37412,600.68,101.94
17413178,POINT (146.889555 -36.128617),37364,412.91,43.79
16898711,POINT (146.89372 -36.127609),37412,600.68,101.94
15957652,POINT (146.884633 -36.139485),37383,248.99,29.83
15943810,POINT (146.907441 -36.129494),37408,281.36,38.47
17445349,POINT (146.870962 -36.122196),37357,98.89,11.03
16875884,POINT (146.882109 -36.123894),37359,140.65,15.97
16789753,POINT (146.89372 -36.127609),37412,600.68,101.94
17433781,POINT (146.89372 -36.127609),37412,600.68,101.94
16780528,POINT (146.89372 -36.127609),37412,600.68,101.94
9901737,POINT (145.591516 -38.610785),44073,37.1,2.43
17071451,POINT (145.589362 -38.613324),44070,262.03,62.89
17468622,POINT (144.570679 -37.356905),,,
17051704,POINT (144.530475 -37.358592),23514,503.09,100.96
17057708,POINT (144.524692 -37.359753),20361,828.55,116.33
17513536,POINT (144.608484 -37.875365),50263,165.81,19.92
13618201,POINT (144.887242 -37.820465),8310,69.32,11.05
13753269,POINT (144.886611 -37.816383),8993,154.08,24.11
16316289,POINT (144.884299 -37.821337),8996,143.31,21.23
15871509,POINT (146.002529 -36.020308),37630,1190.1,170.77
15940283,POINT (145.43064 -37.212832),18671,786.12,97.19
17441015,POINT (145.11888 -37.916932),7095,385.39,84.68
15950702,POINT (146.253581 -38.180828),32139,214.06,30.9
17492577,POINT (144.93368 -37.688124),8890,223.32,44.31
17404605,POINT (145.032416 -38.240525),12331,584.02,101.43
16862568,POINT (148.461153 -37.701888),20857,950.1,99.63
16069524,POINT (145.155489 -37.035212),43425,70.83,17.0
15881074,POINT (145.149075 -37.849424),8242,360.81,51.71
15888882,POINT (145.990802 -36.020317),37630,2144.45,248.36
17029316,POINT (144.88123 -37.722063),8630,92.58,21.1
17069872,POINT (144.885282 -37.728357),7249,332.93,61.98
17070561,POINT (144.872016 -37.724234),7834,507.37,121.77
17070379,POINT (144.879601 -37.722549),7245,95.57,20.59
15962807,POINT (144.94696 -37.843896),47133,179.76,41.61
17447696,POINT (144.951612 -37.846447),10079,416.69,88.45
15956770,POINT (144.955732 -37.847168),10249,156.82,20.62
15956837,POINT (144.96905 -37.844014),19574,1843.08,194.34
15914080,POINT (144.946609 -37.845676),18663,288.92,46.0
15850223,POINT (144.96905 -37.844014),19574,1843.08,194.34
15943923,POINT (144.951612 -37.846447),10079,416.69,88.45
17619944,POINT (144.948891 -37.845798),18662,129.01,17.48
15942526,POINT (144.956499 -37.846759),10249,113.01,13.56
15937254,POINT (144.954604 -37.843333),19313,346.07,41.13
17613506,POINT (144.960328 -37.846822),4131,213.56,30.44
17574252,POINT (144.960328 -37.846822),4131,213.56,30.44
15827113,POINT (144.853612 -37.836867),14450,266.27,45.39
15958224,POINT (144.845628 -37.845351),8895,261.04,39.19
15019414,POINT (144.852805 -37.828436),20089,418.86,36.4
15895949,POINT (144.85356 -37.835425),14449,221.17,35.65
15929283,POINT (144.850834 -37.844687),14455,167.3,22.03
15924881,POINT (144.836128 -37.866382),15090,291.93,31.55
15951646,POINT (144.81743 -37.872426),14429,448.84,62.86
17492213,POINT (144.82984 -37.868301),21968,19.04,3.08
17448176,POINT (144.830147 -37.864399),16097,24.44,1.76
16064778,POINT (144.81743 -37.872426),14429,448.84,62.86
15223079,POINT (144.821293 -37.862597),15085,156.37,20.94
15792837,POINT (143.667259 -38.747085),17718,1106.66,108.15
15878272,POINT (142.922916 -37.27882),40651,125.08,30.02
15878337,POINT (142.938772 -37.28766),36903,312.7,76.61
15868742,POINT (142.920954 -37.269328),40655,368.64,38.69
17624987,POINT (142.935839 -37.294919),36917,225.8,54.19
17598442,POINT (142.938251 -37.281453),40672,417.44,93.67
17584037,POINT (142.943282 -37.283991),20288,748.96,89.98
17655518,POINT (142.932815 -37.28381),40671,143.2,14.8
15862220,POINT (142.924493 -37.274453),40656,439.6,105.5
15843858,POINT (142.93144 -37.284872),40669,134.45,32.27
17657866,POINT (142.926695 -37.293962),36915,36.82,8.84
17598569,POINT (142.939641 -37.281086),40673,34.61,8.31
16914788,POINT (142.916509 -37.278951),40650,560.67,134.56
17667099,POINT (142.934152 -37.28419),40670,169.93,30.04
15852398,POINT (142.931959 -37.281735),40659,181.27,22.78
17663986,POINT (142.934419 -37.284545),40670,159.12,29.68
17439104,POINT (142.916505 -37.283308),40649,244.19,58.6
15876761,POINT (142.926017 -37.284459),36904,256.89,36.86
17008158,POINT (145.023325 -37.862566),11285,170.47,19.55
16012908,POINT (145.026358 -37.864683),20524,156.21,22.49
17141707,POINT (145.015387 -37.850223),20680,40.16,9.64
17444430,POINT (145.021903 -37.853773),20730,98.73,13.25
17051773,POINT (145.026357 -37.86114),10371,194.46,31.41
16949950,POINT (145.120583 -38.073849),vic:rail:CAR,486.42,107.66
17531837,POINT (145.119 -38.050726),42273,312.76,42.8
17521971,POINT (145.119374 -38.043156),22332,83.11,7.55
17033474,POINT (145.097857 -38.015501),22375,332.41,46.04
17477001,POINT (145.116824 -38.052988),42273,128.58,17.42
16899888,POINT (145.105338 -38.020616),22381,798.21,112.82
16953640,POINT (145.103116 -38.020782),22377,721.27,83.36
17516123,POINT (145.121983 -38.046684),13708,21.7,1.74
15933222,POINT (144.418571 -37.668414),47713,307.38,49.53
15956224,POINT (144.431034 -37.672259),37720,573.4,64.56
11775325,POINT (144.434113 -37.666761),37738,562.8,84.46
16035829,POINT (144.438339 -37.665115),37738,148.16,17.67
16012693,POINT (144.418527 -37.668003),47713,309.46,50.03
15934625,POINT (144.430651 -37.676386),37720,554.3,58.2
13916005,POINT (144.434844 -37.666267),37739,549.27,71.32
16033697,POINT (144.431034 -37.672259),37720,573.4,64.56
17415168,POINT (144.431034 -37.672259),37720,573.4,64.56
15934592,POINT (144.440833 -37.668128),37739,507.88,52.83
17240760,POINT (144.432613 -37.671871),37720,521.6,57.1
17398622,POINT (144.422589 -37.664902),47713,906.08,127.17
15529044,POINT (144.431034 -37.672259),37720,573.4,64.56
15989791,POINT (144.431034 -37.672259),37720,573.4,64.56
16022789,POINT (144.420689 -37.668814),37755,281.23,39.34
15992044,POINT (144.41903 -37.665446),47713,592.82,82.06
16017844,POINT (144.426683 -37.677038),37702,1033.74,165.36
16003607,POINT (144.418581 -37.67626),37697,40.15,5.78
17539014,POINT (144.426683 -37.677038),37702,1033.74,165.36
15962565,POINT (144.431034 -37.672259),37720,573.4,64.56
17101289,POINT (144.431034 -37.672259),37720,573.4,64.56
17530111,POINT (144.431034 -37.672259),37720,573.4,64.56
17501484,POINT (147.616986 -37.824288),37863,523.4,121.06
17646603,POINT (147.619369 -37.822236),37864,587.42,92.57
16905595,POINT (147.616599 -37.826017),37864,814.86,110.37
17520262,POINT (147.604184 -37.818835),48585,475.73,74.09
15890108,POINT (147.613682 -37.823272),37869,510.56,91.21
16900772,POINT (147.595997 -37.8221),37874,466.88,50.61
16860017,POINT (147.608929 -37.828724),37860,645.8,104.72
17469059,POINT (147.612913 -37.823978),37863,653.4,111.96
15886891,POINT (147.614768 -37.833065),37859,590.45,110.51
17534544,POINT (147.598134 -37.817628),37872,449.44,40.48
17571231,POINT (147.600602 -37.818486),37872,727.41,106.25
16877478,POINT (147.594285 -37.82301),37874,23.15,3.94
17640805,POINT (147.614678 -37.828011),37862,38.5,9.24
17509113,POINT (147.614768 -37.833065),37859,590.45,110.51
17665638,POINT (147.602048 -37.831839),37876,684.01,109.28
17502453,POINT (147.595834 -37.82199),37874,476.77,51.79
16742504,POINT (147.607996 -37.837409),37859,1585.99,166.83
17543491,POINT (147.602262 -37.835176),37860,982.99,103.9
16287336,POINT (147.619985 -37.829778),37859,628.83,76.35
17510634,POINT (147.578521 -37.836964),37876,3752.6,390.7
17656804,POINT (147.614768 -37.833065),37859,590.45,110.51
17447014,POINT (147.614768 -37.833065),37859,590.45,110.51
15643796,POINT (144.993679 -37.866748),26111,228.74,54.42
15386833,POINT (144.992591 -37.867681),26111,186.87,44.37
15884901,POINT (144.992591 -37.867681),26111,186.87,44.37
17121450,POINT (143.852395 -37.563892),35539,215.28,30.92
16902590,POINT (143.851567 -37.561588),35120,348.31,41.21
16871309,POINT (143.856611 -37.564098),35539,242.55,41.98
15968265,POINT (143.842705 -37.561403),47131,199.5,38.16
15936389,POINT (143.841397 -37.560048),35116,130.19,17.51
15795719,POINT (143.847768 -37.567097),35500,195.2,37.36
16891537,POINT (143.852738 -37.555579),35227,276.51,50.8
16890912,POINT (143.85038 -37.561102),35032,193.47,26.82
15304823,POINT (143.855191 -37.559466),35229,48.43,9.11
17100629,POINT (143.851899 -37.555108),35230,251.0,30.12
16898827,POINT (143.851739 -37.552334),35227,257.15,20.33
17534812,POINT (143.85041 -37.565463),35538,366.91,27.08
16896972,POINT (143.842915 -37.560229),35116,288.86,40.2
16904871,POINT (143.851237 -37.569743),48337,140.41,30.98
17120924,POINT (143.850214 -37.550077),35231,141.02,20.03
16889635,POINT (143.8519 -37.569037),48303,365.28,47.17
17429322,POINT (143.847238 -37.561867),35191,163.68,15.17
15968386,POINT (143.839617 -37.563148),35189,304.15,37.81
17426946,POINT (143.873604 -37.568058),48323,296.16,49.42
17041852,POINT (143.866983 -37.557281),35327,256.08,56.34
16904640,POINT (143.880179 -37.568085),35409,198.33,29.26
17060454,POINT (143.894565 -37.566306),35382,183.2,27.18
17034704,POINT (143.895423 -37.568967),40955,392.86,76.24
17055782,POINT (143.885294 -37.569548),48341,22.7,5.45
17048874,POINT (143.894565 -37.566306),35382,183.2,27.18
17054549,POINT (143.875341 -37.566107),48323,487.41,73.32
17056682,POINT (143.879776 -37.567364),35377,181.1,27.11
16985858,POINT (143.876024 -37.558195),35351,228.25,48.94
15964870,POINT (143.870166 -37.539639),48344,421.19,101.08
15919873,POINT (143.868316 -37.538214),35340,287.1,64.68
17152970,POINT (143.863606 -37.538564),35340,539.71,71.2
15946861,POINT (143.86412 -37.541979),35063,336.74,68.52
17599440,POINT (143.874307 -37.539979),35337,188.25,45.18
16961888,POINT (145.125455 -38.381983),13569,1077.08,82.89
17617803,POINT (145.156852 -38.338784),13158,1686.45,112.17
17481992,POINT (145.118435 -38.372745),49394,835.2,117.32
15758581,POINT (145.06736 -37.800788),4642,187.54,25.12
15878690,POINT (145.090947 -37.790416),43933,242.28,34.41
17524120,POINT (145.078079 -37.787455),841,444.9,54.44
15838194,POINT (145.084861 -37.794675),3996,53.45,8.0
16856184,POINT (145.079604 -37.785637),841,324.42,42.44
16814329,POINT (145.100796 -37.801315),5797,329.86,74.5
17488346,POINT (145.100796 -37.801315),5797,329.86,74.5
17535799,POINT (145.091163 -37.80138),4650,424.2,95.81
15885331,POINT (145.082652 -37.795481),6376,213.84,28.97
16847254,POINT (145.088846 -37.797217),6376,476.99,112.24
15819514,POINT (145.078079 -37.787455),841,444.9,54.44
17530886,POINT (145.072059 -37.797691),18570,790.97,92.93
17476844,POINT (145.079604 -37.785637),841,324.42,42.44
16790108,POINT (145.093093 -37.783095),5803,310.55,66.8
17494836,POINT (145.094796 -37.802724),4946,252.11,47.02
15838543,POINT (145.079604 -37.785637),841,324.42,42.44
17382369,POINT (145.087766 -37.781568),6369,4.01,0.72
16899394,POINT (145.079604 -37.785637),841,324.42,42.44
17542578,POINT (145.080768 -37.797242),6377,363.82,41.58
17135800,POINT (145.096838 -37.805591),4652,306.53,25.61
15943745,POINT (145.08373 -37.809913),6383,185.16,21.82
17106708,POINT (145.101348 -37.806164),5794,105.99,10.55
17138940,POINT (145.083889 -37.806784),5816,182.96,19.61
16016673,POINT (146.920414 -36.141139),47053,2649.07,312.71
17379643,POINT (146.915662 -36.13899),47053,1993.15,196.88
16876543,POINT (146.915662 -36.13899),47053,1993.15,196.88
17339630,POINT (144.173465 -38.044901),4806,166.4,36.65
16696223,POINT (144.178732 -38.035365),4806,1765.99,207.75
17543094,POINT (146.949348 -36.181169),46350,325.14,62.94
17407932,POINT (146.948005 -36.184916),47872,120.39,8.67
16038331,POINT (146.947515 -36.183201),37422,200.23,26.03
17399176,POINT (146.93969 -36.179494),37422,1259.01,151.77
17518368,POINT (146.937305 -36.176878),37422,1366.49,156.34
16815921,POINT (146.94666 -36.176106),37422,853.0,106.87
17568069,POINT (146.937756 -36.178967),37422,1568.36,156.76
16880911,POINT (146.936898 -36.175092),37422,1361.11,155.56
17394378,POINT (146.951799 -36.188546),37420,360.44,41.79
17477236,POINT (145.151302 -38.197907),13611,270.45,37.01
15230036,POINT (145.150378 -38.197821),13611,44.56,2.0
17194953,POINT (145.157399 -38.193428),11164,308.66,60.5
17472747,POINT (145.175638 -38.195776),11163,368.03,60.91
15943057,POINT (145.266167 -37.838434),14208,259.2,62.2
17212758,POINT (145.258961 -37.847178),14163,772.95,96.75
15955014,POINT (145.251687 -37.854278),15769,103.91,14.96
15946691,POINT (145.262079 -37.839886),44466,75.95,10.94
14773454,POINT (145.270567 -37.852026),17110,280.94,50.31
15941449,POINT (145.251619 -37.847267),14166,669.52,109.22
17466986,POINT (145.266846 -37.843459),14161,90.93,21.35
17211743,POINT (145.263811 -37.841623),14162,262.86,18.93
15932974,POINT (145.252495 -37.840969),14220,582.58,68.72
17575851,POINT (146.684793 -36.361471),37521,334.05,45.74
17575372,POINT (146.698117 -36.357022),18685,1355.38,218.42
17142549,POINT (146.701445 -36.356419),37521,1625.3,221.76
17010365,POINT (146.696751 -36.36877),18685,2769.63,336.97
16901912,POINT (146.700108 -36.354804),18685,1528.77,207.86
17210901,POINT (146.690624 -36.366971),18685,1153.54,136.76
17455837,POINT (144.331538 -38.101831),30413,173.59,37.55
17454842,POINT (144.329963 -38.094642),30416,454.9,64.5
17403082,POINT (144.330288 -38.105038),30412,279.23,54.48
17446249,POINT (144.326046 -38.09858),30418,342.7,46.17
17440678,POINT (144.326683 -38.091627),30424,883.24,162.21
17150137,POINT (144.334119 -38.173411),30684,178.28,42.78
17147130,POINT (144.341639 -38.186713),30832,507.75,77.1
17644486,POINT (144.331259 -38.180226),30753,747.28,79.34
17193176,POINT (144.347192 -38.190304),30831,423.17,91.05
17180393,POINT (144.34715 -38.169465),30679,228.39,46.43
17182773,POINT (144.347821 -38.18134),30809,109.71,15.8
17124124,POINT (144.344359 -38.188797),30831,153.72,26.31
17188551,POINT (144.325053 -38.177009),30733,684.05,103.19
15719421,POINT (145.994526 -36.54653),47640,44.78,10.75
16384700,POINT (145.991316 -36.552869),46015,290.11,46.19
15064483,POINT (145.99061 -36.543588),46008,168.87,23.92
15519547,POINT (145.977063 -36.556364),45998,141.08,15.89
15302776,POINT (145.982338 -36.543432),46002,258.29,32.08
15678041,POINT (145.98702 -36.545219),46005,353.83,74.58
17377507,POINT (145.964007 -36.566195),45993,1073.6,137.95
15796440,POINT (145.988002 -36.549759),45999,72.24,17.33
16088176,POINT (145.965265 -36.550147),45985,153.8,31.7
16347154,POINT (145.974614 -36.557981),45998,519.96,79.84
16150458,POINT (145.971107 -36.549814),45978,123.27,29.58
15034264,POINT (145.968993 -36.549777),45981,223.18,29.99
16062963,POINT (145.999881 -36.558872),46014,833.28,122.57
15493494,POINT (145.978969 -36.558395),45998,463.13,46.35
15198854,POINT (145.979814 -36.553178),47639,185.1,20.99
15564530,POINT (145.979814 -36.553178),47639,185.1,20.99
15508261,POINT (145.979814 -36.553178),47639,185.1,20.99
15903212,POINT (145.973439 -36.561207),45995,69.92,14.11
17416696,POINT (145.959121 -36.556328),45989,13.67,1.64
15846466,POINT (145.988151 -36.546351),46008,384.93,72.32
15724010,POINT (145.97479 -36.548342),45979,137.09,15.26
16612247,POINT (145.994526 -36.54653),47640,44.78,10.75
17038815,POINT (145.994526 -36.54653),47640,44.78,10.75
15132343,POINT (145.973193 -36.556083),46225,345.27,24.86
16857655,POINT (145.960949 -36.550183),45985,530.06,66.92
15182986,POINT (145.983477 -36.552066),37640,16.15,3.87
