Statistic,Value,Suburb
Median mortgage repayment ($/monthly),1187.0,Bangerang
Median rent ($/weekly)(a),200.0,Bangerang
Average number of persons per bedroom,0.8,Bangerang
Average household size,2.7,Bangerang
Median age of persons,44.0,Lavers Hill
Median total personal income ($/weekly),737.0,Lavers Hill
Median total family income ($/weekly),2049.0,Lavers Hill
Median total household income ($/weekly),1375.0,Lavers Hill
Median mortgage repayment ($/monthly),1083.0,Lavers Hill
Median rent ($/weekly)(a),100.0,Lavers Hill
Average number of persons per bedroom,0.8,Lavers Hill
Average household size,2.1,Lavers Hill
Median age of persons,42.0,Mentone
Median total personal income ($/weekly),981.0,Mentone
Median total family income ($/weekly),2604.0,Mentone
Median total household income ($/weekly),1889.0,Mentone
Median mortgage repayment ($/monthly),2167.0,Mentone
Median rent ($/weekly)(a),392.0,Mentone
Average number of persons per bedroom,0.8,Mentone
Average household size,2.3,Mentone
Median age of persons,40.0,Oakleigh South
Median total personal income ($/weekly),770.0,Oakleigh South
Median total family income ($/weekly),2200.0,Oakleigh South
Median total household income ($/weekly),1915.0,Oakleigh South
Median mortgage repayment ($/monthly),2200.0,Oakleigh South
Median rent ($/weekly)(a),418.0,Oakleigh South
Average number of persons per bedroom,0.8,Oakleigh South
Average household size,2.7,Oakleigh South
Median age of persons,60.0,Middle Creek
Median total personal income ($/weekly),574.0,Middle Creek
Median total family income ($/weekly),1374.0,Middle Creek
Median total household income ($/weekly),1187.0,Middle Creek
Median mortgage repayment ($/monthly),0.0,Middle Creek
Median rent ($/weekly)(a),120.0,Middle Creek
Average number of persons per bedroom,0.6,Middle Creek
Average household size,2.1,Middle Creek
Median age of persons,50.0,Rosewhite
Median total personal income ($/weekly),782.0,Rosewhite
Median total family income ($/weekly),2125.0,Rosewhite
Median total household income ($/weekly),1312.0,Rosewhite
Median mortgage repayment ($/monthly),1350.0,Rosewhite
Median rent ($/weekly)(a),250.0,Rosewhite
Average number of persons per bedroom,0.7,Rosewhite
Average household size,2.4,Rosewhite
Median age of persons,61.0,Swan Bay (Vic.)
Median total personal income ($/weekly),622.0,Swan Bay (Vic.)
Median total family income ($/weekly),1375.0,Swan Bay (Vic.)
Median total household income ($/weekly),784.0,Swan Bay (Vic.)
Median mortgage repayment ($/monthly),2296.0,Swan Bay (Vic.)
Median rent ($/weekly)(a),250.0,Swan Bay (Vic.)
Average number of persons per bedroom,0.7,Swan Bay (Vic.)
Average household size,2.0,Swan Bay (Vic.)
Median age of persons,36.0,Waaia
Median total personal income ($/weekly),622.0,Waaia
Median total family income ($/weekly),1517.0,Waaia
Median total household income ($/weekly),1350.0,Waaia
Median mortgage repayment ($/monthly),1192.0,Waaia
Median rent ($/weekly)(a),195.0,Waaia
Average number of persons per bedroom,0.8,Waaia
Average household size,2.9,Waaia
Median age of persons,43.0,Gordon (Vic.)
Median total personal income ($/weekly),844.0,Gordon (Vic.)
Median total family income ($/weekly),2210.0,Gordon (Vic.)
Median total household income ($/weekly),2012.0,Gordon (Vic.)
Median mortgage repayment ($/monthly),1733.0,Gordon (Vic.)
Median rent ($/weekly)(a),320.0,Gordon (Vic.)
Average number of persons per bedroom,0.8,Gordon (Vic.)
Average household size,2.7,Gordon (Vic.)
Median age of persons,51.0,Ullswater
Median total personal income ($/weekly),949.0,Ullswater
Median total family income ($/weekly),1874.0,Ullswater
Median total household income ($/weekly),1562.0,Ullswater
Median mortgage repayment ($/monthly),1625.0,Ullswater
Median rent ($/weekly)(a),200.0,Ullswater
Average number of persons per bedroom,0.7,Ullswater
Average household size,2.5,Ullswater
Median age of persons,49.0,Joel Joel
Median total personal income ($/weekly),575.0,Joel Joel
Median total family income ($/weekly),1375.0,Joel Joel
Median total household income ($/weekly),1249.0,Joel Joel
Median mortgage repayment ($/monthly),467.0,Joel Joel
Median rent ($/weekly)(a),160.0,Joel Joel
Average number of persons per bedroom,0.7,Joel Joel
Average household size,2.3,Joel Joel
Median age of persons,56.0,Kanumbra
Median total personal income ($/weekly),587.0,Kanumbra
Median total family income ($/weekly),1375.0,Kanumbra
Median total household income ($/weekly),1125.0,Kanumbra
Median mortgage repayment ($/monthly),1092.0,Kanumbra
Median rent ($/weekly)(a),120.0,Kanumbra
Average number of persons per bedroom,0.8,Kanumbra
Average household size,2.1,Kanumbra
Median age of persons,41.0,Leopold
Median total personal income ($/weekly),757.0,Leopold
Median total family income ($/weekly),1956.0,Leopold
Median total household income ($/weekly),1589.0,Leopold
Median mortgage repayment ($/monthly),1603.0,Leopold
Median rent ($/weekly)(a),375.0,Leopold
Average number of persons per bedroom,0.7,Leopold
Average household size,2.5,Leopold
Median age of persons,29.0,Mincha West
Median total personal income ($/weekly),933.0,Mincha West
Median total family income ($/weekly),2250.0,Mincha West
Median total household income ($/weekly),1374.0,Mincha West
Median mortgage repayment ($/monthly),0.0,Mincha West
Median rent ($/weekly)(a),115.0,Mincha West
Average number of persons per bedroom,0.5,Mincha West
Average household size,1.6,Mincha West
Median age of persons,32.0,Flora Hill
Median total personal income ($/weekly),705.0,Flora Hill
Median total family income ($/weekly),1718.0,Flora Hill
Median total household income ($/weekly),1347.0,Flora Hill
Median mortgage repayment ($/monthly),1300.0,Flora Hill
Median rent ($/weekly)(a),290.0,Flora Hill
Average number of persons per bedroom,0.8,Flora Hill
Average household size,2.3,Flora Hill
Median age of persons,53.0,Dundonnell
Median total personal income ($/weekly),780.0,Dundonnell
Median total family income ($/weekly),1468.0,Dundonnell
Median total household income ($/weekly),1375.0,Dundonnell
Median mortgage repayment ($/monthly),867.0,Dundonnell
Median rent ($/weekly)(a),255.0,Dundonnell
Average number of persons per bedroom,0.6,Dundonnell
Average household size,2.4,Dundonnell
Median age of persons,50.0,Mannerim
Median total personal income ($/weekly),937.0,Mannerim
Median total family income ($/weekly),2750.0,Mannerim
Median total household income ($/weekly),2833.0,Mannerim
Median mortgage repayment ($/monthly),2097.0,Mannerim
Median rent ($/weekly)(a),490.0,Mannerim
Average number of persons per bedroom,0.8,Mannerim
Average household size,2.8,Mannerim
Median age of persons,50.0,Eastwood (Vic.)
Median total personal income ($/weekly),662.0,Eastwood (Vic.)
Median total family income ($/weekly),1600.0,Eastwood (Vic.)
Median total household income ($/weekly),1304.0,Eastwood (Vic.)
Median mortgage repayment ($/monthly),1417.0,Eastwood (Vic.)
Median rent ($/weekly)(a),370.0,Eastwood (Vic.)
Average number of persons per bedroom,0.7,Eastwood (Vic.)
Average household size,2.4,Eastwood (Vic.)
Median age of persons,52.0,Mount Glasgow
Median total personal income ($/weekly),724.0,Mount Glasgow
Median total family income ($/weekly),2062.0,Mount Glasgow
Median total household income ($/weekly),1199.0,Mount Glasgow
Median mortgage repayment ($/monthly),1100.0,Mount Glasgow
Median rent ($/weekly)(a),0.0,Mount Glasgow
Average number of persons per bedroom,0.9,Mount Glasgow
Average household size,2.2,Mount Glasgow
Median age of persons,39.0,Hillside (East Gippsland - Vic.)
Median total personal income ($/weekly),858.0,Hillside (East Gippsland - Vic.)
Median total family income ($/weekly),1949.0,Hillside (East Gippsland - Vic.)
Median total household income ($/weekly),1875.0,Hillside (East Gippsland - Vic.)
Median mortgage repayment ($/monthly),1600.0,Hillside (East Gippsland - Vic.)
Median rent ($/weekly)(a),385.0,Hillside (East Gippsland - Vic.)
Average number of persons per bedroom,0.8,Hillside (East Gippsland - Vic.)
Average household size,2.7,Hillside (East Gippsland - Vic.)
Median age of persons,60.0,Thologolong
Median total personal income ($/weekly),483.0,Thologolong
Median total family income ($/weekly),3249.0,Thologolong
Median total household income ($/weekly),1625.0,Thologolong
Median mortgage repayment ($/monthly),600.0,Thologolong
Median rent ($/weekly)(a),100.0,Thologolong
Average number of persons per bedroom,0.8,Thologolong
Average household size,2.3,Thologolong
Median age of persons,48.0,Killawarra (Vic.)
Median total personal income ($/weekly),889.0,Killawarra (Vic.)
Median total family income ($/weekly),2100.0,Killawarra (Vic.)
Median total household income ($/weekly),2087.0,Killawarra (Vic.)
Median mortgage repayment ($/monthly),1539.0,Killawarra (Vic.)
Median rent ($/weekly)(a),200.0,Killawarra (Vic.)
Average number of persons per bedroom,0.7,Killawarra (Vic.)
Average household size,2.7,Killawarra (Vic.)
Median age of persons,36.0,Herne Hill (Vic.)
Median total personal income ($/weekly),870.0,Herne Hill (Vic.)
Median total family income ($/weekly),2128.0,Herne Hill (Vic.)
Median total household income ($/weekly),1420.0,Herne Hill (Vic.)
Median mortgage repayment ($/monthly),1733.0,Herne Hill (Vic.)
Median rent ($/weekly)(a),270.0,Herne Hill (Vic.)
Average number of persons per bedroom,0.8,Herne Hill (Vic.)
Average household size,2.1,Herne Hill (Vic.)
Median age of persons,53.0,Warragul West
Median total personal income ($/weekly),604.0,Warragul West
Median total family income ($/weekly),1208.0,Warragul West
Median total household income ($/weekly),1187.0,Warragul West
Median mortgage repayment ($/monthly),1887.0,Warragul West
Median rent ($/weekly)(a),380.0,Warragul West
Average number of persons per bedroom,0.8,Warragul West
Average household size,2.6,Warragul West
Median age of persons,47.0,Kolora
Median total personal income ($/weekly),808.0,Kolora
Median total family income ($/weekly),1937.0,Kolora
Median total household income ($/weekly),1812.0,Kolora
Median mortgage repayment ($/monthly),1213.0,Kolora
Median rent ($/weekly)(a),180.0,Kolora
Average number of persons per bedroom,0.7,Kolora
Average household size,2.7,Kolora
Median age of persons,49.0,Maffra West Upper
Median total personal income ($/weekly),662.0,Maffra West Upper
Median total family income ($/weekly),1625.0,Maffra West Upper
Median total household income ($/weekly),1593.0,Maffra West Upper
Median mortgage repayment ($/monthly),1300.0,Maffra West Upper
Median rent ($/weekly)(a),390.0,Maffra West Upper
Average number of persons per bedroom,0.8,Maffra West Upper
Average household size,2.5,Maffra West Upper
Median age of persons,44.0,St Germains
Median total personal income ($/weekly),478.0,St Germains
Median total family income ($/weekly),1416.0,St Germains
Median total household income ($/weekly),1312.0,St Germains
