Statistic,Value,Suburb
Average household size,2.3,Drik Drik
Median age of persons,44.0,Wuk Wuk
Median total personal income ($/weekly),704.0,Wuk Wuk
Median total family income ($/weekly),1875.0,Wuk Wuk
Median total household income ($/weekly),1562.0,Wuk Wuk
Median mortgage repayment ($/monthly),821.0,Wuk Wuk
Median rent ($/weekly)(a),175.0,Wuk Wuk
Average number of persons per bedroom,0.9,Wuk Wuk
Average household size,2.9,Wuk Wuk
Median age of persons,48.0,Beaumaris (Vic.)
Median total personal income ($/weekly),1044.0,Beaumaris (Vic.)
Median total family income ($/weekly),3292.0,Beaumaris (Vic.)
Median total household income ($/weekly),2626.0,Beaumaris (Vic.)
Median mortgage repayment ($/monthly),3000.0,Beaumaris (Vic.)
Median rent ($/weekly)(a),612.0,Beaumaris (Vic.)
Average number of persons per bedroom,0.8,Beaumaris (Vic.)
Average household size,2.7,Beaumaris (Vic.)
Median age of persons,36.0,Woori Yallock
Median total personal income ($/weekly),743.0,Woori Yallock
Median total family income ($/weekly),1843.0,Woori Yallock
Median total household income ($/weekly),1575.0,Woori Yallock
Median mortgage repayment ($/monthly),1733.0,Woori Yallock
Median rent ($/weekly)(a),346.0,Woori Yallock
Average number of persons per bedroom,0.8,Woori Yallock
Average household size,2.6,Woori Yallock
Median age of persons,45.0,Bulla (Vic.)
Median total personal income ($/weekly),726.0,Bulla (Vic.)
Median total family income ($/weekly),2022.0,Bulla (Vic.)
Median total household income ($/weekly),1738.0,Bulla (Vic.)
Median mortgage repayment ($/monthly),2100.0,Bulla (Vic.)
Median rent ($/weekly)(a),348.0,Bulla (Vic.)
Average number of persons per bedroom,0.8,Bulla (Vic.)
Average household size,2.8,Bulla (Vic.)
Median age of persons,41.0,Avalon
Median total personal income ($/weekly),511.0,Avalon
Median total family income ($/weekly),1937.0,Avalon
Median total household income ($/weekly),1775.0,Avalon
Median mortgage repayment ($/monthly),2084.0,Avalon
Median rent ($/weekly)(a),398.0,Avalon
Average number of persons per bedroom,0.8,Avalon
Average household size,2.9,Avalon
Median age of persons,49.0,Carapook
Median total personal income ($/weekly),1125.0,Carapook
Median total family income ($/weekly),2687.0,Carapook
Median total household income ($/weekly),2416.0,Carapook
Median mortgage repayment ($/monthly),239.0,Carapook
Median rent ($/weekly)(a),120.0,Carapook
Average number of persons per bedroom,0.8,Carapook
Average household size,2.6,Carapook
Median age of persons,54.0,Crowlands
Median total personal income ($/weekly),525.0,Crowlands
Median total family income ($/weekly),1312.0,Crowlands
Median total household income ($/weekly),1218.0,Crowlands
Median mortgage repayment ($/monthly),1034.0,Crowlands
Median rent ($/weekly)(a),119.0,Crowlands
Average number of persons per bedroom,0.7,Crowlands
Average household size,2.3,Crowlands
Median age of persons,41.0,New Gisborne
Median total personal income ($/weekly),874.0,New Gisborne
Median total family income ($/weekly),2584.0,New Gisborne
Median total household income ($/weekly),2279.0,New Gisborne
Median mortgage repayment ($/monthly),1950.0,New Gisborne
Median rent ($/weekly)(a),451.0,New Gisborne
Average number of persons per bedroom,0.8,New Gisborne
Average household size,2.9,New Gisborne
Median age of persons,39.0,Cowleys Creek
Median total personal income ($/weekly),725.0,Cowleys Creek
Median total family income ($/weekly),1625.0,Cowleys Creek
Median total household income ($/weekly),1375.0,Cowleys Creek
Median mortgage repayment ($/monthly),362.0,Cowleys Creek
Median rent ($/weekly)(a),200.0,Cowleys Creek
Average number of persons per bedroom,0.7,Cowleys Creek
Average household size,2.5,Cowleys Creek
Median age of persons,38.0,Cannie
Median total personal income ($/weekly),725.0,Cannie
Median total family income ($/weekly),1375.0,Cannie
Median total household income ($/weekly),1375.0,Cannie
Median mortgage repayment ($/monthly),4333.0,Cannie
Median rent ($/weekly)(a),110.0,Cannie
Average number of persons per bedroom,0.7,Cannie
Average household size,2.8,Cannie
Median age of persons,32.0,Cranbourne West
Median total personal income ($/weekly),822.0,Cranbourne West
Median total family income ($/weekly),1936.0,Cranbourne West
Median total household income ($/weekly),1856.0,Cranbourne West
Median mortgage repayment ($/monthly),1800.0,Cranbourne West
Median rent ($/weekly)(a),375.0,Cranbourne West
Average number of persons per bedroom,0.9,Cranbourne West
Average household size,3.1,Cranbourne West
Median age of persons,45.0,Ardmona
Median total personal income ($/weekly),755.0,Ardmona
Median total family income ($/weekly),1916.0,Ardmona
Median total household income ($/weekly),1762.0,Ardmona
Median mortgage repayment ($/monthly),1517.0,Ardmona
Median rent ($/weekly)(a),220.0,Ardmona
Average number of persons per bedroom,0.8,Ardmona
Average household size,2.6,Ardmona
Median age of persons,39.0,Blind Bight
Median total personal income ($/weekly),807.0,Blind Bight
Median total family income ($/weekly),2125.0,Blind Bight
Median total household income ($/weekly),1889.0,Blind Bight
Median mortgage repayment ($/monthly),1742.0,Blind Bight
Median rent ($/weekly)(a),360.0,Blind Bight
Average number of persons per bedroom,0.8,Blind Bight
Average household size,2.7,Blind Bight
Median age of persons,53.0,Mologa
Median total personal income ($/weekly),933.0,Mologa
Median total family income ($/weekly),1875.0,Mologa
Median total household income ($/weekly),1624.0,Mologa
Median mortgage repayment ($/monthly),1289.0,Mologa
Median rent ($/weekly)(a),0.0,Mologa
Average number of persons per bedroom,0.6,Mologa
Average household size,2.3,Mologa
Median age of persons,29.0,Esmond
Median total personal income ($/weekly),725.0,Esmond
Median total family income ($/weekly),1375.0,Esmond
Median total household income ($/weekly),1149.0,Esmond
Median mortgage repayment ($/monthly),2383.0,Esmond
Median rent ($/weekly)(a),0.0,Esmond
Average number of persons per bedroom,0.6,Esmond
Average household size,2.4,Esmond
Median age of persons,50.0,Staughton Vale
Median total personal income ($/weekly),933.0,Staughton Vale
Median total family income ($/weekly),3124.0,Staughton Vale
Median total household income ($/weekly),2874.0,Staughton Vale
Median mortgage repayment ($/monthly),1854.0,Staughton Vale
Median rent ($/weekly)(a),0.0,Staughton Vale
Average number of persons per bedroom,0.8,Staughton Vale
Average household size,2.9,Staughton Vale
Median age of persons,47.0,Lockington
Median total personal income ($/weekly),648.0,Lockington
Median total family income ($/weekly),1523.0,Lockington
Median total household income ($/weekly),1268.0,Lockington
Median mortgage repayment ($/monthly),1100.0,Lockington
Median rent ($/weekly)(a),200.0,Lockington
Average number of persons per bedroom,0.7,Lockington
Average household size,2.4,Lockington
Median age of persons,39.0,Redan
Median total personal income ($/weekly),654.0,Redan
Median total family income ($/weekly),1413.0,Redan
Median total household income ($/weekly),1061.0,Redan
Median mortgage repayment ($/monthly),1300.0,Redan
Median rent ($/weekly)(a),255.0,Redan
Average number of persons per bedroom,0.7,Redan
Average household size,1.9,Redan
Median age of persons,43.0,West Bendigo
Median total personal income ($/weekly),707.0,West Bendigo
Median total family income ($/weekly),1764.0,West Bendigo
Median total household income ($/weekly),1343.0,West Bendigo
Median mortgage repayment ($/monthly),1257.0,West Bendigo
Median rent ($/weekly)(a),235.0,West Bendigo
Average number of persons per bedroom,0.7,West Bendigo
Average household size,2.2,West Bendigo
Median age of persons,39.0,Traralgon
Median total personal income ($/weekly),767.0,Traralgon
Median total family income ($/weekly),1950.0,Traralgon
Median total household income ($/weekly),1484.0,Traralgon
Median mortgage repayment ($/monthly),1300.0,Traralgon
Median rent ($/weekly)(a),275.0,Traralgon
Average number of persons per bedroom,0.7,Traralgon
Average household size,2.3,Traralgon
Median age of persons,63.0,Guys Forest
Median total personal income ($/weekly),450.0,Guys Forest
Median total family income ($/weekly),1875.0,Guys Forest
Median total household income ($/weekly),3499.0,Guys Forest
Median mortgage repayment ($/monthly),650.0,Guys Forest
Median rent ($/weekly)(a),0.0,Guys Forest
Average number of persons per bedroom,0.9,Guys Forest
Average household size,2.5,Guys Forest
Median age of persons,52.0,Elmore
Median total personal income ($/weekly),540.0,Elmore
Median total family income ($/weekly),1328.0,Elmore
Median total household income ($/weekly),909.0,Elmore
Median mortgage repayment ($/monthly),1083.0,Elmore
Median rent ($/weekly)(a),220.0,Elmore
Average number of persons per bedroom,0.7,Elmore
Average household size,2.1,Elmore
Median age of persons,39.0,Gardenvale
Median total personal income ($/weekly),1087.0,Gardenvale
Median total family income ($/weekly),3299.0,Gardenvale
Median total household income ($/weekly),1708.0,Gardenvale
Median mortgage repayment ($/monthly),2953.0,Gardenvale
Median rent ($/weekly)(a),301.0,Gardenvale
Average number of persons per bedroom,0.9,Gardenvale
Average household size,2.1,Gardenvale
Median age of persons,49.0,Terang
Median total personal income ($/weekly),651.0,Terang
Median total family income ($/weekly),1552.0,Terang
Median total household income ($/weekly),1162.0,Terang
Median mortgage repayment ($/monthly),1066.0,Terang
Median rent ($/weekly)(a),225.0,Terang
Average number of persons per bedroom,0.7,Terang
Average household size,2.2,Terang
Median age of persons,51.0,Glenbrae
Median total personal income ($/weekly),949.0,Glenbrae
Median total family income ($/weekly),2374.0,Glenbrae
Median total household income ($/weekly),2083.0,Glenbrae
Median mortgage repayment ($/monthly),1192.0,Glenbrae
Median rent ($/weekly)(a),275.0,Glenbrae
Average number of persons per bedroom,0.6,Glenbrae
Average household size,2.1,Glenbrae
Median age of persons,57.0,Walkerville (Vic.)
Median total personal income ($/weekly),614.0,Walkerville (Vic.)
Median total family income ($/weekly),1218.0,Walkerville (Vic.)
Median total household income ($/weekly),1062.0,Walkerville (Vic.)
Median mortgage repayment ($/monthly),1517.0,Walkerville (Vic.)
Median rent ($/weekly)(a),458.0,Walkerville (Vic.)
Average number of persons per bedroom,0.7,Walkerville (Vic.)
Average household size,2.0,Walkerville (Vic.)
Median age of persons,53.0,Icy Creek
Median total personal income ($/weekly),437.0,Icy Creek
Median total family income ($/weekly),2749.0,Icy Creek
Median total household income ($/weekly),649.0,Icy Creek
Median mortgage repayment ($/monthly),2000.0,Icy Creek
Median rent ($/weekly)(a),250.0,Icy Creek
Average number of persons per bedroom,0.9,Icy Creek
Average household size,2.0,Icy Creek
Median age of persons,59.0,Tarnagulla
Median total personal income ($/weekly),440.0,Tarnagulla
Median total family income ($/weekly),1037.0,Tarnagulla
Median total household income ($/weekly),779.0,Tarnagulla
Median mortgage repayment ($/monthly),637.0,Tarnagulla
Median rent ($/weekly)(a),155.0,Tarnagulla
Average number of persons per bedroom,0.8,Tarnagulla
Average household size,1.9,Tarnagulla
Median age of persons,45.0,Glengarry West
Median total personal income ($/weekly),743.0,Glengarry West
Median total family income ($/weekly),2083.0,Glengarry West
Median total household income ($/weekly),1781.0,Glengarry West
Median mortgage repayment ($/monthly),1517.0,Glengarry West
Median rent ($/weekly)(a),250.0,Glengarry West
Average number of persons per bedroom,0.7,Glengarry West
Average household size,2.8,Glengarry West
Median age of persons,60.0,Piedmont
Median total personal income ($/weekly),458.0,Piedmont
Median total family income ($/weekly),725.0,Piedmont
Median total household income ($/weekly),850.0,Piedmont
Median mortgage repayment ($/monthly),2297.0,Piedmont
Median rent ($/weekly)(a),0.0,Piedmont
Average number of persons per bedroom,0.7,Piedmont
Average household size,2.2,Piedmont
Median age of persons,43.0,Massey
Median total personal income ($/weekly),649.0,Massey
Median total family income ($/weekly),1499.0,Massey
Median total household income ($/weekly),933.0,Massey
Median mortgage repayment ($/monthly),0.0,Massey
Median rent ($/weekly)(a),0.0,Massey
Average number of persons per bedroom,0.7,Massey
Average household size,2.2,Massey
Median age of persons,39.0,Sebastopol (Vic.)
Median total personal income ($/weekly),606.0,Sebastopol (Vic.)
Median total family income ($/weekly),1349.0,Sebastopol (Vic.)
Median total household income ($/weekly),1013.0,Sebastopol (Vic.)
Median mortgage repayment ($/monthly),1133.0,Sebastopol (Vic.)
Median rent ($/weekly)(a),270.0,Sebastopol (Vic.)
Average number of persons per bedroom,0.7,Sebastopol (Vic.)
Average household size,2.1,Sebastopol (Vic.)
Median age of persons,55.0,Ladys Pass
Median total personal income ($/weekly),731.0,Ladys Pass
Median total family income ($/weekly),1781.0,Ladys Pass
Median total household income ($/weekly),1300.0,Ladys Pass
Median mortgage repayment ($/monthly),1560.0,Ladys Pass
Median rent ($/weekly)(a),400.0,Ladys Pass
Average number of persons per bedroom,0.7,Ladys Pass
Average household size,2.2,Ladys Pass
Median age of persons,51.0,Penshurst (Vic.)
Median total personal income ($/weekly),550.0,Penshurst (Vic.)
Median total family income ($/weekly),1375.0,Penshurst (Vic.)
Median total household income ($/weekly),1014.0,Penshurst (Vic.)
Median mortgage repayment ($/monthly),825.0,Penshurst (Vic.)
Median rent ($/weekly)(a),175.0,Penshurst (Vic.)
Average number of persons per bedroom,0.7,Penshurst (Vic.)
Average household size,2.3,Penshurst (Vic.)
Median age of persons,70.0,Lorquon
Median total personal income ($/weekly),2500.0,Lorquon
Median total family income ($/weekly),6000.0,Lorquon
Median total household income ($/weekly),3750.0,Lorquon
Median mortgage repayment ($/monthly),0.0,Lorquon
Median rent ($/weekly)(a),0.0,Lorquon
Average number of persons per bedroom,0.9,Lorquon
Average household size,2.3,Lorquon
Median age of persons,37.0,South Kingsville
Median total personal income ($/weekly),1259.0,South Kingsville
Median total family income ($/weekly),3081.0,South Kingsville
Median total household income ($/weekly),2261.0,South Kingsville
Median mortgage repayment ($/monthly),2313.0,South Kingsville
Median rent ($/weekly)(a),381.0,South Kingsville
Average number of persons per bedroom,0.9,South Kingsville
Average household size,2.3,South Kingsville
Median age of persons,40.0,Quarry Hill
Median total personal income ($/weekly),863.0,Quarry Hill
Median total family income ($/weekly),2146.0,Quarry Hill
Median total household income ($/weekly),1648.0,Quarry Hill
Median mortgage repayment ($/monthly),1417.0,Quarry Hill
Median rent ($/weekly)(a),298.0,Quarry Hill
Average number of persons per bedroom,0.8,Quarry Hill
Average household size,2.3,Quarry Hill
Median age of persons,61.0,Moonambel
Median total personal income ($/weekly),469.0,Moonambel
Median total family income ($/weekly),1037.0,Moonambel
Median total household income ($/weekly),955.0,Moonambel
Median mortgage repayment ($/monthly),953.0,Moonambel
Median rent ($/weekly)(a),150.0,Moonambel
Average number of persons per bedroom,0.8,Moonambel
Average household size,2.1,Moonambel
Median age of persons,35.0,St Clair (Vic.)
Median total personal income ($/weekly),833.0,St Clair (Vic.)
Median total family income ($/weekly),2583.0,St Clair (Vic.)
Median total household income ($/weekly),1625.0,St Clair (Vic.)
Median mortgage repayment ($/monthly),1571.0,St Clair (Vic.)
Median rent ($/weekly)(a),150.0,St Clair (Vic.)
Average number of persons per bedroom,0.8,St Clair (Vic.)
Average household size,3.1,St Clair (Vic.)
Median age of persons,55.0,Tooan
Median total personal income ($/weekly),1166.0,Tooan
Median total family income ($/weekly),1874.0,Tooan
Median total household income ($/weekly),1125.0,Tooan
Median mortgage repayment ($/monthly),0.0,Tooan
Median rent ($/weekly)(a),0.0,Tooan
Average number of persons per bedroom,0.5,Tooan
Average household size,1.9,Tooan
Median age of persons,48.0,Kongwak
Median total personal income ($/weekly),704.0,Kongwak
Median total family income ($/weekly),1812.0,Kongwak
Median total household income ($/weekly),1625.0,Kongwak
Median mortgage repayment ($/monthly),1727.0,Kongwak
Median rent ($/weekly)(a),138.0,Kongwak
Average number of persons per bedroom,0.8,Kongwak
Average household size,2.6,Kongwak
Median age of persons,41.0,Hastings (Vic.)
Median total personal income ($/weekly),639.0,Hastings (Vic.)
Median total family income ($/weekly),1523.0,Hastings (Vic.)
Median total household income ($/weekly),1197.0,Hastings (Vic.)
Median mortgage repayment ($/monthly),1687.0,Hastings (Vic.)
Median rent ($/weekly)(a),320.0,Hastings (Vic.)
Average number of persons per bedroom,0.8,Hastings (Vic.)
Average household size,2.3,Hastings (Vic.)
Median age of persons,28.0,Killara (Glenelg - Vic.)
Median total personal income ($/weekly),450.0,Killara (Glenelg - Vic.)
Median total family income ($/weekly),1875.0,Killara (Glenelg - Vic.)
Median total household income ($/weekly),999.0,Killara (Glenelg - Vic.)
Median mortgage repayment ($/monthly),414.0,Killara (Glenelg - Vic.)
Median rent ($/weekly)(a),100.0,Killara (Glenelg - Vic.)
Average number of persons per bedroom,0.6,Killara (Glenelg - Vic.)
Average household size,2.0,Killara (Glenelg - Vic.)
Median age of persons,36.0,Mount Helen
Median total personal income ($/weekly),808.0,Mount Helen
Median total family income ($/weekly),2340.0,Mount Helen
Median total household income ($/weekly),2076.0,Mount Helen
Median mortgage repayment ($/monthly),1600.0,Mount Helen
Median rent ($/weekly)(a),345.0,Mount Helen
Average number of persons per bedroom,0.8,Mount Helen
Average household size,2.8,Mount Helen
Median age of persons,49.0,Echuca Village
Median total personal income ($/weekly),790.0,Echuca Village
Median total family income ($/weekly),2231.0,Echuca Village
Median total household income ($/weekly),1821.0,Echuca Village
Median mortgage repayment ($/monthly),1733.0,Echuca Village
Median rent ($/weekly)(a),250.0,Echuca Village
Average number of persons per bedroom,0.7,Echuca Village
Average household size,2.6,Echuca Village
Median age of persons,58.0,Dunach
Median total personal income ($/weekly),469.0,Dunach
Median total family income ($/weekly),949.0,Dunach
Median total household income ($/weekly),791.0,Dunach
Median mortgage repayment ($/monthly),800.0,Dunach
Median rent ($/weekly)(a),200.0,Dunach
Average number of persons per bedroom,0.7,Dunach
Average household size,2.3,Dunach
Median age of persons,51.0,Fairbank
Median total personal income ($/weekly),483.0,Fairbank
Median total family income ($/weekly),1583.0,Fairbank
Median total household income ($/weekly),1374.0,Fairbank
Median mortgage repayment ($/monthly),1802.0,Fairbank
Median rent ($/weekly)(a),0.0,Fairbank
Average number of persons per bedroom,0.8,Fairbank
Average household size,2.9,Fairbank
Median age of persons,55.0,Karabeal
Median total personal income ($/weekly),900.0,Karabeal
Median total family income ($/weekly),949.0,Karabeal
Median total household income ($/weekly),924.0,Karabeal
Median mortgage repayment ($/monthly),2663.0,Karabeal
Median rent ($/weekly)(a),0.0,Karabeal
Average number of persons per bedroom,0.6,Karabeal
Average household size,2.3,Karabeal
Median age of persons,50.0,Ultima
Median total personal income ($/weekly),537.0,Ultima
Median total family income ($/weekly),1312.0,Ultima
Median total household income ($/weekly),962.0,Ultima
Median mortgage repayment ($/monthly),600.0,Ultima
Median rent ($/weekly)(a),180.0,Ultima
Average number of persons per bedroom,0.6,Ultima
Average household size,2.0,Ultima
Median age of persons,39.0,Glenormiston North
Median total personal income ($/weekly),900.0,Glenormiston North
Median total family income ($/weekly),2249.0,Glenormiston North
Median total household income ($/weekly),1624.0,Glenormiston North
Median mortgage repayment ($/monthly),715.0,Glenormiston North
Median rent ($/weekly)(a),100.0,Glenormiston North
Average number of persons per bedroom,0.8,Glenormiston North
Average household size,2.6,Glenormiston North
Median age of persons,47.0,Vite Vite
Median total personal income ($/weekly),850.0,Vite Vite
Median total family income ($/weekly),1125.0,Vite Vite
Median total household income ($/weekly),1624.0,Vite Vite
Median mortgage repayment ($/monthly),3114.0,Vite Vite
Median rent ($/weekly)(a),0.0,Vite Vite
Average number of persons per bedroom,0.9,Vite Vite
Average household size,2.9,Vite Vite
Median age of persons,41.0,Ironbark (Vic.)
Median total personal income ($/weekly),696.0,Ironbark (Vic.)
Median total family income ($/weekly),1875.0,Ironbark (Vic.)
Median total household income ($/weekly),1274.0,Ironbark (Vic.)
Median mortgage repayment ($/monthly),1300.0,Ironbark (Vic.)
Median rent ($/weekly)(a),275.0,Ironbark (Vic.)
Average number of persons per bedroom,0.7,Ironbark (Vic.)
Average household size,2.1,Ironbark (Vic.)
Median age of persons,53.0,Lake Tyers Beach
Median total personal income ($/weekly),645.0,Lake Tyers Beach
Median total family income ($/weekly),1489.0,Lake Tyers Beach
Median total household income ($/weekly),1171.0,Lake Tyers Beach
Median mortgage repayment ($/monthly),1228.0,Lake Tyers Beach
Median rent ($/weekly)(a),275.0,Lake Tyers Beach
Average number of persons per bedroom,0.7,Lake Tyers Beach
Average household size,2.2,Lake Tyers Beach
Median age of persons,43.0,Miepoll
Median total personal income ($/weekly),575.0,Miepoll
Median total family income ($/weekly),1550.0,Miepoll
Median total household income ($/weekly),1140.0,Miepoll
Median mortgage repayment ($/monthly),1050.0,Miepoll
Median rent ($/weekly)(a),270.0,Miepoll
Average number of persons per bedroom,1.0,Miepoll
Average household size,2.6,Miepoll
Median age of persons,43.0,Paradise (Vic.)
Median total personal income ($/weekly),725.0,Paradise (Vic.)
Median total family income ($/weekly),1625.0,Paradise (Vic.)
Median total household income ($/weekly),1624.0,Paradise (Vic.)
Median mortgage repayment ($/monthly),975.0,Paradise (Vic.)
Median rent ($/weekly)(a),302.0,Paradise (Vic.)
Average number of persons per bedroom,0.9,Paradise (Vic.)
Average household size,2.8,Paradise (Vic.)
Median age of persons,48.0,Mena Park
Median total personal income ($/weekly),1036.0,Mena Park
Median total family income ($/weekly),1625.0,Mena Park
Median total household income ($/weekly),1624.0,Mena Park
Median mortgage repayment ($/monthly),1077.0,Mena Park
Median rent ($/weekly)(a),100.0,Mena Park
Average number of persons per bedroom,0.6,Mena Park
Average household size,2.0,Mena Park
Median age of persons,58.0,Sandford (Vic.)
Median total personal income ($/weekly),483.0,Sandford (Vic.)
Median total family income ($/weekly),1187.0,Sandford (Vic.)
Median total household income ($/weekly),875.0,Sandford (Vic.)
Median mortgage repayment ($/monthly),550.0,Sandford (Vic.)
Median rent ($/weekly)(a),220.0,Sandford (Vic.)
Average number of persons per bedroom,0.6,Sandford (Vic.)
Average household size,2.0,Sandford (Vic.)
Median age of persons,43.0,Boralma
Median total personal income ($/weekly),700.0,Boralma
Median total family income ($/weekly),1624.0,Boralma
Median total household income ($/weekly),1625.0,Boralma
Median mortgage repayment ($/monthly),1517.0,Boralma
Median rent ($/weekly)(a),290.0,Boralma
Average number of persons per bedroom,0.9,Boralma
Average household size,2.9,Boralma
Median age of persons,45.0,Bahgallah
Median total personal income ($/weekly),862.0,Bahgallah
Median total family income ($/weekly),2062.0,Bahgallah
Median total household income ($/weekly),1458.0,Bahgallah
Median mortgage repayment ($/monthly),1127.0,Bahgallah
Median rent ($/weekly)(a),175.0,Bahgallah
Average number of persons per bedroom,0.7,Bahgallah
Average household size,2.2,Bahgallah
Median age of persons,40.0,Cheltenham (Vic.)
Median total personal income ($/weekly),924.0,Cheltenham (Vic.)
Median total family income ($/weekly),2543.0,Cheltenham (Vic.)
Median total household income ($/weekly),1919.0,Cheltenham (Vic.)
Median mortgage repayment ($/monthly),2200.0,Cheltenham (Vic.)
Median rent ($/weekly)(a),430.0,Cheltenham (Vic.)
Average number of persons per bedroom,0.8,Cheltenham (Vic.)
Average household size,2.4,Cheltenham (Vic.)
Median age of persons,53.0,Daltons Bridge
Median total personal income ($/weekly),880.0,Daltons Bridge
Median total family income ($/weekly),1937.0,Daltons Bridge
Median total household income ($/weekly),1625.0,Daltons Bridge
Median mortgage repayment ($/monthly),1047.0,Daltons Bridge
Median rent ($/weekly)(a),0.0,Daltons Bridge
Average number of persons per bedroom,0.6,Daltons Bridge
Average household size,2.3,Daltons Bridge
Median age of persons,40.0,Carrum
Median total personal income ($/weekly),925.0,Carrum
Median total family income ($/weekly),2338.0,Carrum
Median total household income ($/weekly),1732.0,Carrum
Median mortgage repayment ($/monthly),2069.0,Carrum
Median rent ($/weekly)(a),406.0,Carrum
Average number of persons per bedroom,0.8,Carrum
Average household size,2.3,Carrum
Median age of persons,53.0,Murray-sunset
Median total personal income ($/weekly),949.0,Murray-sunset
Median total family income ($/weekly),2250.0,Murray-sunset
Median total household income ($/weekly),1125.0,Murray-sunset
Median mortgage repayment ($/monthly),0.0,Murray-sunset
Median rent ($/weekly)(a),62.0,Murray-sunset
Average number of persons per bedroom,0.4,Murray-sunset
Average household size,1.3,Murray-sunset
Median age of persons,51.0,Wood Wood
Median total personal income ($/weekly),545.0,Wood Wood
Median total family income ($/weekly),2125.0,Wood Wood
Median total household income ($/weekly),900.0,Wood Wood
Median mortgage repayment ($/monthly),1192.0,Wood Wood
Median rent ($/weekly)(a),220.0,Wood Wood
Average number of persons per bedroom,0.9,Wood Wood
Average household size,2.3,Wood Wood
Median age of persons,46.0,Yinnar South
Median total personal income ($/weekly),751.0,Yinnar South
Median total family income ($/weekly),2100.0,Yinnar South
Median total household income ($/weekly),1800.0,Yinnar South
Median mortgage repayment ($/monthly),1523.0,Yinnar South
Median rent ($/weekly)(a),250.0,Yinnar South
Average number of persons per bedroom,0.7,Yinnar South
Average household size,2.6,Yinnar South
Median age of persons,49.0,Nilma North
Median total personal income ($/weekly),716.0,Nilma North
Median total family income ($/weekly),1892.0,Nilma North
Median total household income ($/weekly),1762.0,Nilma North
Median mortgage repayment ($/monthly),1881.0,Nilma North
Median rent ($/weekly)(a),189.0,Nilma North
Average number of persons per bedroom,0.8,Nilma North
Average household size,2.7,Nilma North
Median age of persons,42.0,Coghills Creek
Median total personal income ($/weekly),743.0,Coghills Creek
Median total family income ($/weekly),1374.0,Coghills Creek
Median total household income ($/weekly),1562.0,Coghills Creek
Median mortgage repayment ($/monthly),1950.0,Coghills Creek
Median rent ($/weekly)(a),0.0,Coghills Creek
Average number of persons per bedroom,0.8,Coghills Creek
Average household size,2.8,Coghills Creek
Median age of persons,59.0,Bung Bong
Median total personal income ($/weekly),478.0,Bung Bong
Median total family income ($/weekly),1375.0,Bung Bong
Median total household income ($/weekly),979.0,Bung Bong
Median mortgage repayment ($/monthly),1232.0,Bung Bong
Median rent ($/weekly)(a),160.0,Bung Bong
Average number of persons per bedroom,0.7,Bung Bong
Average household size,2.2,Bung Bong
Median age of persons,59.0,Benambra
Median total personal income ($/weekly),690.0,Benambra
Median total family income ($/weekly),1392.0,Benambra
Median total household income ($/weekly),1017.0,Benambra
Median mortgage repayment ($/monthly),1142.0,Benambra
Median rent ($/weekly)(a),150.0,Benambra
Average number of persons per bedroom,0.7,Benambra
Average household size,1.8,Benambra
Median age of persons,47.0,Alvie
Median total personal income ($/weekly),691.0,Alvie
Median total family income ($/weekly),1562.0,Alvie
Median total household income ($/weekly),1100.0,Alvie
Median mortgage repayment ($/monthly),867.0,Alvie
Median rent ($/weekly)(a),250.0,Alvie
Average number of persons per bedroom,0.7,Alvie
Average household size,2.4,Alvie
Median age of persons,39.0,Scarsdale
Median total personal income ($/weekly),608.0,Scarsdale
Median total family income ($/weekly),1699.0,Scarsdale
Median total household income ($/weekly),1548.0,Scarsdale
Median mortgage repayment ($/monthly),1473.0,Scarsdale
Median rent ($/weekly)(a),240.0,Scarsdale
Average number of persons per bedroom,0.8,Scarsdale
Average household size,2.8,Scarsdale
Median age of persons,35.0,Meatian
Median total personal income ($/weekly),899.0,Meatian
Median total family income ($/weekly),1875.0,Meatian
Median total household income ($/weekly),2249.0,Meatian
Median mortgage repayment ($/monthly),800.0,Meatian
Median rent ($/weekly)(a),100.0,Meatian
Average number of persons per bedroom,0.8,Meatian
Average household size,2.8,Meatian
Median age of persons,56.0,Marlo
Median total personal income ($/weekly),694.0,Marlo
Median total family income ($/weekly),1718.0,Marlo
Median total household income ($/weekly),1383.0,Marlo
Median mortgage repayment ($/monthly),1517.0,Marlo
Median rent ($/weekly)(a),250.0,Marlo
Average number of persons per bedroom,0.7,Marlo
Average household size,2.1,Marlo
Median age of persons,39.0,Pascoe Vale South
Median total personal income ($/weekly),953.0,Pascoe Vale South
Median total family income ($/weekly),2757.0,Pascoe Vale South
Median total household income ($/weekly),2246.0,Pascoe Vale South
Median mortgage repayment ($/monthly),2167.0,Pascoe Vale South
Median rent ($/weekly)(a),425.0,Pascoe Vale South
Average number of persons per bedroom,0.9,Pascoe Vale South
Average household size,2.7,Pascoe Vale South
Median age of persons,51.0,Lake Gardens
Median total personal income ($/weekly),763.0,Lake Gardens
Median total family income ($/weekly),2064.0,Lake Gardens
Median total household income ($/weekly),1534.0,Lake Gardens
Median mortgage repayment ($/monthly),1733.0,Lake Gardens
Median rent ($/weekly)(a),360.0,Lake Gardens
Average number of persons per bedroom,0.7,Lake Gardens
Average household size,2.3,Lake Gardens
Median age of persons,47.0,Indigo Valley
Median total personal income ($/weekly),805.0,Indigo Valley
Median total family income ($/weekly),2183.0,Indigo Valley
