property_id,coordinates
17757487,POINT (-37.8193086 145.1467865)
17757484,POINT (-37.8245971 145.0505518)
17757482,POINT (-37.8851779 145.0671343)
17757481,POINT (-37.9096273 145.0499433)
17757480,POINT (-37.569405 143.8871779)
17757474,POINT (-37.8155863 144.9543901)
17757467,POINT (-37.76619 144.9990847)
17757460,POINT (-37.6977773 145.0651941)
17757436,POINT (-37.83924469999999 144.995215)
17757425,POINT (-38.0309443 145.3437469)
17757415,POINT (-37.8374007 144.9871592)
17757413,POINT (-37.8793146 144.6322677)
17757404,POINT (-37.8166152 144.9542789)
17757382,POINT (-37.8388482 145.0931921)
17757381,POINT (-37.7284502 144.817266)
17757375,POINT (-37.6851783 144.5470957)
17757368,POINT (-37.6777178 145.0243412)
17757363,POINT (-37.7531294 145.3426703)
17757340,POINT (-37.7432656 144.6467177)
17757337,POINT (-37.77637259999999 145.3118454)
17757318,POINT (-34.4578952 142.3504007)
17757309,POINT (-37.7750203 144.9705875)
17757308,POINT (-38.0200053 144.4110909)
17757293,POINT (-37.8247866 144.7486887)
17757288,POINT (-37.8144179 144.9395989)
17757280,POINT (-37.8058235 144.9940691)
17757274,POINT (-37.9443618 145.2189737)
17757267,POINT (-37.8346302 144.8688459)
17757251,POINT (-37.8307587 144.9675355)
17757237,POINT (-38.2301948 146.4366277)
17757235,POINT (-37.722234 145.0721578)
17757229,POINT (-37.2955378 143.7873419)
17757205,POINT (-37.7662902 144.9219781)
17757203,POINT (-37.921798 145.1223532)
17757197,POINT (-37.8640213 145.0110901)
17757194,POINT (-37.8074569 145.225582)
17757193,POINT (-37.8272871 144.968561)
17757192,POINT (-37.7847321 144.8379824)
17757189,POINT (-38.0618104 145.2495378)
17757180,POINT (-37.7885304 144.8508985)
17757178,POINT (-38.0393859 145.3211751)
17757173,POINT (-37.4818974 144.9668724)
17757151,POINT (-37.8819998 144.6937439)
17757147,POINT (-37.8203959 144.6811268)
17757146,POINT (-37.8986887 144.7354077)
17757137,POINT (-37.806138 144.9602874)
17757125,POINT (-37.8803215 144.6623116)
17757122,POINT (-38.18725329999999 146.2944271)
17757116,POINT (-37.8175602 144.9585916)
17757102,POINT (-37.7036019 145.1755728)
17757064,POINT (-36.139405 146.9490021)
17757046,POINT (-37.8261925 144.9628692)
17757039,POINT (-37.8242191 144.9635646)
17757038,POINT (-37.8249338 144.9620243)
17757026,POINT (-37.8216118 144.9509465)
17757023,POINT (-37.769176 144.947169)
17756994,POINT (-37.8616087 145.0655825)
17756971,POINT (-34.2093793 142.1475462)
17756960,POINT (-37.7848958 145.1057956)
17756919,POINT (-37.7680681 145.0022377)
17756883,POINT (-37.6713802 144.9410845)
17756878,POINT (-38.1057955 145.3933072)
17756877,POINT (-37.97252520000001 145.0648691)
17756875,POINT (-38.1017935 145.388404)
17756864,POINT (-37.8371979 145.0548634)
17756863,POINT (-38.1483146 144.3554954)
17756844,POINT (-37.8017995 145.1034455)
17756842,POINT (-37.821961 144.9622479)
17756819,POINT (-37.76106160000001 145.0665418)
17756683,POINT (-37.8387637 144.66004)
17756682,POINT (-37.6826784 144.4287732)
17756674,POINT (-37.4300047 144.9990271)
17756652,POINT (-37.8465615 145.221234)
17756640,POINT (-37.8162532 144.692103)
17756624,POINT (-37.8580246 145.0775566)
17756589,POINT (-38.0831074 145.3300367)
17756585,POINT (-37.5503882 144.9628937)
17756580,POINT (-34.1790002 142.1563379)
17756572,POINT (-38.11488569999999 145.3222469)
17756565,POINT (-37.8362634 144.9782544)
17756534,POINT (-37.5966276 143.8256472)
17756521,POINT (-37.7231436 144.8631434)
17756516,POINT (-37.8153023 145.0210218)
17756507,POINT (-37.8239211 144.9620372)
17756505,POINT (-37.8443239 144.9437223)
17756492,POINT (-37.8173833 144.953627)
17756491,POINT (-38.22857260000001 146.431987)
17756476,POINT (-37.5421507 143.874689)
17756470,POINT (-37.8614307 144.9901993)
17756463,POINT (-38.304749 146.2239873)
17756461,POINT (-37.7669977 144.8223621)
17756454,POINT (-37.82498510000001 144.9615874)
17756441,POINT (-37.7466935 145.0627641)
17756428,POINT (-37.5942367 143.797476)
17756424,POINT (-37.8822078 145.2421215)
17756422,POINT (-37.9064906 145.1218048)
17756412,POINT (-37.5289669 145.0009964)
17756410,POINT (-37.837951 145.2076059)
17756395,POINT (-37.8355073 144.9746861)
17756392,POINT (-37.7675998 144.890612)
17756385,POINT (-37.8652257 145.0013615)
17756362,POINT (-37.8093086 144.9597389)
17756350,POINT (-37.7704153 145.0071132)
17756346,POINT (-37.8615938 145.0211224)
17756345,POINT (-37.8528249 145.0403895)
17756341,POINT (-37.6394211 145.043696)
17756337,POINT (-37.7692081 144.8914827)
17756334,POINT (-37.9605148 145.1789551)
17756331,POINT (-36.2183613 147.1712545)
17756321,POINT (-37.8141172 144.9874674)
17756305,POINT (-37.8136208 144.9539262)
17756301,POINT (-37.8247622 144.8697414)
17756286,POINT (-37.7837933 144.823335)
17756281,POINT (-37.7464316 145.0537222)
17756271,POINT (-37.8084354 144.960808)
17756250,POINT (-37.8499484 144.5920022)
17756249,POINT (-38.0114807 145.299272)
17756241,POINT (-38.1038105 147.0626865)
17756236,POINT (-36.7577214 144.275805)
17756218,POINT (-38.2138917 144.3044385)
17756201,POINT (-37.9041793 144.7162607)
17756200,POINT (-37.7552185 144.9364998)
17756194,POINT (-38.1229039 144.3228651)
17756178,POINT (-37.8771967 144.989563)
17756171,POINT (-37.8694314 145.2358117)
17756160,POINT (-37.67518829999999 144.5862274)
17756155,POINT (-38.109643 145.3328085)
17756146,POINT (-36.724469 144.2532488)
17756122,POINT (-37.9169203 144.633039)
17756118,POINT (-37.7597848 144.9526873)
17756115,POINT (-37.7813392 144.9083055)
17756110,POINT (-37.68564569999999 144.9333787)
17756109,POINT (-37.8443784 144.7077424)
17756086,POINT (-37.7678341 145.0504066)
17756082,POINT (-37.9471678 145.048736)
17756081,POINT (-37.6966648 145.1422129)
17756076,POINT (-34.2350052 142.1798352)
17756067,POINT (-37.5267183 143.8351286)
17756062,POINT (-37.9265771 145.0312135)
17756054,POINT (-38.1030253 145.1805232)
17756050,POINT (-38.1583628 144.347377)
17756044,POINT (-37.8588157 144.9854424)
17756041,POINT (-37.7784729 145.0243197)
17756031,POINT (-37.5722148 143.8842224)
17756022,POINT (-37.8935137 144.9988621)
17755979,POINT (-36.1312526 146.8762489)
17755974,POINT (-38.0693371 145.4013559)
17755969,POINT (-37.894348 145.0733585)
17755956,POINT (-37.8142736 144.9524267)
17755955,POINT (-37.5278573 143.8262033)
17755954,POINT (-37.7193525 145.0832823)
17755953,POINT (-37.8908042 145.0871945)
17755944,POINT (-37.895152 144.7369764)
17755943,POINT (-37.8313948 144.9521613)
17755941,POINT (-38.2699433 145.0230065)
17755925,POINT (-38.08586320000001 145.3204405)
17755924,POINT (-37.7610811 145.0126532)
17755922,POINT (-37.852904 145.0102657)
17755915,POINT (-37.71303290000001 144.5516736)
17755910,POINT (-37.9082691 145.1784109)
17755895,POINT (-37.8378228 144.9471916)
17755886,POINT (-37.6036479 144.7610958)
17755876,POINT (-37.8546511 144.7276672)
17755871,POINT (-37.5857967 144.939224)
17755865,POINT (-37.8144176 145.0154146)
17755860,POINT (-37.8422364 144.9447217)
17755859,POINT (-37.8354262 145.0131757)
17755858,POINT (-36.7702201 144.293165)
17755853,POINT (-38.1370337 145.1352155)
17755843,POINT (-37.8082052 144.9589035)
17755836,POINT (-37.80531390000001 144.9564083)
17755835,POINT (-37.7968086 144.9858169)
17755817,POINT (-37.7207022 144.9220471)
17755807,POINT (-37.8381775 144.9935025)
17755780,POINT (-37.6152002 144.9288484)
17755774,POINT (-37.6817806 145.0734838)
17755772,POINT (-38.1042769 145.2680354)
17755750,POINT (-38.1465159 145.120458)
17755747,POINT (-37.8057939 144.9871702)
17755741,POINT (-37.759142 144.9503644)
17755729,POINT (-34.1814754 142.146752)
17755727,POINT (-37.908372 144.7706805)
17755726,POINT (-37.8902143 145.0401873)
17755710,POINT (-37.7899678 147.7905644)
17755696,POINT (-37.8543496 145.0519497)
17755680,POINT (-37.8607646 144.985324)
17755671,POINT (-37.7303268 144.5680295)
17755661,POINT (-37.7657676 144.9503239)
17755660,POINT (-38.0534761 145.1263913)
17755657,POINT (-37.6920221 144.8820937)
17755645,POINT (-37.8014198 145.0688456)
17755641,POINT (-37.6571211 145.0276432)
17755611,POINT (-38.12481140000001 145.2435852)
17755600,POINT (-36.4683496 145.8289788)
17755597,POINT (-37.78472 144.9248598)
17755587,POINT (-37.8084104 144.9607774)
17755571,POINT (-37.8107573 144.952244)
17755531,POINT (-37.787642 144.8752076)
17755528,POINT (-37.8082312 144.9855712)
17755498,POINT (-37.6812249 144.9274831)
17755490,POINT (-37.5967034 145.0079393)
17755486,POINT (-37.8607034 145.278023)
17755484,POINT (-37.8405588 145.0060709)
17755477,POINT (-37.7289208 144.7475488)
17755476,POINT (-37.5973884 144.7087917)
17755466,POINT (-38.1350503 145.1338299)
17755460,POINT (-37.7660933 145.1109663)
17755451,POINT (-37.7407295 145.018408)
