property_id,coordinates
17652705,POINT (-36.728235 144.24831)
17652683,POINT (145.477371 -38.0800295)
17652607,POINT (-38.4536504 145.2337755)
17652549,POINT (-37.8508909 144.9843749)
17652545,POINT (144.3115938 -38.2081401)
17652507,POINT (144.9552965 -37.7189304)
17652390,POINT (-37.88123909999999 145.1112835)
17652359,POINT (-37.830791 144.9693648)
17652351,POINT (146.9442174 -36.1751194)
17652295,POINT (-37.6767109 144.9992915)
17652232,POINT (-38.1123628 145.2802246)
17652210,POINT (145.0891464 -37.8115051)
17652159,POINT (145.406836 -36.36548)
17652152,POINT (-37.865014 144.8223335)
17652127,POINT (-38.0175896 144.3577988)
17652110,POINT (-37.8115923 144.9498306)
17652039,POINT (144.7768818 -37.7683647)
17651991,POINT (-37.8980224 145.0624061)
17651976,POINT (145.1256695 -38.0211452)
17651961,POINT (145.0999575 -37.806468)
17651923,POINT (-38.0657773 145.391637)
17651825,POINT (-37.8675949 144.7057178)
17651821,POINT (-37.8446681 145.0036907)
17651807,POINT (144.7702935 -37.7557904)
17651799,POINT (144.3452077 -38.1411969)
17651786,POINT (-37.8484181 144.5875928)
17651755,POINT (-37.7750559 145.0969959)
17651659,POINT (144.339798 -38.1566082)
17651647,POINT (145.1724124 -37.7899896)
17651623,POINT (144.3384332 -38.1581758)
17651529,POINT (144.3467995 -38.2027981)
17651499,POINT (145.0191425 -37.774101)
17651453,POINT (-38.107735 145.285598)
17651420,POINT (144.8285403 -37.7940365)
17651410,POINT (144.8355105 -37.7824852)
17651338,POINT (-37.80369200000001 144.9643836)
17651214,POINT (144.3478415 -38.1366912)
17651174,POINT (145.0430343 -37.8202839)
17651162,POINT (-37.6328514 144.8921668)
17651118,POINT (147.6549294 -37.826724)
17651109,POINT (-37.9325164 145.0571788)
17651104,POINT (145.354085 -38.149821)
17651077,POINT (-37.8093452 144.9611619)
17651009,POINT (145.3666109 -38.1099008)
17650988,POINT (-37.8242191 144.9635646)
17650967,POINT (145.5745211 -35.8154368)
17650945,POINT (144.3888051 -38.1781845)
17650889,POINT (144.8324471 -37.7856832)
17650844,POINT (-38.0927944 144.3647156)
17650833,POINT (143.8532727 -37.0260839)
17650825,POINT (-37.8132309 144.6889801)
17650803,POINT (-37.841754 144.8514044)
17650770,POINT (146.3880909 -38.2365122)
17650569,POINT (-38.07778150000001 145.3714819)
17650532,POINT (-37.8625308 144.9055323)
17650445,POINT (-37.8748753 144.9971196)
17650427,POINT (-37.7399791 144.6535472)
17650422,POINT (-37.8216263 144.9623736)
17650301,POINT (-37.7947678 144.9342535)
17650286,POINT (145.3641711 -38.1103739)
17650250,POINT (145.3641711 -38.1103739)
17650230,POINT (-38.1891289 146.5259498)
17650142,POINT (-37.764069 144.8636266)
17650119,POINT (144.9999224 -37.8842499)
17650012,POINT (-38.2136346 145.3857776)
17649973,POINT (-37.7548369 145.0544292)
17649845,POINT (-37.765648 144.9175067)
17649737,POINT (-37.8002206 144.9091638)
17649659,POINT (-37.5950294 144.7081451)
17649594,POINT (145.0855698 -38.0020175)
17649592,POINT (144.9660039 -37.7969942)
17649565,POINT (145.9550597 -38.1503768)
17649456,POINT (-37.8518689 144.9947717)
17649391,POINT (144.13333 -37.9)
17649364,POINT (-37.05225310000001 146.0504944)
17649210,POINT (144.3507042 -38.1461894)
17649166,POINT (-37.8131087 144.9623734)
17649108,POINT (-37.8761252 145.2525521)
17649079,POINT (-37.8803455 145.0475662)
17649050,POINT (144.9200331 -37.7677986)
17649042,POINT (145.0619555 -37.6698473)
17649037,POINT (144.8744328 -37.6901105)
17649016,POINT (145.1309166 -38.1224192)
17649001,POINT (145.8573651 -38.1408845)
17648848,POINT (-37.921367 145.128501)
17648831,POINT (-38.4609727 145.2217228)
17648784,POINT (-37.8281978 145.0834686)
17648739,POINT (-37.8102587 144.9582367)
17648673,POINT (-37.67309030000001 144.9382317)
17648668,POINT (-38.0697211 142.3842528)
17648633,POINT (-38.2796175 144.491539)
17648608,POINT (144.9815881 -37.8787436)
17648357,POINT (146.9346767 -36.1812207)
17648245,POINT (-37.9753816 145.0729664)
17648131,POINT (-37.8112667 144.9592612)
17647980,POINT (-37.5165417 144.9565047)
17647909,POINT (-37.816598 144.9634599)
17647872,POINT (144.3399565 -38.1374957)
17647867,POINT (-37.7548267 144.895822)
17647844,POINT (-38.2540845 144.5513507)
17647757,POINT (145.3587973 -36.3899622)
17647698,POINT (-37.880212 144.9931467)
17647691,POINT (-37.8488303 144.9995655)
17647653,POINT (145.3463767 -38.0892696)
17647643,POINT (-37.8199185 144.9422016)
17647597,POINT (145.9314078 -38.1622926)
17647470,POINT (-37.8855557 145.072609)
17647462,POINT (-37.75119189999999 145.0381033)
17647393,POINT (144.9263575 -37.7655468)
17647221,POINT (-38.3259937 144.7103082)
17647151,POINT (-37.8827706 145.0528185)
17647145,POINT (-37.8113552 145.0071609)
17646987,POINT (148.4549059 -37.7011152)
17646927,POINT (-37.5788027 144.7630288)
17646848,POINT (144.8531682 -38.3690521)
17646836,POINT (144.9205102 -37.7677683)
17646831,POINT (-37.8588754 144.9810164)
17646792,POINT (-37.84738189999999 145.070606)
17646780,POINT (145.1933423 -38.3095245)
17646737,POINT (144.727553 -37.9058516)
17646706,POINT (144.9043915 -37.7420026)
17646701,POINT (-37.8843014 144.6206558)
17646648,POINT (-37.758863 144.9409018)
17646638,POINT (144.9922449 -37.779234)
17646631,POINT (-37.9910814 145.1676902)
17646383,POINT (145.0464443 -38.234802)
17646372,POINT (146.4219324 -36.647506)
17646334,POINT (147.6114087 -37.8263819)
17646312,POINT (145.0884587 -38.1933773)
17646277,POINT (145.3647648 -38.1148468)
17646275,POINT (145.0368531 -37.8759292)
17646067,POINT (-37.8923005 144.7300621)
17646062,POINT (145.0239953 -37.885236)
17646052,POINT (-36.7463747 144.266819)
17646012,POINT (144.9265023 -37.768847)
17645851,POINT (-37.8199985 144.9558061)
17645802,POINT (-37.8372878 145.0638875)
17645737,POINT (145.0302433 -37.7288685)
17645718,POINT (145.1598376 -38.0048787)
17645657,POINT (-37.5794884 144.8897216)
17645588,POINT (145.4535652 -38.05259)
17645580,POINT (144.9914902 -37.8184475)
17645430,POINT (144.318646 -38.1399878)
17645411,POINT (-37.7970028 144.8951409)
17645331,POINT (144.7680154 -37.7748255)
17645320,POINT (-38.0856939 145.4816498)
17645311,POINT (-37.9301237 145.1303252)
17645103,POINT (144.9354358 -37.2921869)
17645074,POINT (145.3534612 -36.3975313)
17645009,POINT (145.9422155 -38.1616645)
