property_id,count_childcare,count_community_centre,count_fast_food,count_fire_station,count_pharmacy,min_dist_childcare,min_dist_community_centre,min_dist_fast_food,min_dist_fire_station,min_dist_pharmacy,count_fuel,count_kindergarten,count_parking_space,min_dist_fuel,min_dist_kindergarten,min_dist_parking_space,count_cafe,count_charging_station,count_clinic,min_dist_cafe,min_dist_charging_station,min_dist_clinic,count_police,count_theatre,min_dist_police,min_dist_theatre,count_bank,min_dist_bank,count_atm,count_car_rental,count_cinema,count_college,count_events_venue,count_library,count_restaurant,count_social_facility,count_taxi,count_veterinary,min_dist_atm,min_dist_car_rental,min_dist_cinema,min_dist_college,min_dist_events_venue,min_dist_library,min_dist_restaurant,min_dist_social_facility,min_dist_taxi,min_dist_veterinary,count_doctors,min_dist_doctors,count_bar,count_social_centre,count_toy_library,count_university,min_dist_bar,min_dist_social_centre,min_dist_toy_library,min_dist_university,count_brothel,count_hospital,count_nightclub,min_dist_brothel,min_dist_hospital,min_dist_nightclub,count_coworking_space,min_dist_coworking_space,count_exhibition_centre,min_dist_exhibition_centre,count_parcel_locker,min_dist_parcel_locker,count_bus_station,min_dist_bus_station,count_former_hospital,count_motorcycle_parking,count_waste_disposal,min_dist_former_hospital,min_dist_motorcycle_parking,min_dist_waste_disposal,count_waste_transfer_station,min_dist_waste_transfer_station,count_internet_cafe,min_dist_internet_cafe,count_food_court,min_dist_food_court,count_nursing_home,min_dist_nursing_home,count_biergarten,min_dist_biergarten,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_prison,min_dist_prison,count_meeting_point,count_music_venue,count_student_accommodation,count_tool_library,min_dist_meeting_point,min_dist_music_venue,min_dist_student_accommodation,min_dist_tool_library,count_retail,min_dist_retail,count_casino,count_juice_bar,min_dist_casino,min_dist_juice_bar,count_conference_centre,count_events_centre,min_dist_conference_centre,min_dist_events_centre,count_restaurant; cafe,min_dist_restaurant; cafe,count_courier,count_healthcare,min_dist_courier,min_dist_healthcare,count_private parking_space,min_dist_private parking_space,count_cafe;deli,min_dist_cafe;deli,count_car_wash;cafe,min_dist_car_wash;cafe,count_diused:fuel,min_dist_diused:fuel,count_restaurant;cafe,min_dist_restaurant;cafe,count_bus_station;shelter,min_dist_bus_station;shelter,count_cafe;bar,min_dist_cafe;bar
17740571.0,8.0,7.0,32.0,1.0,12.0,1036.995639571354,712.3954587528932,251.5978417897348,886.2447789361686,212.7638852902684,8.0,3.0,85.0,61.6355128307911,977.264171283916,143.61747910663308,49.0,4.0,5.0,46.75585414064579,964.5982096289669,786.4095640999734,1.0,,1617.8930106325895,,7.0,1086.9769267703166,4.0,1.0,3.0,,,4.0,77.0,10.0,1.0,2.0,1371.7456576412935,1066.948163064705,1127.3790228866462,,,707.8409862671398,34.0132619359454,915.9083350454422,1530.1802338780003,1676.4611585620885,5.0,817.6334745112276,8.0,,,5.0,753.3665739588677,,,774.251260021717,,1.0,,,1853.2852594853848,,,,,,,,,,,,1.0,,,1549.902321840077,,,,,,,,,,,,,,,,,,,,,,,1.0,730.9635309037628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17729325.0,7.0,3.0,29.0,1.0,8.0,339.55748873566097,88.35339722295797,309.5076962891878,645.6322183260028,475.4882750348387,7.0,3.0,67.0,101.69625108501816,1129.000113480393,94.39955652604758,43.0,4.0,2.0,155.01425586500793,454.3414503988998,25.67850992226748,,,,,2.0,486.26172891621815,,1.0,3.0,,,4.0,66.0,6.0,,,,538.6122652980529,523.5646409325017,,,66.4374347853509,194.7496650833449,339.6701614218068,,,3.0,303.1760406745586,8.0,,,5.0,269.1249022808406,,,232.23070467102733,,1.0,,,1105.2537481658978,,,,,,,,,,,,1.0,,,1048.8392428163015,,,,,,,,,,,,,,,,,,,,,,,1.0,537.0254460895367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17729882.0,8.0,3.0,36.0,2.0,10.0,552.552268394001,1143.332757616975,175.88548033937917,1497.721892114244,311.3698707887758,7.0,5.0,44.0,671.00838913021,455.7010452072715,310.89581795760074,65.0,5.0,4.0,107.08612765427608,951.5693428745984,1123.177998487432,,1.0,,1666.8651997137497,8.0,1073.7302123872778,1.0,4.0,3.0,,1.0,4.0,70.0,5.0,,,1750.5507389686557,1172.9213765695388,1058.0413584918113,,1963.2489882072125,906.3188867923848,760.340766037328,228.95676967977997,,,3.0,357.2354439704252,8.0,,,5.0,208.894136814043,,,963.6501945247855,2.0,3.0,,1921.2260376843403,180.2269291761347,,,,,,,,,,,,1.0,,,1021.4424828093028,,,,,1.0,1320.3536902168278,1.0,1122.001565133752,,,,,,,,,,,,,,,1.0,1499.2677451993584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17737663.0,8.0,3.0,37.0,1.0,9.0,311.76615759832987,1223.1046327576066,397.94642274531634,1468.602547383067,394.0808664787817,6.0,6.0,38.0,342.98841604373547,237.1417873867772,600.4604877206946,64.0,5.0,4.0,351.2638942486153,966.4730624316647,1125.3424693493869,,1.0,,1224.5405891128885,8.0,1019.5632352621952,1.0,3.0,3.0,,,4.0,72.0,6.0,,,1311.1365045725695,1137.6815437428336,1028.4461023854012,,,1265.02524351064,352.87083267035115,435.7718858544565,,,3.0,660.4081978746747,7.0,,,5.0,547.245127514185,,,1087.8779750462531,2.0,3.0,,1842.6893988639124,628.3660107084517,,,,,,,,,,,,1.0,,,1449.295273857836,,,,,1.0,1250.0127776011122,1.0,1092.504263136353,,,,,,,,,,,,,,,1.0,1518.1763388339205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9445642.0,7.0,3.0,35.0,1.0,12.0,238.2374212824904,113.56044823885628,106.29732106905988,332.9336609823738,194.7346567695357,9.0,3.0,77.0,256.84910209471866,873.6817381494315,95.39296007541655,51.0,4.0,4.0,38.96680898814732,287.8629306745672,323.7781968246785,,1.0,,1824.1387538878776,12.0,222.5406144455583,2.0,1.0,3.0,,,4.0,85.0,6.0,1.0,,1853.3179409674972,221.28388750537863,262.9790367646443,,,225.82580917950224,48.37157815389934,549.6005432319404,1953.6168440033312,,4.0,52.362359072830266,9.0,,,6.0,147.44658661748093,,,104.07204109152175,,3.0,,,1230.3077035793,,,,,,,,,,,,1.0,,,1356.5896271710856,,,,,,,,,,,,,,,,,,,,,,,1.0,288.48948377593683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17743289.0,10.0,3.0,38.0,2.0,12.0,169.4585345997436,1666.359315902837,187.4044292636075,1790.0688755769756,193.1859955261437,8.0,5.0,36.0,112.67479173835255,271.00998380034224,584.5293722898243,66.0,5.0,5.0,207.61411356308295,852.3765774424485,1127.625531833478,1.0,1.0,1907.8992317744785,1251.3994417754077,9.0,1132.6841107038467,2.0,4.0,3.0,,1.0,4.0,80.0,6.0,1.0,,1349.931129230482,1486.9285208271942,820.8219605718216,,1954.921463231268,1381.148323645667,255.07043807497087,820.6786707143197,1933.8655342659863,,3.0,1035.420327781953,9.0,,,5.0,896.6163780814641,,,1527.8151639932582,2.0,4.0,,1417.7907499040823,861.0581791239865,,,,,,,,,,,,2.0,,,1727.1734462854722,,,,,1.0,842.7097291848661,1.0,719.7449060335897,,,,,,,,,,,,,,,1.0,1959.3183036339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095415.0,6.0,3.0,28.0,1.0,8.0,534.3098376233532,241.83498503690697,172.3552956556185,803.8989277871063,674.2335858709381,7.0,3.0,65.0,300.95884605415216,1237.4077832424928,136.2929061105165,43.0,3.0,2.0,176.98115291505192,649.5648295086174,224.38807122249787,,,,,2.0,685.5061839398415,,1.0,3.0,,,3.0,65.0,6.0,,,,734.9845488501776,722.8345702603885,,,201.94826570958375,180.13343537928077,417.9083533383465,,,3.0,484.5961026956204,8.0,,,5.0,468.3784958917473,,,418.5211868331105,,1.0,,,1163.6760318407476,,,,,,,,,,,,1.0,,,950.927753030824,,,,,,,,,,,,,,,,,,,,,,,1.0,673.1388388409206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8473867.0,7.0,5.0,32.0,1.0,10.0,527.1042044475989,435.5806142209556,169.0126772069868,272.0359650215704,182.3836576699122,9.0,4.0,88.0,745.198635810631,342.5708166473488,229.213236172418,46.0,4.0,3.0,158.82086441629966,801.3747729403814,779.8201294131123,1.0,,1845.1981921345637,,7.0,687.4368892077634,2.0,1.0,3.0,,,5.0,77.0,12.0,1.0,,1488.4899810487673,601.8581562721981,711.4630632169237,,,322.08818194443484,84.68703830100584,928.6439988183148,1421.2279988978055,,4.0,545.2420706391564,8.0,,,6.0,200.6043272167814,,,449.23745165630174,,3.0,,,1632.523719487972,,,,,,,,,,,,1.0,,,1833.1293868542436,,,,,,,1.0,1750.7220818332116,,,,,,,,,,,,,,,1.0,261.8708525392211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17595576.0,7.0,3.0,34.0,1.0,10.0,360.8304183451306,515.8726398504169,354.1514391920266,906.5440665154244,342.7103127531352,8.0,4.0,62.0,473.5725500688901,961.8229751478916,346.74409595223267,58.0,4.0,4.0,368.1414276407082,379.11212184816367,502.5881572328473,,1.0,,1733.021683463088,8.0,506.6825353753375,1.0,1.0,3.0,,,4.0,65.0,5.0,,,1791.6125744810015,611.3177864479647,508.3147767893084,,,581.4731501538745,419.9745894684978,244.4373697534145,,,3.0,304.8682319392616,8.0,,,6.0,335.4736760419561,,,341.8274517719656,,2.0,,,635.3685148743563,,,,,,,,,,,,1.0,,,955.814098390736,,,,,1.0,1935.7374860892976,1.0,1744.0587945690663,,,,,,,,,,,,,,,1.0,883.1218755448248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17653942.0,6.0,3.0,29.0,1.0,10.0,744.8313419847918,424.4720486880552,45.47947625804685,941.5346892364944,798.008429497122,7.0,4.0,61.0,505.9519662033887,1306.167863874373,83.45796675135449,46.0,4.0,3.0,48.998508586969685,859.8347712694376,431.3008050369056,,,,,6.0,886.0550037635105,2.0,1.0,3.0,,,3.0,69.0,6.0,,2.0,1956.7802287598904,925.1266465718378,924.86156610934,,,388.9643562738048,82.05346762672731,612.3136873440012,,1927.208971883023,3.0,660.0969064323413,8.0,,,5.0,670.5163197745861,,,631.8131193003019,,1.0,,,1323.353415752204,,,,,,,,,,,,1.0,,,969.5329454538364,,,,,,,,,,,,,,,,,,,,,,,1.0,793.2403906127659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
