PropertyID,count_atm,count_bank,count_childcare,count_clinic,count_community_centre,count_doctors,count_fast_food,count_fuel,count_kindergarten,count_parking_space,count_restaurant,min_dist_atm,min_dist_bank,min_dist_childcare,min_dist_clinic,min_dist_community_centre,min_dist_doctors,min_dist_fast_food,min_dist_fuel,min_dist_kindergarten,min_dist_parking_space,min_dist_restaurant,count_bar,count_bus_station,count_cafe,count_charging_station,count_cinema,count_college,count_fire_station,count_food_court,count_library,count_nightclub,count_nursing_home,count_parcel_locker,count_pharmacy,count_police,count_social_facility,count_taxi,count_theatre,count_university,count_veterinary,min_dist_bar,min_dist_bus_station,min_dist_cafe,min_dist_charging_station,min_dist_cinema,min_dist_college,min_dist_fire_station,min_dist_food_court,min_dist_library,min_dist_nightclub,min_dist_nursing_home,min_dist_parcel_locker,min_dist_pharmacy,min_dist_police,min_dist_social_facility,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_veterinary,count_car_rental,count_coworking_space,count_events_venue,count_hospital,count_social_centre,min_dist_car_rental,min_dist_coworking_space,min_dist_events_venue,min_dist_hospital,min_dist_social_centre,count_motorcycle_parking,count_toy_library,count_waste_disposal,min_dist_motorcycle_parking,min_dist_toy_library,min_dist_waste_disposal,count_brothel,count_casino,count_conference_centre,count_exhibition_centre,count_internet_cafe,count_juice_bar,count_prison,min_dist_brothel,min_dist_casino,min_dist_conference_centre,min_dist_exhibition_centre,min_dist_internet_cafe,min_dist_juice_bar,min_dist_prison,count_student_accommodation,min_dist_student_accommodation,count_events_centre,count_healthcare,min_dist_events_centre,min_dist_healthcare,count_bus_station;shelter,min_dist_bus_station;shelter,count_courier,min_dist_courier,count_waste_transfer_station,min_dist_waste_transfer_station,count_retail,min_dist_retail,count_restaurant; cafe,min_dist_restaurant; cafe,count_restaurant;cafe,min_dist_restaurant;cafe,count_biergarten,count_meeting_point,count_music_venue,count_tool_library,min_dist_biergarten,min_dist_meeting_point,min_dist_music_venue,min_dist_tool_library,count_private parking_space,min_dist_private parking_space
17758567,1.0,3.0,1.0,,2.0,4.0,10.0,5.0,8.0,278.0,8.0,1262.0262333035764,99.63664096029609,730.8631180215781,,399.61748031038087,333.30576257459774,741.09772483138,194.79597241199744,425.05498764898164,75.20522323338102,32.82368681381031,,1.0,2.0,,,,1.0,,1.0,,,,2.0,,5.0,,,,2.0,,334.68701771907035,1736.181221871695,,,,172.0681354350824,,253.61111898592299,,,,158.79158819999964,,539.4133622041339,,,,1115.5398725648365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758560,54.0,51.0,5.0,14.0,12.0,11.0,254.0,6.0,7.0,390.0,674.0,255.3262792774161,486.25496005571614,1101.5426620134153,695.6533967720283,419.45219802030687,790.8786313511861,48.282872526782796,742.7574910389573,991.3953821379038,570.2915757640835,55.43988206137852,151.0,1.0,491.0,21.0,5.0,12.0,4.0,14.0,13.0,11.0,,7.0,35.0,10.0,7.0,11.0,28.0,21.0,1.0,116.61834001523971,1093.266233491035,17.67435703610232,437.4348460591068,471.26144812864254,271.96269335498494,598.3257812034801,415.2242074978606,411.5074144761765,301.7917390933711,,861.6776543796342,418.6678193758818,629.2502919423066,655.2094142172948,210.0281361222662,90.24627180771701,634.1803046342951,1434.2794002950948,17.0,4.0,12.0,5.0,2.0,30.61946534787957,580.4363779390943,758.2290668444895,1767.5726234021038,1817.232663140867,24.0,1.0,3.0,479.07298539457133,1623.8664512888724,684.3900888924929,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1382.4733158975541,347.6623768239602,938.7367217682608,845.5360153673458,1031.8804380301233,441.90470457251615,1460.7312089193201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758556,,6.0,,,,,5.0,6.0,1.0,,2.0,,1708.7115256167972,,,,,1134.7122961757777,1185.5113624750704,1675.5519433567258,,1444.784038056076,,,6.0,2.0,1.0,,1.0,,,,,,2.0,,,,1.0,1.0,1.0,,,1386.240056243296,1326.5150348682657,1827.0106551377905,,1534.304775979806,,,,,,1588.926411727561,,,,1706.0815734253106,1850.5823186283733,1196.3338563316654,,,,1.0,,,,,1743.1536096684613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758554,3.0,,3.0,1.0,4.0,1.0,23.0,8.0,,,9.0,382.5774382120659,,727.9073681347028,1567.0278907251052,1350.9446909235105,1690.9670666265183,356.36513213658986,662.2870105031906,,,362.1781737896762,,,8.0,1.0,,,,,,,1.0,1.0,3.0,,5.0,,,1.0,3.0,,,314.86885338563695,1353.5233289910864,,,,,,,1306.3490637130612,1092.8945547479623,346.93912416670247,,1451.2025378091232,,,1184.9080010761138,1583.152074720345,1.0,,,4.0,,1795.8842642223099,,,1217.0801672864359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758552,,5.0,1.0,3.0,4.0,2.0,22.0,4.0,1.0,25.0,22.0,,1524.3296909548258,1949.9353236650093,1526.2810702873703,599.2921855659124,1035.6711673732514,644.956624976498,668.954598674802,780.8113769325274,1089.973092015469,944.8630910484449,,,36.0,5.0,,,1.0,,2.0,,,3.0,3.0,,1.0,,,,1.0,,,185.2435676356959,446.6837768832063,,,621.122264393959,,1661.000123517183,,,158.97734722777898,647.9695294813711,,789.3344941418381,,,,1502.6373350209383,1.0,,1.0,,1.0,1576.6706111637786,,416.79326352754816,,1649.4350578702476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758547,65.0,48.0,4.0,29.0,10.0,19.0,270.0,10.0,11.0,432.0,790.0,212.8318309142677,482.7342111303244,1284.5036950276763,215.37853095042914,226.88605442320613,196.2131068850115,169.87225303650578,916.5299184910081,222.25579393617275,204.20067633504385,53.9984109180062,193.0,1.0,549.0,21.0,6.0,11.0,3.0,13.0,19.0,14.0,,6.0,43.0,10.0,9.0,9.0,29.0,19.0,3.0,183.57300105368884,1498.336157380693,59.44184532803736,54.06962789435299,490.6381807617379,219.73035324817837,202.0493064999406,363.7028402308064,122.97983061333981,566.0086036291767,,302.1885863473473,317.50259482666485,620.8684177821716,662.0474187559804,208.17273962889945,730.9147650101114,60.305955714914276,1052.6836022576963,10.0,2.0,56.0,18.0,,190.88903539827976,632.5839703076381,258.6829811048134,718.6312920788552,,24.0,,3.0,380.8616016831707,,489.2012737949615,1.0,1.0,,,3.0,1.0,2.0,236.30221091062867,1991.3132338776952,,,1294.4653569318523,1626.999382859543,1345.0023370548608,7.0,1062.144427777728,,,,,,,,,,,,,,,,,,,,,,,,,,
17758534,,,3.0,2.0,3.0,,5.0,1.0,2.0,8.0,3.0,,,1236.7653679270359,1712.1997290688462,1388.120237719037,,1591.5977812311353,1887.0907735960327,433.2826875448031,1243.9412284437362,1591.000391390474,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,1808.3863260804603,1970.2417383739398,,1468.2915040256237,,,1328.9427821241934,,950.1939277248212,,1858.0944580040361,,944.6103412763306,,,,1701.072239893413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758516,67.0,48.0,2.0,27.0,11.0,16.0,266.0,7.0,10.0,425.0,765.0,402.17452347877656,90.07786196754621,995.843914946817,374.0972844855635,504.75524448614374,649.4817220584177,59.10745471323061,1343.983522640777,683.2259008837343,476.0395158857036,49.03731307784458,172.0,1.0,555.0,24.0,7.0,13.0,4.0,15.0,18.0,11.0,,8.0,43.0,11.0,7.0,8.0,39.0,20.0,1.0,86.28580437958985,953.9921887640027,81.1959850878873,346.0514228025916,251.25212519460942,415.68552400836967,829.5675094423581,128.64923794248855,396.78609540818854,449.4455472683749,,435.9028859877225,65.3661028398265,338.7180935511566,1064.544022443091,449.2070095817471,372.4005792006408,130.08019998615305,1427.4054412678345,17.0,5.0,63.0,16.0,,230.67599286615882,396.2728105020814,139.30280232942835,1266.2315725176695,,26.0,,4.0,197.01026460993415,,468.0848326889674,1.0,3.0,2.0,1.0,2.0,1.0,2.0,877.0227197964679,1351.4002493320477,1730.6857492080437,1719.492383706424,736.726381198629,1086.8181400666376,951.2157683204825,6.0,1698.179924502353,,,,,,,,,,,,,,,,,,,,,,,,,,
17758512,3.0,11.0,3.0,15.0,1.0,1.0,30.0,10.0,5.0,126.0,74.0,596.6127177970413,517.2476639662349,1094.6771681472878,741.8604535610442,1976.1488684947112,1053.6621178351807,363.6694814723842,155.7052498290563,786.9694064152849,528.3466483396338,408.82536005467233,2.0,1.0,45.0,4.0,1.0,3.0,1.0,,2.0,,,,11.0,1.0,3.0,3.0,,,1.0,1394.3034914778648,491.0322156504215,405.8406859305165,347.39591021335036,409.1288300400872,252.10774711175355,1678.3424111544798,,901.694783843553,,,,345.0678360212588,1354.7459408337666,1334.0449475158027,488.49678407893197,,,1919.7102775176418,,,1.0,,,,,977.9526654855488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758510,7.0,8.0,6.0,10.0,6.0,6.0,53.0,8.0,9.0,42.0,147.0,278.37862561577487,286.31917457645636,810.299153262331,393.7455785143766,738.7368788735158,243.79218733245756,481.5915552045532,787.738144013311,422.8904903641606,450.72282363067313,221.40408409410534,41.0,,140.0,11.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,17.0,3.0,3.0,3.0,2.0,5.0,1.0,545.1204416630087,,127.87333108579315,781.6618579914821,1793.270623606774,851.7296161927017,1077.8616868509935,1804.1476036791826,765.6135259588252,1736.2951394323727,1849.2277989983077,361.69444681512744,255.30231165453716,657.9188841157992,430.75136244917616,637.522645917373,1803.7770002800294,1605.069800595415,1748.922895356636,7.0,,7.0,14.0,,563.2475123466053,,773.9356600130288,304.5926501435586,,4.0,,1.0,1934.0135924815083,,1212.915184144613,3.0,,1.0,,1.0,,,1427.7276972154248,,1138.3582904753653,,1831.8152791660325,,,,,1.0,1.0,1056.4755871010602,1583.9999592973877,,,,,,,,,,,,,,,,,,,,,,
