PropertyID,count_cafe,count_childcare,count_clinic,count_doctors,count_fast_food,count_fire_station,count_fuel,count_kindergarten,count_pharmacy,count_veterinary,min_dist_cafe,min_dist_childcare,min_dist_clinic,min_dist_doctors,min_dist_fast_food,min_dist_fire_station,min_dist_fuel,min_dist_kindergarten,min_dist_pharmacy,min_dist_veterinary,count_atm,count_bank,count_bar,count_brothel,count_bus_station,count_car_rental,count_casino,count_charging_station,count_cinema,count_college,count_community_centre,count_conference_centre,count_coworking_space,count_events_venue,count_exhibition_centre,count_food_court,count_hospital,count_internet_cafe,count_juice_bar,count_library,count_motorcycle_parking,count_nightclub,count_parcel_locker,count_parking_space,count_police,count_prison,count_restaurant,count_social_facility,count_student_accommodation,count_taxi,count_theatre,count_university,count_waste_disposal,min_dist_atm,min_dist_bank,min_dist_bar,min_dist_brothel,min_dist_bus_station,min_dist_car_rental,min_dist_casino,min_dist_charging_station,min_dist_cinema,min_dist_college,min_dist_community_centre,min_dist_conference_centre,min_dist_coworking_space,min_dist_events_venue,min_dist_exhibition_centre,min_dist_food_court,min_dist_hospital,min_dist_internet_cafe,min_dist_juice_bar,min_dist_library,min_dist_motorcycle_parking,min_dist_nightclub,min_dist_parcel_locker,min_dist_parking_space,min_dist_police,min_dist_prison,min_dist_restaurant,min_dist_social_facility,min_dist_student_accommodation,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_waste_disposal,count_nursing_home,count_retail,min_dist_nursing_home,min_dist_retail,count_social_centre,min_dist_social_centre,count_toy_library,min_dist_toy_library,count_waste_transfer_station,min_dist_waste_transfer_station,count_biergarten,min_dist_biergarten,count_private parking_space,min_dist_private parking_space,count_courier,count_events_centre,count_healthcare,min_dist_courier,min_dist_events_centre,min_dist_healthcare,count_meeting_point,count_music_venue,count_tool_library,min_dist_meeting_point,min_dist_music_venue,min_dist_tool_library,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_cafe;bar,min_dist_cafe;bar
17679765,10.0,2.0,2.0,4.0,24.0,,7.0,7.0,2.0,1.0,559.4112090756295,728.4800537719939,1097.1942441791402,550.7866634308447,368.31934549153976,,343.33422164472023,1075.5114056312027,805.0664140633637,1178.2476292624565,2.0,5.0,4.0,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,225.0,,,17.0,5.0,,1.0,,1.0,,749.4066543827397,1018.1682249666512,527.6460419166348,,,1992.7431427057838,,,,,1729.4959340911203,,,,,,1838.6213877269531,,,1097.9157368261212,,,,1024.2974110554399,,,846.6649209288535,1402.749502169363,,847.9336032383026,,2624.4225284420104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679734,2.0,2.0,3.0,2.0,8.0,1.0,5.0,5.0,3.0,,1316.339853197302,1034.7800151204044,813.6210152312269,906.2353689405953,280.94473819753455,1914.1082616047083,749.2021095791818,1246.1618912860658,916.3900540630644,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,1069.8970649004978,,,,,,,,,,,,,,1843.1206306905165,,874.9352120091761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679720,,,,,3.0,2.0,6.0,1.0,2.0,1.0,,,,,625.4207956811472,1670.2026880361836,356.54447385820066,1363.170803740523,678.9478506386645,1712.6983660570872,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,610.0977771296333,,,,,,,,,,,,,,1728.3604086092253,,1559.397588881411,,,,,,,,,,,,,1.0,1370.633134158226,1.0,570.5040856021808,,,,,,,,,,,,,,,,,,,,
17679706,20.0,7.0,4.0,1.0,11.0,1.0,4.0,3.0,2.0,2.0,541.0077743844367,1106.3106282011445,561.2636710300392,1187.2003602316947,430.94352048820184,1503.6826560788934,712.5073837036431,969.1834695067333,584.4956144405027,1532.577236048911,1.0,2.0,2.0,,,,,1.0,1.0,,6.0,,,,,,2.0,,,1.0,,,,,,,7.0,1.0,,,,,,700.2584954345872,1569.9645764947081,874.9510300841164,,,,,494.4080796901876,1934.3184253431266,,179.5118616244579,,,,,,1907.087522496699,,,1553.0230505102347,,,,,,,550.4050052782433,1922.7053696972855,,,,,,1.0,,1760.9505179847897,,,,1.0,1269.931196146913,,,,,,,,,,,,,,,,,,,,,,
17679644,2.0,3.0,1.0,2.0,4.0,,2.0,5.0,2.0,,769.7596199321707,851.5536141039702,1827.40524811263,1467.7439341582715,787.0943234291607,,1313.1277221184946,768.118066009837,725.9461535180778,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1542.0772666833873,,,,,,,,,,,,,,,,795.6408408478239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679562,29.0,5.0,11.0,1.0,11.0,1.0,8.0,1.0,10.0,3.0,598.9243671379664,278.900342879568,281.68291412606686,920.450971953321,615.2096395430925,739.4618163769509,682.6986437437163,1484.1334527738763,592.8929749015866,1688.6642797783456,6.0,4.0,1.0,,,,,5.0,,,,,,,,,3.0,1.0,,1.0,,,,4.0,1.0,,40.0,4.0,,,,1.0,,635.4429416931989,1714.9525890937743,909.7185760354257,,,,,1650.684458278642,,,,,,,,,1331.3283822151297,1842.7414070913942,,1470.4434625955187,,,,1251.7045414509244,1678.0220325907578,,636.8696303237692,987.958760885327,,,,2019.2195652928797,,,,,,,,,,1.0,1247.5327051358715,,,,,,,,,,,,,,,,,,,,
17679520,1.0,,,,4.0,,3.0,1.0,1.0,,1947.0608579226184,,,,572.7310130575745,,609.8346547668156,820.1056388324927,701.7697900970285,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1969.2403718359894,,,698.6945948307874,,,,,,,,,,,,,,,,,,,,2053.040177996415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679482,495.0,2.0,25.0,10.0,267.0,4.0,4.0,5.0,37.0,1.0,132.85865567667062,1582.4910338840784,562.2059803949393,414.0351042964406,122.69389129193573,436.79044467710816,1541.158847317518,1100.067719117584,118.42294565634366,1566.2641747647083,61.0,49.0,155.0,1.0,1.0,17.0,3.0,24.0,7.0,12.0,9.0,1.0,5.0,45.0,1.0,15.0,8.0,1.0,1.0,17.0,25.0,10.0,9.0,381.0,10.0,2.0,712.0,5.0,,8.0,34.0,17.0,4.0,144.0916711151889,86.84833168681318,107.02117251332628,1494.3794922086822,242.29754844142346,243.1329762161067,1132.9483222982433,273.9198024391713,1021.1737012002964,98.82160344154862,787.7117068853274,1240.9744192560536,619.6008735002821,704.2073278914922,1284.692220458213,314.47364736856116,1565.1897221586544,154.54180454863663,1361.8974388174568,374.4245551594427,325.94375003893555,644.0660693714752,471.3658309978665,270.5009046485284,175.4253631409847,280.4541580391114,65.06763828943565,885.5363354556072,,261.69342977487577,1069.541721643607,172.31731780028423,822.2852016650899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679433,144.0,4.0,10.0,9.0,51.0,1.0,8.0,6.0,13.0,1.0,84.80293630133252,764.6480247619257,1254.8274890696548,85.26236684353475,122.43900589958935,1596.5420517008565,434.20018480385676,690.622190810501,106.21220273030912,1760.460137191284,12.0,18.0,28.0,3.0,,9.0,3.0,7.0,2.0,6.0,7.0,1.0,2.0,5.0,,2.0,1.0,,1.0,9.0,,3.0,,140.0,2.0,,159.0,10.0,,6.0,17.0,4.0,,1075.2726165821462,32.29919723417157,97.29655131596553,482.9531183654151,,1104.8800311379332,1870.602901459932,631.3122431849056,1971.137807004338,468.74247029158886,149.52230685007345,1716.2627006949922,1349.9325890448852,1275.1467185295635,,1885.8956138857684,1336.9916202425695,,1896.598481355851,685.6129761375961,,920.3717139356029,,652.2212330045709,1334.085508711271,,77.14731134969543,1015.6519995898099,,826.240393727124,568.5383415274167,1077.5312762840547,,,,,,3.0,1465.0026012070966,1.0,1131.8895818307194,,,,,,,,,,,,,,,,,,,,,,
17679354,5.0,,5.0,5.0,12.0,1.0,3.0,4.0,2.0,2.0,883.4646003552502,,1041.1059664189727,1081.4524814450347,655.8903321604646,1429.1837139957013,992.0107946063222,348.3280489618507,1083.3124898666013,1529.2522407740562,,2.0,,,1.0,,,1.0,,1.0,,,,,,,3.0,,,1.0,,,,,,,7.0,4.0,,1.0,,1.0,1.0,,1396.3592936661692,,,1246.9636239775205,,,1171.554519293843,,876.3507656500057,,,,,,,773.9653741803885,,,967.2280708271704,,,,,,,691.4268083236382,1325.4079110105429,,923.4564234042082,,1048.0441091552118,1979.2838525878135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679331,99.0,2.0,8.0,13.0,44.0,1.0,5.0,9.0,11.0,4.0,85.37950868858483,738.9217886984248,829.9993031435101,435.85862054361917,364.01591103027977,1425.3196034409839,190.49666760149404,541.1533811140562,125.94151745317255,737.6273091278135,13.0,3.0,37.0,,,1.0,,2.0,1.0,,7.0,,,6.0,,1.0,4.0,,,3.0,,2.0,1.0,1.0,2.0,1.0,105.0,6.0,,,,3.0,1.0,914.3769900322297,955.3629357350263,797.4025817331333,,,965.0914152603997,,1000.1384616038494,872.7816301655607,,855.3234940975344,,,644.7737661746911,,1355.0745529713572,744.3365961684078,,,885.4807515120264,,880.5321819155923,1063.4049648391408,757.891683546608,670.8185883420578,821.635986582925,129.9141339143257,723.3753105329009,,,,214.72378381449673,1978.528917083312,,,,,1.0,1113.273619953236,,,,,,,,,,,,,,,,,,,,,,,,
