PropertyID,count_atm,count_bank,count_childcare,count_clinic,count_community_centre,count_doctors,count_fast_food,count_fuel,count_kindergarten,count_parking_space,count_restaurant,min_dist_atm,min_dist_bank,min_dist_childcare,min_dist_clinic,min_dist_community_centre,min_dist_doctors,min_dist_fast_food,min_dist_fuel,min_dist_kindergarten,min_dist_parking_space,min_dist_restaurant,count_bar,count_bus_station,count_cafe,count_charging_station,count_cinema,count_college,count_fire_station,count_food_court,count_library,count_nightclub,count_nursing_home,count_parcel_locker,count_pharmacy,count_police,count_social_facility,count_taxi,count_theatre,count_university,count_veterinary,min_dist_bar,min_dist_bus_station,min_dist_cafe,min_dist_charging_station,min_dist_cinema,min_dist_college,min_dist_fire_station,min_dist_food_court,min_dist_library,min_dist_nightclub,min_dist_nursing_home,min_dist_parcel_locker,min_dist_pharmacy,min_dist_police,min_dist_social_facility,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_veterinary,count_car_rental,count_coworking_space,count_events_venue,count_hospital,count_social_centre,min_dist_car_rental,min_dist_coworking_space,min_dist_events_venue,min_dist_hospital,min_dist_social_centre,count_motorcycle_parking,count_toy_library,count_waste_disposal,min_dist_motorcycle_parking,min_dist_toy_library,min_dist_waste_disposal,count_brothel,count_casino,count_conference_centre,count_exhibition_centre,count_internet_cafe,count_juice_bar,count_prison,min_dist_brothel,min_dist_casino,min_dist_conference_centre,min_dist_exhibition_centre,min_dist_internet_cafe,min_dist_juice_bar,min_dist_prison,count_student_accommodation,min_dist_student_accommodation,count_events_centre,count_healthcare,min_dist_events_centre,min_dist_healthcare,count_bus_station;shelter,min_dist_bus_station;shelter,count_courier,min_dist_courier,count_waste_transfer_station,min_dist_waste_transfer_station,count_retail,min_dist_retail,count_restaurant; cafe,min_dist_restaurant; cafe,count_restaurant;cafe,min_dist_restaurant;cafe,count_biergarten,count_meeting_point,count_music_venue,count_tool_library,min_dist_biergarten,min_dist_meeting_point,min_dist_music_venue,min_dist_tool_library,count_private parking_space,min_dist_private parking_space,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_car_wash;cafe,min_dist_car_wash;cafe,count_cafe;deli,min_dist_cafe;deli,count_cafe;bar,min_dist_cafe;bar,count_diused:fuel,min_dist_diused:fuel
17758567,1.0,3.0,1.0,,2.0,4.0,10.0,5.0,8.0,278.0,8.0,1262.0262333035764,99.63664096029608,730.8631180215781,,399.61748031038087,333.30576257459774,741.09772483138,194.79597241199744,425.0549876489816,75.20522323338102,32.82368681381031,,1.0,2.0,,,,1.0,,1.0,,,,2.0,,5.0,,,,2.0,,334.68701771907035,1736.181221871695,,,,172.0681354350824,,253.61111898592296,,,,158.79158819999964,,539.4133622041339,,,,1115.5398725648363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758560,54.0,51.0,5.0,14.0,12.0,11.0,254.0,6.0,7.0,390.0,674.0,255.3262792774161,486.25496005571614,1101.542662013415,695.6533967720283,419.45219802030687,790.8786313511861,48.2828725267828,742.7574910389573,991.3953821379038,570.2915757640835,55.43988206137852,151.0,1.0,491.0,21.0,5.0,12.0,4.0,14.0,13.0,11.0,,7.0,35.0,10.0,7.0,11.0,28.0,21.0,1.0,116.61834001523972,1093.266233491035,17.67435703610232,437.4348460591068,471.26144812864254,271.96269335498494,598.3257812034801,415.2242074978606,411.5074144761765,301.7917390933711,,861.6776543796342,418.6678193758818,629.2502919423066,655.2094142172948,210.0281361222662,90.246271807717,634.1803046342951,1434.2794002950948,17.0,4.0,12.0,5.0,2.0,30.61946534787957,580.4363779390943,758.2290668444895,1767.5726234021038,1817.232663140867,24.0,1.0,3.0,479.0729853945713,1623.8664512888724,684.3900888924929,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1382.473315897554,347.6623768239602,938.7367217682608,845.5360153673458,1031.8804380301233,441.90470457251615,1460.73120891932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758556,,6.0,,,,,5.0,6.0,1.0,,2.0,,1708.7115256167972,,,,,1134.7122961757775,1185.5113624750704,1675.5519433567258,,1444.784038056076,,,6.0,2.0,1.0,,1.0,,,,,,2.0,,,,1.0,1.0,1.0,,,1386.240056243296,1326.5150348682655,1827.0106551377903,,1534.304775979806,,,,,,1588.926411727561,,,,1706.0815734253106,1850.5823186283733,1196.3338563316654,,,,1.0,,,,,1743.1536096684613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758554,3.0,,3.0,1.0,4.0,1.0,23.0,8.0,,,9.0,382.5774382120659,,727.9073681347028,1567.0278907251052,1350.9446909235105,1690.9670666265183,356.36513213658986,662.2870105031906,,,362.1781737896762,,,8.0,1.0,,,,,,,1.0,1.0,3.0,,5.0,,,1.0,3.0,,,314.8688533856369,1353.5233289910864,,,,,,,1306.3490637130612,1092.8945547479625,346.93912416670247,,1451.2025378091232,,,1184.9080010761138,1583.152074720345,1.0,,,4.0,,1795.88426422231,,,1217.080167286436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758552,,5.0,1.0,3.0,4.0,2.0,22.0,4.0,1.0,25.0,22.0,,1524.3296909548258,1949.9353236650093,1526.2810702873703,599.2921855659124,1035.6711673732514,644.956624976498,668.954598674802,780.8113769325274,1089.973092015469,944.8630910484447,,,36.0,5.0,,,1.0,,2.0,,,3.0,3.0,,1.0,,,,1.0,,,185.2435676356959,446.6837768832063,,,621.122264393959,,1661.000123517183,,,158.97734722777898,647.9695294813711,,789.3344941418381,,,,1502.6373350209385,1.0,,1.0,,1.0,1576.6706111637786,,416.79326352754816,,1649.4350578702476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758547,65.0,48.0,4.0,29.0,10.0,19.0,270.0,10.0,11.0,432.0,790.0,212.8318309142677,482.7342111303244,1284.5036950276765,215.37853095042917,226.88605442320613,196.2131068850115,169.87225303650578,916.529918491008,222.25579393617275,204.20067633504385,53.9984109180062,193.0,1.0,549.0,21.0,6.0,11.0,3.0,13.0,19.0,14.0,,6.0,43.0,10.0,9.0,9.0,29.0,19.0,3.0,183.57300105368884,1498.336157380693,59.44184532803736,54.06962789435299,490.6381807617379,219.7303532481784,202.0493064999406,363.7028402308064,122.9798306133398,566.0086036291767,,302.1885863473473,317.50259482666485,620.8684177821716,662.0474187559804,208.17273962889945,730.9147650101114,60.30595571491428,1052.6836022576963,10.0,2.0,56.0,18.0,,190.88903539827976,632.5839703076381,258.6829811048134,718.6312920788552,,24.0,,3.0,380.8616016831707,,489.2012737949615,1.0,1.0,,,3.0,1.0,2.0,236.30221091062867,1991.3132338776952,,,1294.4653569318525,1626.999382859543,1345.0023370548608,7.0,1062.144427777728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758534,,,3.0,2.0,3.0,,5.0,1.0,2.0,8.0,3.0,,,1236.765367927036,1712.1997290688462,1388.120237719037,,1591.5977812311353,1887.0907735960327,433.2826875448031,1243.9412284437362,1591.000391390474,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,1808.3863260804603,1970.24173837394,,1468.2915040256237,,,1328.9427821241934,,950.1939277248212,,1858.094458004036,,944.6103412763306,,,,1701.072239893413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758516,67.0,48.0,2.0,27.0,11.0,16.0,266.0,7.0,10.0,425.0,765.0,402.17452347877656,90.0778619675462,995.843914946817,374.0972844855635,504.7552444861437,649.4817220584177,59.10745471323061,1343.983522640777,683.2259008837343,476.0395158857036,49.03731307784458,172.0,1.0,555.0,24.0,7.0,13.0,4.0,15.0,18.0,11.0,,8.0,43.0,11.0,7.0,8.0,39.0,20.0,1.0,86.28580437958985,953.9921887640028,81.1959850878873,346.0514228025916,251.25212519460945,415.68552400836967,829.5675094423581,128.64923794248855,396.7860954081885,449.4455472683749,,435.9028859877225,65.3661028398265,338.7180935511566,1064.544022443091,449.2070095817471,372.4005792006408,130.08019998615305,1427.4054412678345,17.0,5.0,63.0,16.0,,230.6759928661588,396.2728105020814,139.30280232942837,1266.2315725176695,,26.0,,4.0,197.01026460993413,,468.0848326889674,1.0,3.0,2.0,1.0,2.0,1.0,2.0,877.0227197964679,1351.4002493320477,1730.6857492080435,1719.492383706424,736.726381198629,1086.8181400666376,951.2157683204824,6.0,1698.179924502353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758512,3.0,11.0,3.0,15.0,1.0,1.0,30.0,10.0,5.0,126.0,74.0,596.6127177970413,517.2476639662349,1094.6771681472878,741.8604535610442,1976.1488684947112,1053.6621178351809,363.6694814723842,155.7052498290563,786.9694064152849,528.3466483396338,408.82536005467233,2.0,1.0,45.0,4.0,1.0,3.0,1.0,,2.0,,,,11.0,1.0,3.0,3.0,,,1.0,1394.3034914778648,491.0322156504215,405.8406859305165,347.3959102133504,409.1288300400872,252.10774711175355,1678.3424111544798,,901.694783843553,,,,345.0678360212588,1354.7459408337666,1334.0449475158027,488.496784078932,,,1919.7102775176415,,,1.0,,,,,977.9526654855488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758510,7.0,8.0,6.0,10.0,6.0,6.0,53.0,8.0,9.0,42.0,147.0,278.37862561577487,286.3191745764564,810.299153262331,393.7455785143766,738.7368788735158,243.7921873324576,481.5915552045532,787.738144013311,422.8904903641606,450.72282363067313,221.40408409410531,41.0,,140.0,11.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,17.0,3.0,3.0,3.0,2.0,5.0,1.0,545.1204416630087,,127.87333108579315,781.6618579914821,1793.270623606774,851.7296161927017,1077.8616868509937,1804.1476036791823,765.6135259588252,1736.2951394323727,1849.227798998308,361.6944468151274,255.3023116545372,657.9188841157992,430.75136244917616,637.522645917373,1803.7770002800291,1605.069800595415,1748.922895356636,7.0,,7.0,14.0,,563.2475123466053,,773.9356600130288,304.5926501435586,,4.0,,1.0,1934.0135924815083,,1212.915184144613,3.0,,1.0,,1.0,,,1427.7276972154248,,1138.3582904753653,,1831.8152791660325,,,,,1.0,1.0,1056.4755871010602,1583.9999592973877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758504,2.0,7.0,1.0,5.0,3.0,2.0,15.0,8.0,9.0,119.0,13.0,1649.7512792164507,1650.665950360359,1774.2366899331353,683.5240186173576,891.3029556865079,1696.0309883357447,816.7424614646358,804.30057711222,861.8537653489493,700.7108886656282,1041.0923805551029,2.0,,13.0,,1.0,,1.0,,2.0,,,1.0,9.0,1.0,7.0,1.0,,1.0,,1871.137969623172,,820.1903408832594,,1841.3319091907283,,1495.439398850082,,1597.4560169204312,,,1309.1298625622303,837.2502962912445,1521.994710064665,509.7230505266144,1953.767897759646,,1120.3586409823374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758502,5.0,6.0,2.0,28.0,2.0,8.0,13.0,9.0,6.0,18.0,70.0,1070.9534401426906,949.5585640617248,280.0031455116782,342.2104932203329,1108.573533957951,940.1392653730647,421.19564217263326,715.1375568109214,574.1937910064113,721.3834964996421,394.8546946750768,,,30.0,,,7.0,1.0,,2.0,,,1.0,12.0,1.0,2.0,1.0,,,2.0,,,396.3236846648385,,,542.1285820984764,1409.8348566583932,,623.2963805281198,,,1966.1752310945133,413.2866072319428,668.1960080653007,486.30172795649247,1287.6239419572787,,,1281.5018965998595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758484,,,,,1.0,,,,,,,,,,,564.0545538725427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758478,,2.0,,1.0,1.0,3.0,14.0,5.0,3.0,,1.0,,306.2857144730317,,480.9357662886574,1930.9140915812245,397.5587913712473,162.05588519669757,345.4999240733647,1317.1535876429864,,1799.5882014330782,,,7.0,,,,,,1.0,,,,3.0,,1.0,,,1.0,1.0,,,161.77990706847638,,,,,,369.8643624381533,,,,288.69739151228094,,1979.6171321896095,,,1110.3376487866783,1311.295528110658,,,,2.0,,,,,822.6087708640725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758477,49.0,38.0,1.0,19.0,9.0,8.0,242.0,4.0,4.0,380.0,546.0,400.85587018738687,400.9216246100452,1505.0612664258745,535.5784467123775,548.6566619908341,705.2112119004124,347.9081339368546,1573.7588755241811,707.0267423425591,348.4543086706132,116.45774642278346,114.0,1.0,414.0,16.0,5.0,9.0,3.0,13.0,12.0,9.0,,7.0,28.0,10.0,2.0,7.0,12.0,12.0,1.0,445.32536803899495,509.9395526547343,66.33517185805063,583.872303166034,930.8301109957542,467.1846397345521,592.5103341487811,587.9577108563981,804.1028430425789,1039.397415133405,,481.5175686313531,426.9592534500345,389.0233670953263,976.3757197708902,578.7635700187469,1155.976392570101,708.9265210378252,1717.2089002241291,15.0,4.0,14.0,5.0,,536.3726299616254,735.7963323338173,446.6538288289401,1816.9036218209812,,14.0,,3.0,506.3096298981308,,1243.652028718281,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1928.207085531068,1428.4559348058403,1289.2615107191698,1381.089157747625,665.1376247948368,1851.9444787537448,375.2318680092645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758471,55.0,50.0,3.0,22.0,11.0,10.0,267.0,6.0,5.0,386.0,701.0,104.82539723977392,245.04660554773716,1252.4695786450775,342.2754351145253,612.6538067011181,322.7815815177036,45.77194790040689,1183.8532591713931,965.4508264723376,342.3446176886723,30.87924545597982,152.0,1.0,498.0,23.0,6.0,12.0,3.0,14.0,14.0,11.0,,8.0,36.0,10.0,6.0,8.0,29.0,19.0,2.0,17.211137983831545,182.354317313877,49.65581865985763,149.90051550772029,846.1211211899291,458.6817823218192,790.2697341646759,92.47383629329954,347.1778965541335,359.1869582253163,,112.56260385316642,240.3914387898681,461.2567518547016,1244.943767339994,36.14317104296103,875.5661384166007,291.9088872384007,1794.4046949338967,17.0,5.0,17.0,2.0,,105.70318201108672,336.95200992986776,756.6816004651891,1906.759099074871,,24.0,,3.0,113.4209939521779,,733.230152680057,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1759.0198977355792,796.9317470550578,889.1897818993078,926.0329540418362,249.69952162811447,1180.9923254239463,586.3845830692334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758451,2.0,,1.0,3.0,2.0,1.0,7.0,5.0,2.0,,13.0,1212.841309260535,,1798.4672019548664,1383.9469580587745,1433.0259166831345,1380.6881391277504,1184.0630086463116,1215.2075020660575,1400.053851464315,,1167.805361444409,,,4.0,,,,,,1.0,,,,3.0,,1.0,,,4.0,3.0,,,1606.9368073999035,,,,,,1847.1911119442825,,,,1225.5401544300491,,1282.36888075302,,,1472.8560642611965,1973.3554808795789,2.0,,1.0,4.0,2.0,1602.2017825097269,,1908.2446823406751,1220.697226003281,1884.2921798690784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758434,,,,,2.0,,1.0,1.0,1.0,,,,,,,829.8144731243839,,1949.7547571888256,1062.0280206531309,908.9306587994026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758432,6.0,5.0,4.0,11.0,8.0,7.0,24.0,8.0,9.0,706.0,104.0,846.4730489608254,758.9803593997393,333.43372049841497,113.66107305929908,178.42568535498376,709.4819892600176,118.25259301993488,1037.4054962989103,190.27514988549407,238.8045718251745,319.6536838486789,5.0,1.0,65.0,2.0,1.0,2.0,1.0,,4.0,2.0,1.0,,14.0,2.0,8.0,1.0,1.0,2.0,3.0,740.7996998869078,1862.9942000029523,352.71130990270257,514.1541566946323,1833.765219214572,420.6648819575285,681.811700002449,,543.7839867317814,1010.1591743276186,1466.2305826811876,,510.2709147167948,584.3475420711127,340.4758993471077,1828.0053118644212,1640.8705335368466,993.9761928221484,602.1802266026356,1.0,,1.0,2.0,,1169.2140591806635,,541.5462926569696,777.0490897810668,,,,1.0,,,735.241944129228,,2.0,,,,,,,813.3040564215174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758422,1.0,1.0,,1.0,1.0,,11.0,4.0,2.0,68.0,3.0,1611.3599932480545,1606.8893359314836,,1653.26477722715,1962.538093090506,,296.5011514912037,1495.9452993147893,189.31194503384276,1016.1445384389854,1571.00317401971,,,4.0,,,,,,,,1.0,,3.0,,2.0,,3.0,,,,,1039.5282550759766,,,,,,,,1915.262516287461,,831.8272916989557,,617.0105750468383,,932.4515087903872,,,,,,1.0,,,,,2121.2798271844176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758420,1.0,4.0,1.0,4.0,6.0,6.0,6.0,4.0,4.0,3.0,13.0,1647.0484810989492,1417.4096394325209,545.25244973058,1488.3996068239703,758.8837781283777,263.1680405794609,1629.168925119242,1379.7022285535286,227.31396764204396,1989.6472752689947,1241.3198026098244,,,12.0,2.0,,,1.0,,2.0,,,,4.0,,5.0,,3.0,,1.0,,,601.844396771877,1452.308109329946,,,1772.4098498902556,,1698.5456769439454,,,,1595.1340863122684,,1210.662429488657,,1654.6461111172623,,1934.2448812336245,,,,,,,,,,,,1.0,,,751.7998214607928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758411,3.0,3.0,,,,,4.0,4.0,,,4.0,889.9879251219427,935.3168104073476,,,,,809.3126953124979,1089.0856091059875,,,765.3091502664139,,,4.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,753.1739081003967,,1002.82300546523,,895.1136884904909,,,,,,788.5741588821193,929.9413128144704,,,,,,,,,1.0,,,,,416.5447166445858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758398,,,2.0,,,,5.0,3.0,2.0,43.0,2.0,,,537.549087039897,,,,1391.5889392237464,1411.8810197094704,1373.8729777967098,1238.675771172973,1852.972393487421,,,,1.0,,,,,,,,,2.0,,3.0,,,,,,,,1325.9207546097505,,,,,,,,,1357.4381622155572,,1838.887616662986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758392,1.0,5.0,,8.0,6.0,4.0,14.0,3.0,13.0,547.0,28.0,867.8058061464322,717.8255216399292,,673.9654193612057,903.0661603396464,588.1684079083159,300.0394411917985,1305.9484129203065,770.0574603109294,849.7157520491969,636.181743002419,1.0,1.0,11.0,1.0,,1.0,1.0,,1.0,,,1.0,7.0,1.0,2.0,1.0,1.0,2.0,,780.0096702786714,973.1308026798,761.3696722588995,1206.8540642477278,,752.420606424771,1160.794701862602,,622.9059098027781,,,689.1158865075295,707.6801886235775,1461.330486675003,943.2856611777172,971.0521947877152,946.7489531790862,1388.8031807922675,,,,1.0,,,,,647.3454775810317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
