PropertyID,count_cafe,count_fast_food,count_parking_space,count_pharmacy,count_restaurant,count_social_facility,min_dist_cafe,min_dist_fast_food,min_dist_parking_space,min_dist_pharmacy,min_dist_restaurant,min_dist_social_facility,count_atm,count_bank,count_bar,count_car_rental,count_charging_station,count_cinema,count_clinic,count_college,count_community_centre,count_doctors,count_events_venue,count_fire_station,count_fuel,count_hospital,count_kindergarten,count_library,count_meeting_point,count_music_venue,count_nightclub,count_parcel_locker,count_police,count_social_centre,count_tool_library,count_university,count_veterinary,count_waste_transfer_station,min_dist_atm,min_dist_bank,min_dist_bar,min_dist_car_rental,min_dist_charging_station,min_dist_cinema,min_dist_clinic,min_dist_college,min_dist_community_centre,min_dist_doctors,min_dist_events_venue,min_dist_fire_station,min_dist_fuel,min_dist_hospital,min_dist_kindergarten,min_dist_library,min_dist_meeting_point,min_dist_music_venue,min_dist_nightclub,min_dist_parcel_locker,min_dist_police,min_dist_social_centre,min_dist_tool_library,min_dist_university,min_dist_veterinary,min_dist_waste_transfer_station,count_bus_station,count_food_court,count_taxi,count_theatre,min_dist_bus_station,min_dist_food_court,min_dist_taxi,min_dist_theatre,count_childcare,min_dist_childcare,count_nursing_home,min_dist_nursing_home,count_casino,count_prison,min_dist_casino,min_dist_prison,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_brothel,min_dist_brothel,count_conference_centre,count_events_centre,count_healthcare,count_internet_cafe,count_motorcycle_parking,count_waste_disposal,min_dist_conference_centre,min_dist_events_centre,min_dist_healthcare,min_dist_internet_cafe,min_dist_motorcycle_parking,min_dist_waste_disposal,count_biergarten,min_dist_biergarten,count_coworking_space,count_toy_library,min_dist_coworking_space,min_dist_toy_library,count_exhibition_centre,count_juice_bar,min_dist_exhibition_centre,min_dist_juice_bar,count_student_accommodation,min_dist_student_accommodation,count_restaurant;cafe,min_dist_restaurant;cafe,count_bus_station;shelter,min_dist_bus_station;shelter,count_courier,min_dist_courier,count_private parking_space,min_dist_private parking_space,count_retail,min_dist_retail
17748187,4.0,3.0,,1.0,3.0,,281.3722607283522,1534.1977934329288,,1533.3328541010292,263.1547609966521,,,,,,,,,,,3.0,,,2.0,,3.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,424.58214411039404,,,362.8960057413101,,780.2762999817108,309.6280317811728,,,,,,,,1972.8938463164263,1554.5170744242298,,1.0,,,,913.0863955529574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748182,1.0,9.0,,2.0,1.0,,1659.9326481531423,1198.7054078078438,,1275.442603180095,1708.5934664362364,,1.0,,,1.0,,,1.0,,1.0,,,,5.0,,4.0,1.0,,,,,,,,,,,1846.7612842732394,,,1794.8790801941163,,,1283.059424588238,,1784.3519931162916,,,,843.0450915120571,,521.5495067537826,1756.9782519346666,,,,,,,,,,,,,,1.0,,,,1772.6248899224772,2.0,1355.6903819945408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748168,16.0,13.0,165.0,2.0,19.0,2.0,393.4179634983156,228.99935082187028,827.9973916217591,832.4845519385111,414.4636873435541,635.7799765744721,,5.0,,,4.0,,6.0,,1.0,1.0,,1.0,6.0,4.0,,1.0,,,1.0,2.0,1.0,,,,,,,951.6912573908793,,,630.4622184693645,,211.80704353457617,,1979.749381010179,1485.6441878796477,,163.072980093302,262.4379926843269,166.84182337835975,,1431.2770715026982,,,1319.7507427239536,383.81743067872924,1538.6908021423321,,,,,,,,,1.0,,,,325.45412148806275,2.0,981.0155400565841,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1271.3062930895103,,,,,,,,,,,,,,,,
17748162,5.0,14.0,2.0,1.0,5.0,3.0,989.2633286197572,579.6900592976809,1222.753522822084,1060.0745809638738,586.9600917620764,902.156820917386,2.0,2.0,,,,,,,4.0,5.0,,1.0,2.0,,5.0,1.0,,,,,1.0,,,,2.0,,1031.5678509224301,1032.5636544034228,,,,,,,437.68582746556996,533.2059688583232,,1461.99875111509,567.3843597210044,,523.458951985511,1203.7599948562379,,,,,615.6841977475733,,,,1277.4600959245752,,,,1.0,,,,1103.1479261345048,,3.0,1036.6582755880231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748157,54.0,37.0,138.0,14.0,87.0,6.0,340.00634433163395,345.55457934668885,1055.2645845227655,326.523541861408,324.6647768588235,1070.0478811862881,3.0,14.0,20.0,,2.0,3.0,6.0,,1.0,6.0,,1.0,7.0,3.0,2.0,4.0,,,2.0,,1.0,1.0,,1.0,1.0,,1195.1053511242403,985.2220740847612,635.2682800464422,,1150.412122104569,1157.3783667603645,304.9734060213354,,1805.7258613968008,317.1007252611602,,1319.5325114357427,322.50853639678223,535.2613455929228,459.12947591188095,1009.3161909495462,,,1037.3161609427236,,523.6498955963754,1960.1653270172094,,1120.8752329495594,1176.9180834263839,,,,1.0,3.0,,,1040.3195556994267,828.3702227109906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748151,3.0,9.0,78.0,1.0,2.0,,931.090878703362,1555.2214574660015,1041.437514319045,1883.2511259482355,1789.7943974901066,,2.0,,,,,,1.0,,1.0,2.0,,,3.0,,4.0,,,,,,,,,1.0,,,1879.4583488618794,,,,,,1767.4294280719241,,1822.7272372699174,885.8115704474646,,,1626.66319772508,,996.9194059120473,,,,,,,,,1917.091879612375,,,,,,,,,,,,,1.0,1476.5446689179014,,,,,,,,,,,,,1.0,,,,,,1907.3648997664106,,,,,,,,,,,,,,,,,,,,,,,
17748150,10.0,8.0,31.0,5.0,6.0,1.0,487.1462175138127,434.4378983479292,425.83781318752045,440.6582026422431,1050.0977476751784,2039.190767190364,1.0,2.0,,2.0,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,4.0,,9.0,1.0,,,,,1.0,,,,2.0,,1657.610106173857,1432.1181829590887,,1463.2235348232277,1653.3176584139487,1729.0571403706115,1760.0761400851288,1503.845886584755,857.2351738228938,,1446.9768411848197,1939.8004457103466,1733.5419511850025,,348.4524978679983,1490.0464665671882,,,,,1500.4018684536618,,,,807.0872708446873,,,,1.0,,,,1796.1109887933335,,1.0,1469.3890980868125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748137,24.0,23.0,109.0,5.0,37.0,4.0,855.67880772505,638.3183803214896,969.6935425608472,757.3817386345944,675.3006179485665,684.3976333597266,7.0,6.0,1.0,,1.0,,8.0,4.0,6.0,3.0,1.0,1.0,4.0,2.0,4.0,1.0,,,,,1.0,,,,2.0,,1238.4067485310568,1186.6041871829889,1930.8111497931293,,1333.9791958850253,,654.129188418873,1077.6894223535746,439.5010289168678,889.6450637275304,1767.6649709654582,1378.4374243459415,672.5038427076569,796.3956107534652,1382.7247220033717,1348.8279023225878,,,,,1198.6573520418287,,,,626.321908531931,,1.0,1.0,1.0,,1342.796864211868,1321.0903791251558,1401.8023032653807,,7.0,416.0627673043602,,,,,,,,,,,,,,,,17.0,,,,,,1476.887336880738,,,,,,,,,,,,,,,,,,,,,,
17748128,552.0,264.0,421.0,43.0,755.0,8.0,13.453426908168185,171.53005509017515,383.13318372295595,102.76377963984744,76.0697509864278,957.3482678815338,67.0,49.0,166.0,17.0,24.0,7.0,27.0,12.0,12.0,16.0,62.0,4.0,6.0,14.0,11.0,18.0,,,10.0,9.0,11.0,,,20.0,1.0,,326.9815693749614,180.91681477096103,95.32250061847265,192.75408554086167,407.4573800970109,338.5723393221456,436.7823415764189,400.4396698487861,480.1453252957436,621.4007841440338,47.56325935442226,772.3549979914668,1279.5182592271287,1212.3676521245611,735.8289166068702,368.9130057075273,,,505.22246151471614,384.21547360051176,284.5352756341371,,,64.05994935117198,1353.3139298934025,,1.0,15.0,8.0,39.0,884.1836639453927,208.09366429497635,475.5778909550628,484.8118511289631,2.0,1106.4032824072194,,,3.0,2.0,1366.128092263321,849.5173244856426,,,1.0,887.3869295962405,1.0,,,2.0,26.0,4.0,1711.0327048561269,,,669.4945199644254,133.70939262886165,389.7609871876247,,,4.0,,503.7569277605236,,1.0,1.0,1708.4043929390202,1163.5555274662495,7.0,1690.1267506750899,,,,,,,,,,
17748123,565.0,279.0,436.0,45.0,810.0,11.0,66.87779934163555,79.02871663016597,608.8563912396986,94.2648113854642,21.876231170807152,700.7373052925634,66.0,47.0,202.0,10.0,19.0,7.0,30.0,11.0,14.0,16.0,60.0,3.0,7.0,18.0,13.0,21.0,,,14.0,5.0,11.0,,,20.0,2.0,,60.353391683527796,247.14406593431843,50.554097077266015,432.19432462668686,39.27660621028085,354.41161584373265,339.339812262789,314.06427225473317,813.5645061663439,106.60508799867527,665.3456765252539,543.1921301882999,1315.6822234569952,576.9111488567639,454.58494063706786,320.56160162385146,,,142.86485110751548,362.8871434359356,151.59165968547785,,,60.772207767391954,1630.3974769968484,,1.0,14.0,10.0,39.0,1671.1008346658314,290.7661317625743,780.1733588884902,125.63846212185648,3.0,645.7604518025503,,,2.0,2.0,1787.49091985154,1690.8787656977315,,,2.0,806.6746698931065,1.0,1.0,,3.0,24.0,3.0,1590.6310656559103,1882.5306408084432,,1016.5199496168425,29.91831325965746,561.0822573790056,,,2.0,,357.8166792195701,,,1.0,,1185.992078519716,7.0,1561.503585730661,,,,,,,,,,
17748109,,,,,1.0,,,,,,1015.9062097243434,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1973.7260450409563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748098,1.0,2.0,,1.0,2.0,1.0,1244.4096810018534,709.4211455459101,,1221.077912799203,649.7188516994522,1037.895133482588,,,,,,,1.0,,1.0,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,1297.2922404415317,,662.3489467545693,,,,671.2472459334476,,70.02073437574039,,,,,,,,,,,,,,,1.0,,,,578.0170702353971,2.0,1295.6524206696286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748074,468.0,232.0,224.0,35.0,634.0,6.0,118.1101623313848,219.63931736618483,579.9438237384031,448.6458674905576,162.35705626799134,624.7954666221576,44.0,52.0,145.0,15.0,19.0,5.0,11.0,9.0,8.0,10.0,11.0,2.0,8.0,1.0,5.0,13.0,,,11.0,6.0,10.0,2.0,,17.0,2.0,,404.511819579947,618.0685071327084,276.64071042890976,379.2221076345146,663.0781345954366,422.54186931379394,779.9284510505689,195.7027156324161,99.83328600310607,986.1392560997392,684.7648566169844,236.17595783182406,367.0978265589858,2060.133643965555,729.0192359317622,89.18631718612053,,,442.2499286912863,1109.2258807247122,322.4606261251566,1417.7681954558298,,573.286737511383,1083.4549451697587,,1.0,13.0,10.0,29.0,1370.5598112408072,504.464684445849,526.5225317012942,421.6526663701004,7.0,1184.4735960047071,,,3.0,2.0,344.80794697107115,1769.2787991739367,,,3.0,1023.1354118440412,2.0,,,1.0,24.0,2.0,859.4618277309744,,,1358.0135391162326,887.2535254701967,682.9378611407191,,,4.0,1.0,387.09689464811584,1215.2749300057842,1.0,1.0,733.6128349417825,735.0721616528103,,,,,,,,,,,,
17748058,11.0,7.0,3.0,4.0,3.0,1.0,965.0785525981274,1044.1676385308515,728.8451057863098,992.0582847321857,889.4942956560143,1745.0137105109795,,1.0,,1.0,1.0,,1.0,,2.0,,,1.0,5.0,,8.0,,,,,,,,,,1.0,,,1611.201287391815,,1221.063186098765,1866.1523405142896,,1897.1693564947043,,1089.1084185059806,,,1870.0575917903764,1541.0414552493871,,1045.2250762153378,,,,,,,,,,1402.1234410736,,,,,,,,,,1.0,1604.7401839854692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
