PropertyID,count_atm,count_bank,count_bar,count_bus_station,count_cafe,count_car_rental,count_casino,count_charging_station,count_childcare,count_cinema,count_clinic,count_college,count_community_centre,count_conference_centre,count_coworking_space,count_doctors,count_events_venue,count_exhibition_centre,count_fast_food,count_fire_station,count_food_court,count_fuel,count_internet_cafe,count_kindergarten,count_library,count_motorcycle_parking,count_nightclub,count_parcel_locker,count_parking_space,count_pharmacy,count_police,count_prison,count_restaurant,count_social_facility,count_taxi,count_theatre,count_university,count_veterinary,count_waste_disposal,min_dist_atm,min_dist_bank,min_dist_bar,min_dist_bus_station,min_dist_cafe,min_dist_car_rental,min_dist_casino,min_dist_charging_station,min_dist_childcare,min_dist_cinema,min_dist_clinic,min_dist_college,min_dist_community_centre,min_dist_conference_centre,min_dist_coworking_space,min_dist_doctors,min_dist_events_venue,min_dist_exhibition_centre,min_dist_fast_food,min_dist_fire_station,min_dist_food_court,min_dist_fuel,min_dist_internet_cafe,min_dist_kindergarten,min_dist_library,min_dist_motorcycle_parking,min_dist_nightclub,min_dist_parcel_locker,min_dist_parking_space,min_dist_pharmacy,min_dist_police,min_dist_prison,min_dist_restaurant,min_dist_social_facility,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_veterinary,min_dist_waste_disposal,count_hospital,count_meeting_point,count_nursing_home,count_social_centre,count_tool_library,count_waste_transfer_station,min_dist_hospital,min_dist_meeting_point,min_dist_nursing_home,min_dist_social_centre,min_dist_tool_library,min_dist_waste_transfer_station,count_biergarten,count_music_venue,min_dist_biergarten,min_dist_music_venue,count_restaurant;cafe,min_dist_restaurant;cafe,count_private parking_space,min_dist_private parking_space,count_brothel,count_juice_bar,min_dist_brothel,min_dist_juice_bar,count_toy_library,min_dist_toy_library,count_student_accommodation,min_dist_student_accommodation,count_courier,count_events_centre,count_healthcare,min_dist_courier,min_dist_events_centre,min_dist_healthcare,count_car_wash;cafe,min_dist_car_wash;cafe,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_retail,min_dist_retail,count_diused:fuel,min_dist_diused:fuel,count_bus_station;shelter,min_dist_bus_station;shelter,count_restaurant; cafe,min_dist_restaurant; cafe
17750708,1.0,3.0,,,6.0,,,2.0,3.0,2.0,,,4.0,,,1.0,,,22.0,,1.0,7.0,,,,,,1.0,,4.0,,,6.0,4.0,,,1.0,3.0,,862.8883728410276,1601.0779287884798,,,786.0386571245166,,,1751.1723933064486,591.804241782139,1937.6388197275107,,,1461.6520314279321,,,1910.6268237603274,,,834.7414048599155,,1682.159846969144,1118.9547854910325,,,,,,1497.4762035749072,,823.5466684675416,,,840.9739149370583,1505.3496771743244,,,1577.6204543708834,1398.8917557028028,,5.0,,1.0,,,,1112.1338134946473,,1146.6486212721488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750706,63.0,49.0,149.0,1.0,502.0,16.0,3.0,24.0,4.0,7.0,26.0,12.0,10.0,1.0,3.0,12.0,59.0,1.0,266.0,3.0,15.0,4.0,1.0,7.0,17.0,26.0,10.0,9.0,394.0,36.0,9.0,2.0,719.0,5.0,8.0,25.0,16.0,2.0,4.0,495.0335466680962,348.2397485324841,437.3708674579867,594.6557320952039,241.88923030931815,460.73462264685764,1519.612057168514,107.82677018907656,1759.0338427863153,1057.716520240668,587.3791138114975,297.2798786736866,645.4948266125303,1604.5005852743489,1000.5239039479981,276.29997130171824,596.2384043399336,1658.4376833536867,449.0185312090966,52.99529412777694,684.1300142891333,1233.72228089967,534.1115439041187,1150.3319291983667,707.3687642163663,631.1964812796273,1024.7821006985255,658.9229069345524,451.3789069742797,404.7639814732603,291.2011080994271,216.41501299524205,229.26666564367662,502.9180726757417,635.2121115941196,731.1248545352219,530.6639889877925,1213.4044277274702,663.2797294166795,9.0,,,,,,1259.1737246158773,,,,,,,,,,,,,,1.0,1.0,1342.3694697240264,1675.850214668854,,,4.0,1898.441813442196,,,,,,,,,,,,,,,,,,
17750705,,1.0,,,,,,1.0,,,,,,,,1.0,,,5.0,1.0,,2.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,1655.6115714410544,,,,,,1698.6445438510427,,,,,,,,1430.6079871642448,,,1445.5273512079805,1359.6346148459793,,1372.4760499039226,,1376.017513064999,1716.9419187207493,,,,,1626.096011456203,,,1480.3350814145565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750701,1.0,,,,5.0,,,,,,4.0,,,,,1.0,,,13.0,2.0,,3.0,,2.0,1.0,,,,60.0,3.0,1.0,,7.0,1.0,,,,,,738.6683291678546,,,,749.8567020171242,,,,,,734.8750684492483,,,,,1632.63125676249,,,746.794534059005,928.179077366605,,635.2607340292121,,750.9252683764447,1512.3284625515944,,,,957.2456241476835,733.2148590712007,1356.0704691210994,,758.688060056652,963.7068426014072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750684,,,,,2.0,,,1.0,,,,,,1.0,,,1.0,,2.0,,,1.0,,1.0,1.0,,,,13.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,1555.5727310555646,,,1752.3523132575344,,,,,,1806.311605765869,,,1982.0900897946515,,1920.8316399594328,,,1839.1196876643473,,1278.2382154764402,1934.4317807126265,,,,1559.7386551011502,,1927.3025463432225,,1886.2114248269904,1728.1073421368862,,1832.2854242227872,1863.7410922284864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750680,2.0,3.0,,,12.0,,,,3.0,,7.0,,2.0,,,2.0,,,16.0,,,8.0,,12.0,,,,1.0,557.0,4.0,1.0,,20.0,3.0,,,,2.0,4.0,999.1152594207437,993.9351357731388,,,858.4816880738114,,,,1582.7148862510012,,1055.4346147316746,,1682.193938308694,,,1434.4098024540606,,,805.8843048988819,,,789.7474882033285,,520.8754307128212,,,,1178.8236235717127,835.851903467684,1115.3920022162113,1681.1044757469563,,996.8073013387301,783.0265378582287,,,,1431.3460060055847,1595.140164168678,1.0,,,,,,1272.7279556178466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750678,4.0,16.0,27.0,,83.0,6.0,,4.0,,2.0,7.0,1.0,,,,5.0,1.0,,50.0,1.0,,8.0,,5.0,5.0,,2.0,,109.0,16.0,1.0,,114.0,3.0,2.0,3.0,2.0,1.0,,816.6822661120632,533.0776727534659,861.6709917738158,,309.78953795282797,1174.021246660095,,480.8914605146681,,425.5077152143007,1262.9663897057603,1268.6717000324143,,,,657.1793471131272,1592.2989402490275,,641.9215087657303,896.1717420755972,,396.9584436745085,,1407.5425971907703,427.4208091837992,,540.9601844560501,,1086.992601998313,365.9066747142724,1261.6032388312383,,380.20776813386595,1270.9452320296157,1223.7431598373742,913.7172566091134,1921.5047410692382,524.1417325826485,,1.0,,,,,,1894.6826761473917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750675,2.0,3.0,,,22.0,,,,2.0,,6.0,,1.0,,,5.0,,,21.0,,,5.0,,8.0,,,,1.0,286.0,5.0,1.0,,44.0,4.0,,,,1.0,3.0,855.7926172329655,818.8879766086062,,,844.8101157009312,,,,468.43308771188265,,478.9110219234218,,1997.1086566785439,,,806.5449105875028,,,416.27120457637477,,,466.5036740167678,,481.1024462484605,,,,914.0228432720587,401.37849206432514,879.8724755823674,525.6997582268608,,405.8446144275119,720.3188222768636,,,,439.9105477175183,430.7004986032481,1.0,,,,,,1036.1144778992636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750665,1.0,,,,,,,,1.0,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1334.3083621298322,,,,,,,,2009.6711051239593,,,,640.7945502432686,,,,,,1332.0488927045826,,,1331.1352262323574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17750657,1.0,7.0,1.0,,15.0,1.0,,2.0,3.0,,4.0,,5.0,,,1.0,,,8.0,1.0,,4.0,,2.0,1.0,,,1.0,108.0,3.0,,,39.0,2.0,,,,1.0,,322.5077293956103,336.4238314600927,407.6509376549103,,303.78977344456723,1886.3233420835104,,1045.9553490239755,1628.4690889274475,,261.9886164846838,,232.9251904256482,,,1886.8363108854837,,,252.22914251933543,1527.5754722961542,,599.996428241965,,876.9725988998325,1948.9815305316768,,,1496.085691927229,483.29886425708645,257.4599400963552,,,307.6289960418082,1695.5822225209483,,,,1008.4832689718279,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1226.6335725137897,,,,,,,,,,,,,,,,,,,,
