property_id,count_childcare,count_community_centre,count_fast_food,count_fire_station,count_pharmacy,min_dist_childcare,min_dist_community_centre,min_dist_fast_food,min_dist_fire_station,min_dist_pharmacy,count_fuel,count_kindergarten,count_parking_space,min_dist_fuel,min_dist_kindergarten,min_dist_parking_space,count_cafe,count_charging_station,count_clinic,min_dist_cafe,min_dist_charging_station,min_dist_clinic,count_police,count_theatre,min_dist_police,min_dist_theatre,count_bank,min_dist_bank,count_atm,count_car_rental,count_cinema,count_college,count_events_venue,count_library,count_restaurant,count_social_facility,count_taxi,count_veterinary,min_dist_atm,min_dist_car_rental,min_dist_cinema,min_dist_college,min_dist_events_venue,min_dist_library,min_dist_restaurant,min_dist_social_facility,min_dist_taxi,min_dist_veterinary,count_doctors,min_dist_doctors,count_bar,count_social_centre,count_toy_library,count_university,min_dist_bar,min_dist_social_centre,min_dist_toy_library,min_dist_university,count_brothel,count_hospital,count_nightclub,min_dist_brothel,min_dist_hospital,min_dist_nightclub,count_coworking_space,min_dist_coworking_space,count_exhibition_centre,min_dist_exhibition_centre,count_parcel_locker,min_dist_parcel_locker,count_bus_station,min_dist_bus_station,count_former_hospital,count_motorcycle_parking,count_waste_disposal,min_dist_former_hospital,min_dist_motorcycle_parking,min_dist_waste_disposal,count_waste_transfer_station,min_dist_waste_transfer_station,count_internet_cafe,min_dist_internet_cafe,count_food_court,min_dist_food_court,count_nursing_home,min_dist_nursing_home,count_biergarten,min_dist_biergarten,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_prison,min_dist_prison,count_meeting_point,count_music_venue,count_student_accommodation,count_tool_library,min_dist_meeting_point,min_dist_music_venue,min_dist_student_accommodation,min_dist_tool_library,count_retail,min_dist_retail,count_casino,count_juice_bar,min_dist_casino,min_dist_juice_bar,count_conference_centre,count_events_centre,min_dist_conference_centre,min_dist_events_centre,count_restaurant; cafe,min_dist_restaurant; cafe,count_courier,count_healthcare,min_dist_courier,min_dist_healthcare,count_private parking_space,min_dist_private parking_space,count_cafe;deli,min_dist_cafe;deli,count_car_wash;cafe,min_dist_car_wash;cafe,count_diused:fuel,min_dist_diused:fuel,count_restaurant;cafe,min_dist_restaurant;cafe,count_bus_station;shelter,min_dist_bus_station;shelter,count_cafe;bar,min_dist_cafe;bar
17278929.0,,,11.0,,1.0,,,1093.6409377849864,,1130.5879497309982,4.0,4.0,19.0,1202.2370440633526,1122.575491187436,849.3069414185516,1.0,,4.0,1851.2160021822503,,886.116880649304,1.0,,1278.331017622519,,,,2.0,,,,,2.0,6.0,,,2.0,1065.7605110901702,,,,,1017.1099428087828,1121.30689894461,,,1042.6210402008896,,,1.0,,,,1987.618736897374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15948669.0,2.0,4.0,16.0,1.0,6.0,612.6618756421567,107.3344630886658,761.8207058364741,1021.6807354338076,84.78151704870733,8.0,6.0,118.0,595.3396176805313,391.16173800767257,757.6693328383803,2.0,2.0,16.0,772.3519096928463,1441.3001306450708,500.56877407081146,,,,,,,1.0,2.0,,2.0,,,12.0,9.0,,,142.0027952518123,1107.8390133544915,,598.9518156984931,,,615.3206685782908,550.8472565286557,,,4.0,1246.5043318990172,,,,,,,,,,2.0,,,1438.9048946367477,,,,,,,,,,,,1.0,,,1509.2478699689132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16868675.0,2.0,2.0,9.0,,4.0,1174.8493013880704,1312.9328606779588,443.5620315309615,,493.2569539001855,4.0,3.0,109.0,1621.8398083931806,250.6824168807284,430.5628533319059,1.0,2.0,5.0,1928.958898184244,1753.2164751070236,290.2236900325358,,,,,,,1.0,,,1.0,,,6.0,4.0,,,1383.3050362104354,,,1903.2476028268356,,,505.499763169736,1617.2074119711306,,,2.0,721.4942255359902,,,,,,,,,,3.0,,,1919.951579886124,,,,,,,,,,,,1.0,,,1757.0320392310357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13468495.0,2.0,4.0,13.0,1.0,4.0,1428.3601966239428,1117.9353063687793,623.592130749397,1930.5505012257408,627.1547388278678,4.0,3.0,113.0,1587.9580214697012,834.8675203648527,632.2311609379722,1.0,,9.0,1755.4212073016104,,864.1194783038472,,1.0,,1953.384938385957,,,1.0,2.0,,1.0,,,6.0,5.0,,,1238.4676729347766,1669.9642744534003,,1414.074265717316,,,615.6156368253139,682.2447660292138,,,5.0,1348.3089277578213,,,,,,,,,,2.0,,,1654.179655645857,,,,,,,,,,,,1.0,,,680.7632620531163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16898773.0,1.0,2.0,8.0,,2.0,1556.801446815758,1249.943168072089,871.6334039420836,,874.3659414341853,4.0,2.0,101.0,851.7357501213087,1555.1967460982048,847.4370705037203,1.0,1.0,4.0,1265.516385382259,1398.775795031618,841.7780839676989,,1.0,,1095.8615521971346,,,,,,,,,3.0,3.0,,1.0,,,,,,,874.1829231543056,1048.487166966983,,1613.3595496287523,3.0,742.773113013865,,,,1.0,,,,2041.3465199462885,,3.0,,,1251.5201747354286,,,,,,,,,,,,1.0,,,1068.131687405041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15913619.0,2.0,4.0,16.0,1.0,4.0,768.507566284069,347.0792349633383,992.8663292922952,1232.2574838765695,354.2433847053579,8.0,4.0,118.0,854.9301666342567,452.57572869464855,915.9279594247316,1.0,2.0,13.0,1004.0252699489578,1608.7707541779607,709.1101602779545,,,,,,,1.0,2.0,,2.0,,,10.0,5.0,,,404.0129264759894,1305.7863538750587,,753.3490387929912,,,772.4274849776474,807.471467160537,,,4.0,1219.8368484381351,,,,,,,,,,2.0,,,1445.6635741493485,,,,,,,,,,,,1.0,,,1283.6945050146585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15950051.0,,,7.0,,,,,669.9896728691399,,,4.0,2.0,13.0,461.0108122010578,546.6564999171816,911.5495691646108,2.0,,4.0,947.575464877641,,667.3696970587671,1.0,,553.4209862825776,,,,2.0,,,,,1.0,3.0,,,1.0,714.143249222861,,,,,814.1740300779753,665.8741045183987,,,870.169885184729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15953856.0,2.0,4.0,18.0,1.0,4.0,643.0506942292387,507.5239533541328,942.8427848359304,1140.807934562391,476.4952237863225,8.0,4.0,118.0,981.9187616952996,700.9633068658641,656.5079712921714,1.0,2.0,13.0,954.4123849756592,1831.2880545620628,650.4023458673703,,,,,,,1.0,2.0,,2.0,,,10.0,4.0,,,539.9718771642448,1195.421156304573,,628.0631497328319,,,647.8383471836887,941.7222895354864,,,3.0,1369.4733494962957,,,,,,,,,,2.0,,,1195.7816498410273,,,,,,,,,,,,1.0,,,1114.735994010567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15954924.0,1.0,,7.0,,2.0,1149.3516610248864,,1607.0572106045463,,1646.4862688867308,4.0,2.0,90.0,1459.145287297545,1144.6899173728243,1447.9600925857724,2.0,1.0,4.0,418.902247367261,1598.9583597074754,534.3503397245071,,1.0,,1685.8590362667524,,,,,,,,,3.0,3.0,,1.0,,,,,,,1576.6972282669333,276.7999646499699,,1890.448675037245,3.0,473.5257969353957,,,,1.0,,,,1721.5327535170782,,3.0,,,405.0020762265967,,,,,,,,,,,,1.0,,,1933.8504028796613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17407113.0,,,8.0,,1.0,,,802.4823744829152,,1664.7301381254224,4.0,4.0,12.0,642.4020650839119,1124.5570443748773,190.22529507977848,,,4.0,,,200.595256325947,1.0,,1085.2608749177266,,,,2.0,,,,,1.0,3.0,,,2.0,941.4651396697724,,,,,1028.1564808963076,942.2493544304712,,,692.5477931045673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15952272.0,,,9.0,,1.0,,,808.2064441650039,,1227.0804922537689,4.0,4.0,13.0,751.6633962758912,870.8790650469026,385.0388958861127,,,4.0,,,397.333756716597,1.0,,1081.9930573920792,,,,2.0,,,,,1.0,5.0,1.0,,2.0,866.5676993755521,,,,,901.611180797569,925.6921125832536,2170.492227837282,,711.4972351980188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16892283.0,1.0,2.0,6.0,,2.0,831.823177013983,1746.86748439696,798.9579046634516,,806.291564150184,3.0,3.0,101.0,1613.6949129371374,1052.5744073077535,784.9622327100639,1.0,,3.0,980.6780483378744,,862.4446569630486,,1.0,,1868.4472115463616,,,,,,,,,4.0,3.0,,,,,,,,,802.2528912865466,841.3396401546853,,,4.0,348.69879248272025,,,,,,,,,,3.0,,,968.674926870716,,,,,,,,,,,,1.0,,,1399.295670986796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15952315.0,1.0,,16.0,,1.0,1959.7082191864436,,963.7453024315216,,1228.2170402746256,8.0,4.0,30.0,1408.4367650804804,1296.7761804021934,722.5796597876588,1.0,,4.0,1537.0730061760885,,1075.881550883396,1.0,,1479.8905063176944,,,,2.0,,,,,2.0,8.0,,,2.0,1286.59720886818,,,,,1220.2899755392189,921.0427807426414,,,1296.7117667528742,,,1.0,,,,1692.9233950383193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16128815.0,1.0,1.0,4.0,,1.0,569.5579632162587,1481.9743098057947,1163.3671980056197,,1535.8851232003324,2.0,2.0,82.0,1827.1976240479764,1691.8440195705855,832.9357298732847,2.0,,3.0,355.94521431492615,,1167.6535770939258,,,,,,,,,,,,,3.0,1.0,,,,,,,,,1137.4343226724054,408.7948701612122,,,2.0,643.7648401372898,,,,,,,,,,3.0,,,348.43876868315925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16560240.0,1.0,1.0,4.0,,1.0,492.31069888735584,1643.4894992038016,1006.2007725704008,,1303.9629811712412,,2.0,82.0,,1473.7235670063187,791.6680498120922,2.0,,3.0,481.1376954741668,,1012.8990684178234,,,,,,,,,,,,,2.0,3.0,,,,,,,,,977.7855136585924,439.6188939266615,,,2.0,447.2043029838586,,,,,,,,,,3.0,,,472.1516850196951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16560275.0,1.0,1.0,4.0,,1.0,614.8275691254762,1655.6657908726293,1150.3972032670963,,1431.0800174253925,3.0,2.0,85.0,1979.912555336976,1610.487574710353,906.0309568471796,2.0,,3.0,336.2038105123267,,1081.823748137326,,,,,,,,,,,,,2.0,3.0,,,,,,,,,1122.1593977769592,306.1203412445609,,,2.0,467.4885282481748,,,,,,,,,,3.0,,,327.20772153913094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
