property_id,count_childcare,count_community_centre,count_fast_food,count_fire_station,count_pharmacy,min_dist_childcare,min_dist_community_centre,min_dist_fast_food,min_dist_fire_station,min_dist_pharmacy,count_fuel,count_kindergarten,count_parking_space,min_dist_fuel,min_dist_kindergarten,min_dist_parking_space,count_cafe,count_charging_station,count_clinic,min_dist_cafe,min_dist_charging_station,min_dist_clinic,count_police,count_theatre,min_dist_police,min_dist_theatre,count_bank,min_dist_bank,count_atm,count_car_rental,count_cinema,count_college,count_events_venue,count_library,count_restaurant,count_social_facility,count_taxi,count_veterinary,min_dist_atm,min_dist_car_rental,min_dist_cinema,min_dist_college,min_dist_events_venue,min_dist_library,min_dist_restaurant,min_dist_social_facility,min_dist_taxi,min_dist_veterinary,count_doctors,min_dist_doctors,count_bar,count_social_centre,count_toy_library,count_university,min_dist_bar,min_dist_social_centre,min_dist_toy_library,min_dist_university,count_brothel,count_hospital,count_nightclub,min_dist_brothel,min_dist_hospital,min_dist_nightclub,count_coworking_space,min_dist_coworking_space,count_exhibition_centre,min_dist_exhibition_centre,count_parcel_locker,min_dist_parcel_locker,count_bus_station,min_dist_bus_station,count_former_hospital,count_motorcycle_parking,count_waste_disposal,min_dist_former_hospital,min_dist_motorcycle_parking,min_dist_waste_disposal,count_waste_transfer_station,min_dist_waste_transfer_station,count_internet_cafe,min_dist_internet_cafe,count_food_court,min_dist_food_court,count_nursing_home,min_dist_nursing_home,count_biergarten,min_dist_biergarten,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_prison,min_dist_prison,count_meeting_point,count_music_venue,count_student_accommodation,count_tool_library,min_dist_meeting_point,min_dist_music_venue,min_dist_student_accommodation,min_dist_tool_library,count_retail,min_dist_retail,count_casino,count_juice_bar,min_dist_casino,min_dist_juice_bar,count_conference_centre,count_events_centre,min_dist_conference_centre,min_dist_events_centre,count_restaurant; cafe,min_dist_restaurant; cafe,count_courier,count_healthcare,min_dist_courier,min_dist_healthcare,count_private parking_space,min_dist_private parking_space,count_cafe;deli,min_dist_cafe;deli,count_car_wash;cafe,min_dist_car_wash;cafe,count_diused:fuel,min_dist_diused:fuel,count_restaurant;cafe,min_dist_restaurant;cafe,count_bus_station;shelter,min_dist_bus_station;shelter,count_cafe;bar,min_dist_cafe;bar
16832407.0,3.0,6.0,24.0,1.0,15.0,1312.1927361066907,814.3765721043997,799.5602775182401,1544.49770183556,793.9548400333989,5.0,9.0,412.0,1114.9266278449948,600.5009086307924,556.8047799259618,46.0,1.0,8.0,545.5447073516206,1440.0515759387156,786.6085904182792,1.0,,596.3474534403668,,6.0,1356.2654788021594,3.0,1.0,,2.0,1.0,3.0,80.0,7.0,1.0,2.0,1688.6364065011458,1490.0244402620826,,557.1616364996963,1298.2697308033394,124.97508569612512,171.7501231179833,575.4194664606961,1403.2249558479862,936.6763908598354,8.0,1497.07656270633,3.0,,,2.0,1426.1925729976565,,,1891.9018798667405,,2.0,1.0,,883.7029712187211,1991.723179306836,,,,,,,,,,,1.0,,,1709.0445886161692,,,,,,,1.0,1412.1600097339428,,,,,,,,,,,,,,,,,2.0,,1285.315209310041,,,,,,,,,,,,,,,,,,,,,,,,,
17742045.0,,3.0,12.0,1.0,7.0,,747.1003227298216,328.47790781997463,2072.170491797254,356.1882720636384,5.0,8.0,100.0,343.24668296037635,507.542665402549,437.70472629249616,16.0,,2.0,901.28415397301,,1896.55604629242,1.0,,1485.7168730853884,,2.0,1802.5190274966571,1.0,1.0,,1.0,,1.0,15.0,2.0,2.0,1.0,1813.3491343270716,1486.1005463141437,,1585.023672303255,,1434.3362350948328,353.0448068251409,1358.4601855442222,1143.9394685368748,1322.0293336056088,3.0,1318.674522949933,,,,,,,,,,,,,,,,,,,,,1.0,1983.3740030337196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15384482.0,1.0,4.0,12.0,1.0,9.0,1520.581963850974,1047.5795054780424,1136.077011143108,1634.035543419605,1251.750127071734,5.0,9.0,413.0,833.5103383280009,195.6739607046325,773.5535662192838,29.0,1.0,7.0,177.0154344433961,1730.463664184089,950.7337205200816,1.0,,1006.0201836074206,,3.0,1441.5019764600738,1.0,1.0,,2.0,1.0,2.0,49.0,7.0,1.0,2.0,1467.8572868858494,1350.1146022084197,,926.2228254101168,1648.824556062365,335.3633568351851,283.5085435076708,393.98517864045454,1377.8669800348384,803.436947643095,4.0,1289.1193721347472,2.0,,,1.0,1803.0083555664896,,,1925.8069220859552,,2.0,,,783.0436300033518,,,,,,,,,,,,1.0,,,1955.940229972477,,,,,,,1.0,1087.3910363894404,,,,,1.0,2019.1221225519248,,,,,,,,,,,2.0,,929.9772773899264,,,,,,,,,,,,,,,,,,,,,,,,,
16205669.0,1.0,3.0,8.0,,3.0,1925.9271426035116,1383.6684551851326,847.3594988018588,,853.3287297757622,6.0,10.0,423.0,1155.6231487591112,257.1010810146122,737.8319048420113,13.0,,4.0,320.09515901833515,,1364.8992725999412,1.0,,1252.582279916846,,2.0,1015.8190472987512,1.0,1.0,,1.0,1.0,1.0,25.0,6.0,1.0,2.0,1041.4680093013174,888.3556954073146,,1216.9814366444618,1958.6451827762105,571.0831787619726,308.1965826728945,861.7538536476644,914.7304168090646,335.014844865933,3.0,998.3826907965628,,,,,,,,,,2.0,,,1251.2578013756472,,,,,,,,,,,,,,,,,,,,,,1.0,1486.3105846032352,,,,,,,,,,,,,,,,,1.0,,1312.0026435399325,,,,,,,,,,,,,,,,,,,,,,,,,
13685849.0,,3.0,13.0,,8.0,,686.1797275791944,261.43293864632284,,297.63843408587206,5.0,9.0,204.0,341.5675426701612,526.5324889802,422.6038394386946,20.0,,3.0,819.6717735323242,,1815.0548357220032,1.0,,1447.2183009244177,,2.0,1846.8956070364384,3.0,1.0,1.0,1.0,1.0,1.0,24.0,2.0,2.0,2.0,1881.970431815146,1555.230742842143,1991.017668604965,1551.0886677643268,1989.3652872659952,1434.3977784279691,295.46595156573704,1276.8178138062067,1216.336482844377,1370.405842903643,3.0,1239.1443851949757,1.0,,,,1976.160347391,,,,,,,,,,,,,,,,1.0,1902.1502428257131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17694050.0,,3.0,7.0,,3.0,,1568.4538792117412,537.5050473985715,,539.707131212087,6.0,10.0,423.0,1225.9809799294526,265.2238716688045,561.8840926438745,6.0,,2.0,378.29117873686266,,1678.0516251497077,1.0,,1593.5850350988885,,1.0,702.5599459076187,1.0,1.0,,1.0,,1.0,19.0,3.0,1.0,1.0,728.9118276205402,648.3180458649701,,1556.271095088209,,906.6742186604018,647.6810577048814,1123.6312256111385,798.2428080930918,268.3113172500615,2.0,669.9219946922052,,,,,,,,,,2.0,,,1504.1311420573131,,,,,,1.0,1892.8650864403303,,,,,,,,,,,,,,,1.0,1606.5811816924654,,,,,1.0,2063.209318310678,,,,,,,,,,,1.0,,1423.6394360013358,,,,,,,,,,,,,,,,,,,,,,,,,
17696199.0,,3.0,3.0,,3.0,,1521.4940765622127,420.5448907358546,,439.2134404146484,5.0,11.0,68.0,947.7757597608296,836.3442949286019,389.71167885974864,4.0,,,299.2238872914863,,,1.0,,1840.3629931302928,,1.0,521.8087499843977,1.0,1.0,,1.0,,1.0,13.0,1.0,1.0,1.0,535.2942216581732,219.4864033629427,,1845.634587273468,,1262.3362393718912,437.0290755519642,1616.7087025337712,220.8808163682409,420.7696113419293,2.0,498.76850914460016,,,,,,,,,,2.0,,,2006.31123669003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2007.2853529869312,,,,,,,,,,,,,,,,,,,,,,,,,
17454899.0,4.0,2.0,7.0,1.0,3.0,657.4588426137926,909.8967319836688,822.3190103423831,685.4217055043549,544.0163265107598,6.0,7.0,1.0,728.1123873288423,561.980836160513,883.9560900238273,13.0,2.0,3.0,529.2449752145908,787.7335722731464,529.8910843982516,1.0,,708.5811942220967,,4.0,550.1831516020219,1.0,,,1.0,,,10.0,3.0,,2.0,1383.7747843908414,,,1986.9701168055424,,,652.9999382704948,395.3365189455864,,642.9541139778144,4.0,1158.1702190954525,,,,1.0,,,,2620.0079072243025,,1.0,,,1363.9796438840456,,,,,,1.0,1096.9025887752662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17669413.0,,,5.0,,1.0,,,1575.4867975217137,,1663.1903966025538,3.0,3.0,,679.9541725129249,940.0385409883836,,3.0,1.0,,692.5236688453779,2005.0706669611816,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,784.0397169137942,638.1892287953367,,,1507.1894453093032,3.0,872.3208615577013,,,,1.0,,,,1561.5579902770855,,,,,,,,,,,,,1.0,1272.8178566385525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16963573.0,3.0,2.0,5.0,1.0,3.0,742.3215373502005,1770.458833125171,1066.9651954109966,851.1840604510501,1133.3736780833804,5.0,6.0,7.0,1035.4812698606202,638.4381328882704,1216.9327846275685,6.0,1.0,4.0,315.9986267512812,952.9979887562416,1171.742680256976,2.0,,884.1805418470816,,4.0,997.8120854791944,,,,2.0,,1.0,7.0,3.0,,1.0,,,,1164.6153785151153,,1558.2032331784876,1047.6865250274454,853.199972490403,,604.6606103331561,4.0,1157.909360612939,,,,,,,,,,1.0,,,1331.4777611554334,,,,,,,,1.0,1867.1581510762255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
