5min,10min,15min,property_id,coordinates
"POLYGON ((145.119448 -37.850543, 145.119764 -37.850933, 145.120976 -37.851998, 145.121331 -37.852063, 145.126011 -37.853038, 145.126365 -37.853105, 145.127813 -37.85226, 145.128801 -37.851707, 145.128878 -37.851624, 145.128918 -37.851266, 145.12806 -37.850406, 145.127154 -37.849495, 145.126031 -37.848353, 145.125867 -37.848284, 145.124683 -37.848219, 145.124419 -37.848231, 145.121517 -37.848766, 145.121414 -37.848782, 145.12121 -37.848861, 145.119438 -37.850184, 145.119448 -37.850543))","POLYGON ((145.114802 -37.849982, 145.114816 -37.850055, 145.115079 -37.850365, 145.118476 -37.854, 145.119031 -37.854543, 145.119385 -37.854609, 145.123494 -37.855196, 145.129428 -37.854408, 145.129783 -37.854468, 145.133419 -37.852409, 145.133701 -37.85202, 145.133702 -37.852013, 145.132785 -37.8507, 145.128758 -37.846698, 145.127711 -37.845828, 145.126457 -37.84502, 145.12593 -37.844934, 145.125272 -37.844885, 145.124444 -37.844864, 145.120552 -37.846129, 145.118892 -37.846946, 145.115714 -37.849029, 145.114845 -37.849625, 145.114802 -37.849982))","POLYGON ((145.110115 -37.849528, 145.110129 -37.849591, 145.110229 -37.849861, 145.111794 -37.851757, 145.113855 -37.853965, 145.116025 -37.85601, 145.11958 -37.857511, 145.123092 -37.858475, 145.123446 -37.85854, 145.124562 -37.857985, 145.125732 -37.857302, 145.131225 -37.856986, 145.131578 -37.857055, 145.134738 -37.855084, 145.13587 -37.854193, 145.137993 -37.851923, 145.138117 -37.851787, 145.138184 -37.851547, 145.138097 -37.851198, 145.135493 -37.848802, 145.135009 -37.848377, 145.133461 -37.846994, 145.129717 -37.843221, 145.129576 -37.843118, 145.124499 -37.842065, 145.121214 -37.842416, 145.118139 -37.844171, 145.113115 -37.846199, 145.11012 -37.849168, 145.110115 -37.849528))",17637962.0,POINT (-37.85081419999999 145.1242149)
"POLYGON ((145.104005 -37.846285, 145.103967 -37.846497, 145.109006 -37.849603, 145.109025 -37.849602, 145.109698 -37.849273, 145.110787 -37.848408, 145.111345 -37.845927, 145.111525 -37.845185, 145.111527 -37.844887, 145.110704 -37.84424, 145.110213 -37.843903, 145.108323 -37.843241, 145.107041 -37.843836, 145.10551 -37.844669, 145.104043 -37.846073, 145.104005 -37.846285))","POLYGON ((145.100494 -37.846913, 145.100454 -37.84727, 145.103279 -37.850295, 145.106679 -37.851984, 145.109671 -37.852975, 145.110021 -37.852889, 145.113943 -37.849952, 145.113993 -37.849885, 145.115622 -37.844376, 145.111127 -37.840427, 145.110863 -37.840194, 145.110508 -37.84013, 145.11013 -37.840146, 145.10578 -37.841171, 145.105262 -37.84141, 145.101645 -37.843497, 145.100934 -37.844135, 145.100494 -37.846913))","POLYGON ((145.096546 -37.844251, 145.096066 -37.846925, 145.096057 -37.846978, 145.098867 -37.850981, 145.099152 -37.851159, 145.102359 -37.853086, 145.104247 -37.854586, 145.107205 -37.855309, 145.109556 -37.85561, 145.110804 -37.855666, 145.111263 -37.855461, 145.112773 -37.854552, 145.11725 -37.851266, 145.118299 -37.850754, 145.118401 -37.850694, 145.118635 -37.850511, 145.118684 -37.850448, 145.118699 -37.850352, 145.118739 -37.849994, 145.118559 -37.845277, 145.118768 -37.843718, 145.118788 -37.842003, 145.118472 -37.841831, 145.114241 -37.839265, 145.112579 -37.83747, 145.111725 -37.836639, 145.11137 -37.836577, 145.106277 -37.837523, 145.104511 -37.837952, 145.103364 -37.838679, 145.099737 -37.841255, 145.096707 -37.843345, 145.096546 -37.844251))",17707378.0,POINT (-37.8467582 145.1083306)
"POLYGON ((145.109624 -37.849865, 145.109944 -37.850184, 145.111759 -37.851941, 145.1129 -37.853071, 145.113868 -37.853894, 145.114222 -37.85396, 145.119088 -37.85085, 145.119131 -37.850493, 145.118706 -37.849991, 145.117093 -37.848493, 145.116555 -37.848074, 145.115066 -37.847642, 145.11325 -37.847373, 145.110581 -37.848804, 145.10962 -37.849505, 145.109624 -37.849865))","POLYGON ((145.105144 -37.850316, 145.106154 -37.851242, 145.108729 -37.853662, 145.111532 -37.856178, 145.113524 -37.857307, 145.113687 -37.857334, 145.113883 -37.857246, 145.118832 -37.85485, 145.119506 -37.85396, 145.12378 -37.851393, 145.123821 -37.851035, 145.123774 -37.850953, 145.123536 -37.850648, 145.121194 -37.847941, 145.120801 -37.847589, 145.120681 -37.847493, 145.117531 -37.844899, 145.116402 -37.844757, 145.115991 -37.844724, 145.113751 -37.844577, 145.111445 -37.844653, 145.111304 -37.844705, 145.109251 -37.846456, 145.105801 -37.849246, 145.105244 -37.849739, 145.105077 -37.849962, 145.105144 -37.850316))","POLYGON ((145.100444 -37.85088, 145.102581 -37.853044, 145.104472 -37.854612, 145.105843 -37.855699, 145.10769 -37.856672, 145.111175 -37.859498, 145.112752 -37.860845, 145.112844 -37.86089, 145.113198 -37.860956, 145.115934 -37.859768, 145.120629 -37.85741, 145.12239 -37.856293, 145.122663 -37.856058, 145.123161 -37.855617, 145.127804 -37.852313, 145.128475 -37.85194, 145.128516 -37.851582, 145.128471 -37.851492, 145.128246 -37.85119, 145.125685 -37.84803, 145.125504 -37.847853, 145.124991 -37.847414, 145.121441 -37.843176, 145.119741 -37.842046, 145.118265 -37.841764, 145.114637 -37.84188, 145.110169 -37.842055, 145.109508 -37.842308, 145.108757 -37.842675, 145.107135 -37.843848, 145.104521 -37.845958, 145.100478 -37.850379, 145.100402 -37.850522, 145.100444 -37.85088))",8431378.0,POINT (-37.8502085 145.1143992)
"POLYGON ((145.105738 -37.844046, 145.107239 -37.846573, 145.10881 -37.848317, 145.109016 -37.848431, 145.10937 -37.848496, 145.110625 -37.84808, 145.113696 -37.846297, 145.113848 -37.845971, 145.114373 -37.844614, 145.114334 -37.844256, 145.114116 -37.843753, 145.110707 -37.841075, 145.110437 -37.841007, 145.110084 -37.840938, 145.10777 -37.842184, 145.105779 -37.843688, 145.105738 -37.844046))","POLYGON ((145.102211 -37.844644, 145.103795 -37.847378, 145.105577 -37.850045, 145.107134 -37.85109, 145.109556 -37.852131, 145.113388 -37.849886, 145.11443 -37.849166, 145.115226 -37.848467, 145.116043 -37.847692, 145.117209 -37.845576, 145.117433 -37.844671, 145.117782 -37.842943, 145.11767 -37.8426, 145.114081 -37.840148, 145.111485 -37.837373, 145.111423 -37.837359, 145.110152 -37.837359, 145.11005 -37.83738, 145.1095 -37.837494, 145.105654 -37.83977, 145.103544 -37.841224, 145.102251 -37.844286, 145.102211 -37.844644))","POLYGON ((145.098021 -37.844221, 145.097978 -37.844579, 145.09962 -37.847403, 145.100901 -37.850706, 145.105265 -37.854364, 145.105585 -37.854529, 145.109954 -37.855229, 145.110024 -37.855237, 145.110024 -37.855237, 145.110094 -37.855245, 145.11154 -37.854402, 145.114476 -37.852442, 145.118197 -37.850462, 145.118291 -37.850401, 145.121462 -37.845709, 145.121505 -37.845352, 145.121372 -37.840978, 145.121202 -37.840661, 145.118097 -37.839209, 145.113874 -37.834983, 145.113633 -37.834715, 145.112235 -37.833811, 145.11188 -37.833749, 145.11062 -37.834124, 145.109381 -37.834638, 145.104559 -37.836625, 145.103219 -37.837196, 145.101951 -37.83798, 145.101947 -37.838, 145.10023 -37.84218, 145.098206 -37.843359, 145.098021 -37.844221))",13341488.0,POINT (-37.8447135 145.1095136)
"POLYGON ((145.114424 -37.845644, 145.115124 -37.846729, 145.115187 -37.846815, 145.115281 -37.846909, 145.115934 -37.847393, 145.116129 -37.847414, 145.120254 -37.847923, 145.120611 -37.847975, 145.122566 -37.846846, 145.123349 -37.845937, 145.123392 -37.845579, 145.122228 -37.844346, 145.121384 -37.843494, 145.12103 -37.843431, 145.118611 -37.843388, 145.117659 -37.843398, 145.117308 -37.843477, 145.115628 -37.84438, 145.114787 -37.844916, 145.114467 -37.845287, 145.114424 -37.845644))","POLYGON ((145.111461 -37.844696, 145.111188 -37.847232, 145.111181 -37.847461, 145.111213 -37.847576, 145.112935 -37.849082, 145.115012 -37.850222, 145.119574 -37.851624, 145.119928 -37.85169, 145.121743 -37.850805, 145.123431 -37.849849, 145.12552 -37.848497, 145.125927 -37.84805, 145.12595 -37.847985, 145.126833 -37.845245, 145.126875 -37.844888, 145.12469 -37.842376, 145.124018 -37.841624, 145.122168 -37.839854, 145.121731 -37.839597, 145.121304 -37.839859, 145.117299 -37.841613, 145.114141 -37.841819, 145.112858 -37.842691, 145.112062 -37.84366, 145.111516 -37.844338, 145.111461 -37.844696))","POLYGON ((145.106776 -37.844166, 145.108631 -37.849626, 145.111687 -37.852314, 145.113862 -37.853925, 145.118427 -37.855373, 145.118736 -37.855423, 145.119045 -37.855474, 145.120033 -37.855348, 145.124096 -37.852656, 145.126362 -37.851439, 145.128107 -37.85016, 145.131485 -37.845759, 145.131584 -37.845495, 145.13156 -37.845447, 145.129114 -37.842562, 145.125134 -37.838471, 145.125127 -37.8377, 145.124837 -37.837487, 145.120608 -37.836478, 145.120254 -37.836412, 145.119681 -37.836721, 145.117564 -37.83805, 145.113985 -37.83865, 145.113882 -37.83868, 145.110098 -37.840702, 145.10682 -37.843809, 145.106776 -37.844166))",17198598.0,POINT (-37.8456814 145.118916)
"POLYGON ((145.109627 -37.849864, 145.109944 -37.850183, 145.11176 -37.851938, 145.1129 -37.853068, 145.113868 -37.853896, 145.114222 -37.853961, 145.119091 -37.85085, 145.119135 -37.850493, 145.118709 -37.849991, 145.117094 -37.848493, 145.116555 -37.84807, 145.115065 -37.847639, 145.113249 -37.847376, 145.11058 -37.848805, 145.109623 -37.849504, 145.109627 -37.849864))","POLYGON ((145.105148 -37.850315, 145.106157 -37.851241, 145.10873 -37.853662, 145.111533 -37.856177, 145.113523 -37.857307, 145.113687 -37.857334, 145.113883 -37.857249, 145.118835 -37.85485, 145.119505 -37.853963, 145.123784 -37.851393, 145.123825 -37.851036, 145.123778 -37.850954, 145.12354 -37.850649, 145.121195 -37.847939, 145.120801 -37.847586, 145.120682 -37.84749, 145.117534 -37.844897, 145.116402 -37.844756, 145.115991 -37.844722, 145.11375 -37.844577, 145.111448 -37.844654, 145.111303 -37.844706, 145.109255 -37.846457, 145.1058 -37.849249, 145.105248 -37.849738, 145.105081 -37.849962, 145.105148 -37.850315))","POLYGON ((145.100448 -37.85088, 145.102584 -37.853043, 145.104476 -37.854613, 145.105846 -37.855699, 145.107694 -37.856672, 145.111174 -37.859497, 145.112751 -37.860848, 145.112844 -37.860893, 145.113197 -37.860959, 145.115934 -37.859769, 145.120632 -37.85741, 145.122391 -37.856294, 145.122663 -37.856059, 145.123163 -37.855617, 145.127803 -37.852316, 145.128479 -37.851941, 145.128519 -37.851583, 145.128475 -37.851493, 145.12825 -37.851191, 145.125686 -37.84803, 145.125507 -37.847854, 145.124992 -37.847411, 145.121441 -37.843173, 145.119742 -37.842046, 145.118265 -37.841762, 145.114634 -37.841879, 145.110168 -37.842059, 145.109508 -37.842308, 145.108758 -37.842678, 145.107139 -37.843848, 145.104524 -37.845958, 145.100482 -37.850379, 145.100406 -37.850522, 145.100448 -37.85088))",8668951.0,POINT (-37.8501749 145.1144096)
"POLYGON ((145.09714 -37.850679, 145.097254 -37.850805, 145.097694 -37.85126, 145.098759 -37.852257, 145.101325 -37.852749, 145.102683 -37.852221, 145.104388 -37.85033, 145.104418 -37.850262, 145.104458 -37.849977, 145.103798 -37.849388, 145.102702 -37.848697, 145.101453 -37.847891, 145.100063 -37.846996, 145.099708 -37.846934, 145.09925 -37.847168, 145.097181 -37.850322, 145.09714 -37.850679))","POLYGON ((145.092309 -37.850031, 145.092441 -37.850239, 145.092532 -37.850336, 145.092905 -37.850724, 145.095267 -37.853157, 145.097378 -37.855194, 145.098484 -37.855743, 145.098838 -37.855808, 145.10287 -37.856327, 145.104944 -37.854737, 145.105092 -37.854598, 145.10806 -37.850907, 145.108996 -37.849805, 145.109192 -37.849456, 145.109197 -37.84943, 145.10904 -37.849241, 145.104674 -37.845975, 145.103387 -37.84499, 145.100572 -37.843114, 145.100525 -37.843108, 145.098787 -37.844042, 145.095589 -37.84594, 145.094757 -37.846824, 145.092312 -37.850012, 145.092309 -37.850031))","POLYGON ((145.087746 -37.84969, 145.087858 -37.849915, 145.088388 -37.850599, 145.090732 -37.853068, 145.094325 -37.856656, 145.095669 -37.85814, 145.095836 -37.85825, 145.09934 -37.858897, 145.099698 -37.858863, 145.101758 -37.857753, 145.10576 -37.855703, 145.107846 -37.856026, 145.108199 -37.856092, 145.109596 -37.855274, 145.10979 -37.85513, 145.11229 -37.851173, 145.113778 -37.85017, 145.113805 -37.850035, 145.113785 -37.84957, 145.113724 -37.849491, 145.111746 -37.847019, 145.109906 -37.845699, 145.105131 -37.842139, 145.10402 -37.84128, 145.103864 -37.841262, 145.100151 -37.84101, 145.099542 -37.840969, 145.098599 -37.840978, 145.097993 -37.841045, 145.097031 -37.841567, 145.095202 -37.842611, 145.092335 -37.844427, 145.092197 -37.844582, 145.08853 -37.848754, 145.087788 -37.849333, 145.087746 -37.84969))",17623020.0,POINT (-37.8497235 145.1013436)
,,,17642880.0,POINT (-37.8432543 145.1054931)
,,,17703210.0,POINT (-37.85321769999999 145.1311474)
,,,8571558.0,POINT (-37.8509939 145.1209394)
