5min,10min,15min,property_id,coordinates
"POLYGON ((145.03544 -37.948232, 145.035923 -37.949291, 145.038945 -37.951955, 145.039298 -37.952027, 145.04179 -37.951269, 145.044387 -37.949696, 145.04477 -37.949259, 145.044812 -37.948902, 145.044769 -37.948828, 145.04427 -37.948319, 145.043893 -37.94793, 145.043776 -37.947852, 145.039946 -37.945491, 145.03793 -37.946431, 145.035678 -37.947754, 145.035574 -37.947815, 145.035481 -37.947875, 145.03544 -37.948232))","POLYGON ((145.030741 -37.947668, 145.031661 -37.948711, 145.034835 -37.952547, 145.038192 -37.955655, 145.038545 -37.955727, 145.042467 -37.954747, 145.044483 -37.954299, 145.047587 -37.952177, 145.04788 -37.951968, 145.049506 -37.949508, 145.049553 -37.949152, 145.049344 -37.948955, 145.048363 -37.948026, 145.045486 -37.94688, 145.043096 -37.944796, 145.041787 -37.943704, 145.040074 -37.942172, 145.039723 -37.942091, 145.037137 -37.94288, 145.032699 -37.945816, 145.030785 -37.947311, 145.030741 -37.947668))","POLYGON ((145.025894 -37.947243, 145.025824 -37.94759, 145.02849 -37.949937, 145.031493 -37.953192, 145.033047 -37.954905, 145.033631 -37.955551, 145.033705 -37.955628, 145.037959 -37.959111, 145.038417 -37.959057, 145.041476 -37.958097, 145.043501 -37.957466, 145.046657 -37.956427, 145.049774 -37.955133, 145.050066 -37.954923, 145.050178 -37.954824, 145.053709 -37.950431, 145.053706 -37.950071, 145.051572 -37.946829, 145.051481 -37.946759, 145.051128 -37.946687, 145.046194 -37.943763, 145.045412 -37.942884, 145.045343 -37.942813, 145.042122 -37.939685, 145.042053 -37.939637, 145.039561 -37.938736, 145.038763 -37.938639, 145.0386 -37.938633, 145.038521 -37.938653, 145.034256 -37.941157, 145.031656 -37.942809, 145.027571 -37.94584, 145.026241 -37.94664, 145.026088 -37.946745, 145.025964 -37.946897, 145.025894 -37.947243))",17406025.0,POINT (-37.948678 145.040141)
"POLYGON ((145.034562 -37.944434, 145.036268 -37.946414, 145.037985 -37.948389, 145.038178 -37.948483, 145.03864 -37.948599, 145.038671 -37.948603, 145.038864 -37.948494, 145.040619 -37.946451, 145.041386 -37.94525, 145.041401 -37.945167, 145.041445 -37.94481, 145.04142 -37.944723, 145.040997 -37.943955, 145.040943 -37.943884, 145.040883 -37.943817, 145.039897 -37.942945, 145.039835 -37.942921, 145.039484 -37.94284, 145.036644 -37.942821, 145.034651 -37.943038, 145.034352 -37.943238, 145.034562 -37.944434))","POLYGON ((145.029993 -37.943802, 145.029999 -37.943888, 145.030835 -37.944914, 145.034495 -37.949637, 145.035571 -37.950525, 145.036628 -37.95132, 145.037693 -37.952089, 145.038045 -37.952166, 145.043095 -37.94955, 145.043191 -37.949459, 145.043481 -37.949105, 145.046098 -37.945713, 145.046146 -37.945356, 145.046023 -37.944622, 145.042126 -37.941098, 145.041543 -37.940155, 145.039244 -37.939327, 145.038969 -37.939302, 145.034117 -37.940374, 145.030813 -37.942709, 145.030036 -37.943444, 145.029993 -37.943802))","POLYGON ((145.025295 -37.943245, 145.025299 -37.943338, 145.026202 -37.945352, 145.029029 -37.948061, 145.032759 -37.952077, 145.034774 -37.954177, 145.035614 -37.954733, 145.035967 -37.954803, 145.038492 -37.955204, 145.042191 -37.953852, 145.042522 -37.953711, 145.047143 -37.951556, 145.047437 -37.951347, 145.048412 -37.949364, 145.050785 -37.94633, 145.050833 -37.945973, 145.049326 -37.943945, 145.04653 -37.941095, 145.044833 -37.938828, 145.043021 -37.936878, 145.042798 -37.936779, 145.042446 -37.936706, 145.042365 -37.936697, 145.036819 -37.935983, 145.036721 -37.935969, 145.03365 -37.937225, 145.030109 -37.939494, 145.02859 -37.940487, 145.027035 -37.94161, 145.025395 -37.942825, 145.025337 -37.942887, 145.025295 -37.943245))",17409548.0,POINT (-37.945613 145.037868)
"POLYGON ((145.052873 -37.955443, 145.05302 -37.955772, 145.056864 -37.957574, 145.057218 -37.95764, 145.058699 -37.956858, 145.059216 -37.956546, 145.059355 -37.956439, 145.059845 -37.955037, 145.059387 -37.952781, 145.05935 -37.952687, 145.058114 -37.951562, 145.057968 -37.951555, 145.053095 -37.953016, 145.052823 -37.953252, 145.052873 -37.955443))","POLYGON ((145.050788 -37.957482, 145.051805 -37.958107, 145.056296 -37.961214, 145.05665 -37.961279, 145.056765 -37.961236, 145.058554 -37.960231, 145.061193 -37.958763, 145.062878 -37.957759, 145.063109 -37.957197, 145.063119 -37.957161, 145.064097 -37.953614, 145.064142 -37.953257, 145.062609 -37.951693, 145.061578 -37.950631, 145.059212 -37.9482, 145.059119 -37.94811, 145.059027 -37.948047, 145.058674 -37.947979, 145.055071 -37.950118, 145.0523 -37.949906, 145.05191 -37.949791, 145.051691 -37.949946, 145.048842 -37.952354, 145.050788 -37.957482))","POLYGON ((145.045885 -37.955326, 145.046091 -37.956905, 145.046936 -37.958569, 145.051837 -37.961776, 145.055266 -37.964626, 145.055526 -37.964853, 145.055604 -37.964921, 145.056815 -37.965161, 145.057549 -37.964792, 145.060251 -37.963049, 145.061316 -37.962319, 145.065958 -37.959482, 145.066003 -37.959124, 145.068387 -37.955032, 145.070035 -37.954367, 145.07008 -37.95401, 145.066578 -37.950474, 145.062947 -37.947605, 145.059949 -37.944485, 145.059847 -37.944409, 145.05957 -37.944241, 145.05926 -37.944202, 145.05895 -37.944163, 145.057495 -37.94535, 145.052765 -37.946229, 145.052614 -37.946209, 145.05243 -37.946185, 145.052349 -37.946174, 145.051332 -37.946728, 145.047383 -37.948865, 145.04659 -37.9497, 145.046544 -37.949763, 145.046482 -37.949928, 145.045885 -37.955326))",17317103.0,POINT (-37.954549 145.056623)
"POLYGON ((145.040997 -37.953963, 145.040811 -37.95503, 145.041973 -37.956315, 145.042142 -37.956336, 145.046433 -37.95703, 145.046557 -37.957046, 145.047025 -37.957022, 145.047148 -37.956949, 145.04719 -37.956592, 145.045431 -37.954297, 145.044051 -37.952507, 145.041647 -37.951738, 145.041357 -37.95195, 145.041321 -37.952028, 145.040997 -37.953963))","POLYGON ((145.037276 -37.955782, 145.037286 -37.955871, 145.040486 -37.959579, 145.040773 -37.959613, 145.046563 -37.959907, 145.047183 -37.959981, 145.047557 -37.959958, 145.048935 -37.959759, 145.049072 -37.959703, 145.05176 -37.957581, 145.051856 -37.957358, 145.051767 -37.957099, 145.051306 -37.95641, 145.05129 -37.956388, 145.050994 -37.956378, 145.045431 -37.954297, 145.044764 -37.952933, 145.042879 -37.948734, 145.042209 -37.948125, 145.041653 -37.948145, 145.040935 -37.948523, 145.038657 -37.95299, 145.037316 -37.955425, 145.037276 -37.955782))","POLYGON ((145.032489 -37.955241, 145.032632 -37.955436, 145.035857 -37.959222, 145.037768 -37.960903, 145.042064 -37.962672, 145.042418 -37.962738, 145.047507 -37.963186, 145.048461 -37.963372, 145.04854 -37.963382, 145.05 -37.962734, 145.051967 -37.961847, 145.054003 -37.96078, 145.054467 -37.960488, 145.054622 -37.960285, 145.056116 -37.957014, 145.056171 -37.95686, 145.056147 -37.956578, 145.056032 -37.956445, 145.055339 -37.955775, 145.053784 -37.955036, 145.053699 -37.955005, 145.052271 -37.954607, 145.052159 -37.954582, 145.05185 -37.954525, 145.051741 -37.954501, 145.049227 -37.953176, 145.047868 -37.949292, 145.047915 -37.948935, 145.047629 -37.948728, 145.043913 -37.946359, 145.042443 -37.945644, 145.039571 -37.944957, 145.039277 -37.945164, 145.036801 -37.94747, 145.036526 -37.947929, 145.03651 -37.947992, 145.035136 -37.951785, 145.032651 -37.954872, 145.032492 -37.955228, 145.032489 -37.955241))",17377481.0,POINT (-37.95434 145.044365)
"POLYGON ((145.040429 -37.955934, 145.040517 -37.956146, 145.040601 -37.956307, 145.041329 -37.957057, 145.041681 -37.957132, 145.046111 -37.957988, 145.046464 -37.958057, 145.047562 -37.957695, 145.047604 -37.95768, 145.048348 -37.957267, 145.048559 -37.957118, 145.048602 -37.95676, 145.045666 -37.954947, 145.042615 -37.953543, 145.042429 -37.953497, 145.042099 -37.953642, 145.041177 -37.954171, 145.040442 -37.955882, 145.040429 -37.955934))","POLYGON ((145.035819 -37.955617, 145.035829 -37.955702, 145.035886 -37.955778, 145.038215 -37.958258, 145.038303 -37.958352, 145.040446 -37.959393, 145.042556 -37.960117, 145.042911 -37.960179, 145.04798 -37.960983, 145.049138 -37.961173, 145.053081 -37.95796, 145.053212 -37.957831, 145.053269 -37.957653, 145.053285 -37.957294, 145.050592 -37.955406, 145.050401 -37.955391, 145.0501 -37.95552, 145.044764 -37.952933, 145.044549 -37.9526, 145.042161 -37.950195, 145.042017 -37.950087, 145.041663 -37.950022, 145.041579 -37.950066, 145.039993 -37.95095, 145.03586 -37.955259, 145.035819 -37.955617))","POLYGON ((145.031125 -37.955172, 145.031176 -37.955268, 145.032285 -37.95639, 145.035119 -37.959904, 145.03752 -37.962046, 145.041886 -37.963896, 145.042036 -37.963915, 145.042036 -37.963915, 145.042185 -37.963933, 145.047419 -37.964293, 145.048358 -37.964426, 145.048416 -37.964428, 145.050533 -37.963711, 145.052815 -37.962814, 145.05469 -37.961766, 145.054986 -37.96156, 145.055178 -37.961294, 145.055973 -37.959949, 145.056879 -37.95785, 145.056968 -37.957622, 145.056962 -37.957511, 145.055165 -37.954894, 145.054725 -37.954391, 145.049222 -37.952116, 145.045059 -37.948863, 145.044653 -37.948463, 145.043453 -37.94721, 145.040699 -37.946567, 145.040404 -37.946773, 145.038903 -37.948203, 145.034844 -37.952502, 145.033698 -37.953202, 145.032282 -37.954099, 145.031232 -37.954741, 145.031167 -37.954814, 145.031125 -37.955172))",15939201.0,POINT (-37.955885 145.044537)
"POLYGON ((145.048481 -37.952749, 145.048481 -37.952749, 145.048651 -37.952989, 145.050216 -37.955171, 145.051727 -37.957458, 145.051888 -37.957578, 145.052005 -37.957628, 145.052304 -37.957712, 145.052355 -37.957722, 145.053693 -37.957857, 145.054026 -37.957784, 145.054306 -37.957588, 145.054353 -37.957485, 145.054995 -37.955238, 145.055034 -37.95488, 145.054702 -37.954509, 145.051674 -37.951919, 145.051321 -37.951851, 145.048709 -37.952076, 145.048415 -37.952284, 145.048369 -37.952346, 145.048311 -37.952509, 145.048481 -37.952749))","POLYGON ((145.045865 -37.949371, 145.045586 -37.950534, 145.045551 -37.950892, 145.046604 -37.954646, 145.047061 -37.956942, 145.047099 -37.957032, 145.047182 -37.957124, 145.049144 -37.958949, 145.049421 -37.959063, 145.053415 -37.960756, 145.053516 -37.960783, 145.053781 -37.960834, 145.054471 -37.960964, 145.054544 -37.960969, 145.05772 -37.958396, 145.057763 -37.958315, 145.058677 -37.956351, 145.059179 -37.955238, 145.059217 -37.95488, 145.058121 -37.953648, 145.053867 -37.950027, 145.052382 -37.948718, 145.052029 -37.948646, 145.046207 -37.948896, 145.046015 -37.948899, 145.046015 -37.948899, 145.045865 -37.949371))","POLYGON ((145.041324 -37.948734, 145.041363 -37.948859, 145.041653 -37.949218, 145.043414 -37.953806, 145.042471 -37.956013, 145.042449 -37.956094, 145.042407 -37.956452, 145.042492 -37.956544, 145.045407 -37.959698, 145.045479 -37.959772, 145.050937 -37.961976, 145.052104 -37.96263, 145.055635 -37.96421, 145.05625 -37.964476, 145.057133 -37.963904, 145.060086 -37.96045, 145.061642 -37.959399, 145.062392 -37.958995, 145.062424 -37.958921, 145.062799 -37.957294, 145.062844 -37.956936, 145.061854 -37.953126, 145.061527 -37.952189, 145.058776 -37.949904, 145.054491 -37.946453, 145.05391 -37.945956, 145.053819 -37.945917, 145.053465 -37.94585, 145.051939 -37.945549, 145.051585 -37.945483, 145.051341 -37.945598, 145.050791 -37.945881, 145.050682 -37.945953, 145.050582 -37.946025, 145.04682 -37.946963, 145.044216 -37.945682, 145.043945 -37.945677, 145.04365 -37.945883, 145.041656 -37.94796, 145.041365 -37.948376, 145.041324 -37.948734))",17393580.0,POINT (-37.954655 145.05139)
"POLYGON ((144.295481 -38.15711, 144.29541 -38.157394, 144.295838 -38.158047, 144.297913 -38.161096, 144.298137 -38.161182, 144.298365 -38.161238, 144.302099 -38.160215, 144.302079 -38.160085, 144.300539 -38.154866, 144.299196 -38.154012, 144.298837 -38.154043, 144.296234 -38.155613, 144.295553 -38.156825, 144.295481 -38.15711))","POLYGON ((144.296002 -38.1528, 144.295958 -38.153155, 144.295481 -38.15711, 144.294339 -38.160123, 144.294281 -38.160318, 144.294227 -38.16058, 144.294172 -38.160842, 144.296643 -38.164264, 144.29766 -38.164784, 144.29783 -38.164854, 144.298065 -38.164823, 144.301657 -38.16399, 144.302519 -38.163564, 144.305277 -38.162129, 144.305662 -38.160508, 144.305596 -38.160333, 144.305074 -38.15966, 144.304878 -38.159558, 144.304746 -38.159515, 144.302757 -38.158829, 144.303004 -38.153279, 144.303099 -38.152931, 144.302793 -38.15265, 144.301741 -38.151954, 144.30167 -38.151951, 144.296076 -38.152561, 144.296002 -38.1528))","POLYGON ((144.294874 -38.152208, 144.294815 -38.152396, 144.294777 -38.152619, 144.29481 -38.152804, 144.295222 -38.15814, 144.294339 -38.160123, 144.294281 -38.160318, 144.292805 -38.164171, 144.293295 -38.165613, 144.293911 -38.166327, 144.296182 -38.167525, 144.298761 -38.168461, 144.299041 -38.168451, 144.302328 -38.16753, 144.30342 -38.166792, 144.307837 -38.164092, 144.309449 -38.161643, 144.309459 -38.161405, 144.309298 -38.161096, 144.307665 -38.158651, 144.305959 -38.153582, 144.305193 -38.151019, 144.30066 -38.148712, 144.300317 -38.148603, 144.295213 -38.151704, 144.2951 -38.151775, 144.295002 -38.151886, 144.294929 -38.152036, 144.294874 -38.152208))",15894887.0,POINT (-38.157704 144.299358)
"POLYGON ((144.312359 -38.182779, 144.315007 -38.185368, 144.3157 -38.18581, 144.316054 -38.185872, 144.316158 -38.185854, 144.316985 -38.185497, 144.318072 -38.184825, 144.320167 -38.183552, 144.320213 -38.183195, 144.319732 -38.181158, 144.319675 -38.181096, 144.318857 -38.180229, 144.317489 -38.17881, 144.317329 -38.178688, 144.316975 -38.178623, 144.314115 -38.180234, 144.312402 -38.182422, 144.312359 -38.182779))","POLYGON ((144.309368 -38.182636, 144.309332 -38.183691, 144.310188 -38.1849, 144.312329 -38.185712, 144.315049 -38.189522, 144.315404 -38.189584, 144.315505 -38.189565, 144.315689 -38.189504, 144.320216 -38.187405, 144.321697 -38.186053, 144.323917 -38.183227, 144.324176 -38.181379, 144.323832 -38.180439, 144.323584 -38.180186, 144.320032 -38.177082, 144.318106 -38.175074, 144.317752 -38.175009, 144.316992 -38.175312, 144.314042 -38.176933, 144.312751 -38.177653, 144.310638 -38.178918, 144.309368 -38.182636))","POLYGON ((144.306223 -38.180781, 144.307151 -38.186277, 144.308884 -38.188222, 144.312992 -38.192477, 144.314079 -38.193112, 144.314411 -38.19325, 144.314553 -38.193295, 144.315106 -38.193307, 144.319985 -38.190675, 144.321976 -38.18952, 144.325456 -38.187412, 144.325951 -38.187001, 144.325994 -38.186643, 144.327145 -38.18279, 144.328261 -38.180899, 144.328263 -38.180888, 144.328117 -38.180697, 144.327156 -38.17967, 144.326195 -38.178643, 144.325181 -38.177549, 144.322221 -38.174938, 144.320129 -38.17251, 144.319042 -38.17123, 144.318689 -38.171163, 144.316779 -38.172107, 144.312013 -38.174561, 144.311964 -38.174607, 144.310368 -38.176316, 144.306323 -38.180435, 144.306223 -38.180781))",15896969.0,POINT (-38.182345 144.316376)
"POLYGON ((144.744754 -37.692451, 144.745347 -37.694672, 144.745378 -37.694751, 144.748349 -37.696078, 144.752846 -37.694733, 144.753372 -37.693547, 144.75342 -37.69319, 144.75321 -37.692557, 144.750437 -37.690298, 144.750099 -37.69042, 144.745181 -37.691993, 144.744806 -37.692095, 144.744754 -37.692451))","POLYGON ((144.740404 -37.691729, 144.740391 -37.692028, 144.741586 -37.695334, 144.743881 -37.697828, 144.747452 -37.698974, 144.747613 -37.698989, 144.748958 -37.69875, 144.752165 -37.698072, 144.755832 -37.6973, 144.757822 -37.693938, 144.757866 -37.693581, 144.757812 -37.693199, 144.756775 -37.692049, 144.752487 -37.687973, 144.749809 -37.687342, 144.749543 -37.687289, 144.748446 -37.687394, 144.744139 -37.688871, 144.740751 -37.691039, 144.740449 -37.691372, 144.740404 -37.691729))","POLYGON ((144.735776 -37.691215, 144.735784 -37.69146, 144.737462 -37.695166, 144.737751 -37.69538, 144.741295 -37.699854, 144.74252 -37.700833, 144.745394 -37.702019, 144.745641 -37.702089, 144.74574 -37.702079, 144.745923 -37.702038, 144.750147 -37.700717, 144.752802 -37.701401, 144.75312 -37.701288, 144.755748 -37.700131, 144.758403 -37.698142, 144.762581 -37.694719, 144.762624 -37.694361, 144.762554 -37.694105, 144.762257 -37.693682, 144.761674 -37.692966, 144.760772 -37.691867, 144.757526 -37.688173, 144.75331 -37.684992, 144.749471 -37.683663, 144.749169 -37.683708, 144.747466 -37.684515, 144.743013 -37.686267, 144.738782 -37.688304, 144.738692 -37.688361, 144.736667 -37.689936, 144.73582 -37.690858, 144.735776 -37.691215))",17574544.0,POINT (-37.693198 144.749)
"POLYGON ((142.209827 -36.721863, 142.211028 -36.722624, 142.211373 -36.722726, 142.216283 -36.722144, 142.216283 -36.721784, 142.215274 -36.717831, 142.214403 -36.717829, 142.211288 -36.717648, 142.210972 -36.717619, 142.209538 -36.721649, 142.209827 -36.721863))","POLYGON ((142.206356 -36.724096, 142.207206 -36.724503, 142.210481 -36.725829, 142.210841 -36.725816, 142.213213 -36.724755, 142.217108 -36.725589, 142.217468 -36.725577, 142.218441 -36.723609, 142.218366 -36.720534, 142.217787 -36.719909, 142.215274 -36.717831, 142.214207 -36.71496, 142.213898 -36.714775, 142.211367 -36.716654, 142.208156 -36.719205, 142.20632 -36.723737, 142.206356 -36.724096))","POLYGON ((142.202243 -36.723501, 142.202283 -36.723859, 142.204545 -36.72626, 142.206689 -36.727593, 142.210066 -36.729206, 142.210426 -36.729206, 142.21404 -36.728326, 142.218499 -36.72621, 142.220451 -36.726719, 142.220807 -36.726769, 142.221121 -36.726415, 142.221123 -36.726055, 142.218336 -36.721554, 142.218366 -36.720534, 142.217787 -36.719909, 142.21594 -36.718651, 142.215274 -36.717831, 142.21659 -36.712634, 142.216617 -36.712275, 142.216615 -36.712271, 142.216327 -36.712056, 142.215217 -36.71265, 142.210891 -36.715345, 142.206866 -36.716236, 142.205449 -36.717622, 142.203564 -36.719488, 142.203457 -36.719608, 142.202243 -36.723501))",17404197.0,POINT (-36.719945 142.212416)
