property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,land_area,property_features,suburb,postcode,year,quarter,age_0_to_19,age_20_to_39,age_40_to_59,age_60_plus,agency_name,agent_name,appointment_only,avg_days_on_market,description,family_percentage,features_list,first_listed_date,full_address,last_sold_date,listing_status,long_term_resident,median_rent_price,median_sold_price,number_sold,renter_percentage,schools,single_percentage,state_abbreviation,structured_features,unit_number,updated_date,url,coordinates
16311379.0,495 per week,3,2.0,5.0,house,0.0,"3, ,2, ,5,",daylesford,3460,2023,06,,,,,,,,,,,,,"Grenville Street, Daylesford, VIC 3460",,,,,,,,,,,,,,59-grenville-street-daylesford-vic-3460-16311379,
16315545.0,under application,1,1.0,1.0,house,203.0,"1, ,1, ,1, 203,",daylesford,3460,2023,06,,,,,,,,,,,,,"Rosella Lane, Daylesford, VIC 3460",,,,,,,,,,,,,,5-rosella-lane-daylesford-vic-3460-16315545,
16374072.0,450 per week - utilities included,2,1.0,,house,0.0,"2, ,1, ,,",daylesford,3460,2023,06,,,,,,,,,,,,,"Stanhope Street, Daylesford, VIC 3460",,,,,,,,,,,,,,29-stanhope-street-daylesford-vic-3460-16374072,
16393253.0,690 per week,4,2.0,4.0,house,2.28,"4, ,2, ,4, 2.28,",wheatsheaf,3461,2023,06,,,,,,,,,,,,,"Whitegum Drive, Wheatsheaf, VIC 3461",,,,,,,,,,,,,,180-whitegum-drive-wheatsheaf-vic-3461-16393253,
16412399.0,495 per week,3,1.0,1.0,house,0.0,"3, ,1, ,1,",daylesford,3460,2023,06,,,,,,,,,,,,,"Leggatt Street, Daylesford, VIC 3460",,,,,,,,,,,,,,5-leggatt-street-daylesford-vic-3460-16412399,
16414770.0,430 per week,2,1.0,4.0,house,0.0,"2, ,1, ,4,",coomoora,3461,2023,06,,,,,,,,,,,,,"Sullivans Road, Coomoora, VIC 3461",,,,,,,,,,,,,,29-sullivans-road-coomoora-vic-3461-16414770,
16419646.0,495 per week,3,3.0,3.0,house,0.0,"3, ,3, ,3,",daylesford,3460,2023,06,,,,,,,,,,,,,"70c Patterson Street, Daylesford, VIC 3460",,,,,,,,,,,,,,70c-patterson-street-daylesford-vic-3460-16419646,
16428177.0,585 per week,6,2.0,2.0,house,0.0,"6, ,2, ,2,",glenlyon,3461,2023,06,,,,,,,,,,,,,"Spring Street, Glenlyon, VIC 3461",,,,,,,,,,,,,,19-spring-street-glenlyon-vic-3461-16428177,
16440698.0,495 per week,3,1.0,1.0,house,0.0,"3, ,1, ,1,",daylesford,3460,2023,06,,,,,,,,,,,,,"Jamieson Street, Daylesford, VIC 3460",,,,,,,,,,,,,,37-jamieson-street-daylesford-vic-3460-16440698,
16447324.0,420 per week,1,1.0,,house,0.0,"1, ,1, ,,",sailors falls,3461,2023,06,,,,,,,,,,,,,"Ballan Daylesford Road Sailors, Falls, VIC 3461",,,,,,,,,,,,,,2475-ballan-daylesford-road-sailors-falls-vic-3461-16447324,
