school_name,education_sector,school_type,establishment_year,x,y,coordinates
Bass Valley Primary School,Government,Primary,2023,145.5,-38.4,POINT (145.5 -38.4)
Bass Coast Specialist School,Government,Special,2023,145.6,-38.6,POINT (145.6 -38.6)
Barnawartha Primary School,Government,Primary,2023,146.7,-36.1,POINT (146.7 -36.1)
Balnarring Primary School,Government,Primary,2023,145.1,-38.4,POINT (145.1 -38.4)
Balmoral K-12 Community College,Government,Pri/Sec,2023,141.8,-37.2,POINT (141.8 -37.2)
Balliang East Primary School,Government,Primary,2023,144.4,-37.8,POINT (144.4 -37.8)
Baimbridge College,Government,Secondary,2023,142.0,-37.7,POINT (142 -37.7)
Bacchus Marsh College,Government,Secondary,2023,144.4,-37.7,POINT (144.4 -37.7)
Axedale Primary School,Government,Primary,2023,144.5,-36.8,POINT (144.5 -36.8)
Avoca Primary School,Government,Primary,2023,143.5,-37.1,POINT (143.5 -37.1)
Bayview College,Independent,Secondary,2023,141.6,-38.3,POINT (141.6 -38.3)
Avenel Primary School,Government,Primary,2023,145.2,-36.9,POINT (145.2 -36.9)
Ardmona Primary School,Government,Primary,2023,145.3,-36.4,POINT (145.3 -36.4)
Ararat Secondary College,Government,Secondary,2023,142.9,-37.3,POINT (142.9 -37.3)
Apsley Primary School,Government,Primary,2023,141.1,-37.0,POINT (141.1 -37)
Apollo Bay P-12 College,Government,Pri/Sec,2023,143.7,-38.8,POINT (143.7 -38.8)
Anglesea Primary School,Government,Primary,2023,144.2,-38.4,POINT (144.2 -38.4)
Anakie Primary School,Government,Primary,2023,144.3,-37.9,POINT (144.3 -37.9)
Amphitheatre Primary School,Government,Primary,2023,143.4,-37.2,POINT (143.4 -37.2)
Alvie Primary School,Government,Primary,2023,143.5,-38.2,POINT (143.5 -38.2)
Allansford and District Primary School,Government,Primary,2023,142.6,-38.4,POINT (142.6 -38.4)
Alkira Secondary College,Government,Secondary,2023,145.3,-38.1,POINT (145.3 -38.1)
Alexandra Secondary College,Government,Secondary,2023,145.7,-37.2,POINT (145.7 -37.2)
Alberton Primary School,Government,Primary,2023,146.7,-38.6,POINT (146.7 -38.6)
Arnolds Creek Primary School,Government,Primary,2023,144.5,-37.7,POINT (144.5 -37.7)
Bealiba Primary School,Government,Primary,2023,143.6,-36.8,POINT (143.6 -36.8)
Beaufort Secondary College,Government,Secondary,2023,143.4,-37.4,POINT (143.4 -37.4)
Beeac Primary School,Government,Primary,2023,143.6,-38.2,POINT (143.6 -38.2)
Cann River P-12 College,Government,Pri/Sec,2023,149.2,-37.6,POINT (149.2 -37.6)
Buxton Primary School,Government,Primary,2023,145.7,-37.4,POINT (145.7 -37.4)
Buninyong Primary School,Government,Primary,2023,143.9,-37.7,POINT (143.9 -37.7)
Bullarto Primary School,Government,Primary,2023,144.2,-37.4,POINT (144.2 -37.4)
Buchan Primary School,Government,Primary,2023,148.2,-37.5,POINT (148.2 -37.5)
Buangor Primary School,Government,Primary,2023,143.2,-37.4,POINT (143.2 -37.4)
Bruthen Primary School,Government,Primary,2023,147.8,-37.7,POINT (147.8 -37.7)
Broken Creek Primary School,Government,Primary,2023,145.9,-36.4,POINT (145.9 -36.4)
Broadford Secondary College,Government,Secondary,2023,145.0,-37.2,POINT (145 -37.2)
Bright P-12 College,Government,Pri/Sec,2023,147.0,-36.7,POINT (147 -36.7)
Briagolong Primary School,Government,Primary,2023,147.1,-37.8,POINT (147.1 -37.8)
Branxholme-Wallacedale Community School,Government,Primary,2023,141.8,-37.9,POINT (141.8 -37.9)
Braemar College,Independent,Pri/Sec,2023,144.6,-37.4,POINT (144.6 -37.4)
Botanic Ridge Primary School,Government,Primary,2023,145.3,-38.2,POINT (145.3 -38.2)
