property_id,coordinates
17696709.0,POINT (-37.8130438 144.9692553)
14882437.0,POINT (-37.8130438 144.9692553)
17697795.0,POINT (-37.8173833 144.953627)
17063182.0,POINT (-37.8148884 144.9542283)
17699555.0,POINT (-37.8107329 144.9570341)
17701632.0,POINT (-37.8110521 144.9597639)
17702805.0,POINT (-37.809615 144.9623021)
17703091.0,POINT (-37.8121737 144.9582451)
17703153.0,POINT (-37.811294 144.9610041)
17703646.0,POINT (-37.8150038 144.9536551)
14567944.0,POINT (-37.8109277 144.9599471)
17705182.0,POINT (-37.8089213 144.9625669)
17705444.0,POINT (-37.8148884 144.9542283)
17705623.0,POINT (-37.8021024 144.9583909)
17705632.0,POINT (-37.8153283 144.9528703)
17705922.0,POINT (-37.8116887 144.9602787)
17706860.0,POINT (-37.809615 144.9623021)
17710284.0,POINT (-37.8131675 144.9553945)
17710629.0,POINT (-37.8092997 144.9614097)
15190727.0,POINT (-37.8097375 144.9595257)
17711907.0,POINT (-37.811294 144.9610041)
17712351.0,POINT (-37.8092997 144.9614097)
14562217.0,POINT (-37.8150038 144.9536551)
16975300.0,POINT (-37.81525920000001 144.9534241)
16511822.0,POINT (-37.8097375 144.9595257)
16078898.0,POINT (-37.812735 144.9691261)
17713505.0,POINT (-37.8310667 144.9709519)
17713964.0,POINT (-37.8179151 144.9548451)
17713960.0,POINT (-37.8093086 144.9597389)
17720076.0,POINT (-37.81417 144.9530225)
17720204.0,POINT (-37.81450030000001 144.9540216)
17720270.0,POINT (-37.81525920000001 144.9534241)
17720425.0,POINT (-37.8131675 144.9553945)
17720462.0,POINT (-37.8109277 144.9599471)
17187457.0,POINT (-37.8095723 144.9601163)
17720810.0,POINT (-37.81525920000001 144.9534241)
16557326.0,POINT (-37.8175602 144.9585916)
17721572.0,POINT (-37.812735 144.9691261)
17722056.0,POINT (-37.8086896 144.9593881)
17722063.0,POINT (-37.8097183 144.9595886)
17722600.0,POINT (-37.8095025 144.9566681)
17727589.0,POINT (-37.809615 144.9623021)
17727860.0,POINT (-37.8096191 144.9560827)
17152016.0,POINT (-37.81417 144.9530225)
17729270.0,POINT (-37.8070944 144.9602742)
17729302.0,POINT (-37.815684 144.9615928)
