property_id,coordinates
17662889.0,POINT (-37.9311766 145.0133514)
17658245.0,POINT (-37.9393434 145.0209499)
17658245.0,POINT (-37.9393434 145.0209499)
17747778.0,POINT (-37.93206139999999 145.0190676)
17747778.0,POINT (-37.93206139999999 145.0190676)
17707440.0,POINT (-37.9346064 145.0241152)
17753517.0,POINT (-37.9334278 145.0147539)
17568994.0,POINT (-37.9415435 145.0003272)
17722853.0,POINT (-37.9340828 145.0029361)
17722856.0,POINT (-37.9343677 145.0029261)
17742401.0,POINT (-37.9379437 145.0017146)
17745342.0,POINT (-37.9395122 145.0000718)
17746099.0,POINT (-37.935726 145.000777)
16495481.0,POINT (-37.7094899 144.9500203)
17637796.0,POINT (-37.7092633 144.9407157)
17693412.0,POINT (-37.7147526 144.9428536)
17711487.0,POINT (-37.7053368 144.9494705)
17731426.0,POINT (-37.7061086 144.9381764)
17741009.0,POINT (-37.7136421 144.9384253)
17753387.0,POINT (-37.7150199 144.951499)
17751433.0,POINT (-38.0400692 145.2765291)
17748819.0,POINT (-38.0288722 145.256864)
17740581.0,POINT (-38.0410863 145.2815449)
17753482.0,POINT (-38.0283331 145.2747878)
17691996.0,POINT (-38.0369461 145.2699853)
17697643.0,POINT (-38.0256325 145.2507823)
17697643.0,POINT (-38.0256325 145.2507823)
17708899.0,POINT (-38.033277 145.2539809)
17710705.0,POINT (-38.0319143 145.2826387)
17722933.0,POINT (-38.0446973 145.2760175)
14750485.0,POINT (-38.0291638 145.2494008)
14750485.0,POINT (-38.0291638 145.2494008)
17601503.0,POINT (-38.0245773 145.2709208)
17652297.0,POINT (-38.0217587 145.2543169)
17661262.0,POINT (-38.0338857 145.2626843)
17682859.0,POINT (-38.0316997 145.2657719)
17684617.0,POINT (-38.034096 145.2727639)
17687385.0,POINT (-38.0408369 145.2725631)
17687385.0,POINT (-38.0408369 145.2725631)
17730760.0,POINT (-38.0339416 145.2767295)
17730980.0,POINT (-38.0394211 145.2796842)
17731132.0,POINT (-38.0262998 145.2548938)
17739763.0,POINT (-38.0236373 145.2679431)
17739763.0,POINT (-38.0236373 145.2679431)
17741742.0,POINT (-38.0347471 145.2619417)
17742926.0,POINT (-38.0418312 145.2547198)
17742926.0,POINT (-38.0418312 145.2547198)
17746139.0,POINT (-38.047533 145.2812492)
17747614.0,POINT (-38.0411395 145.2813972)
17599119.0,POINT (-38.0252503 145.2628718)
17707758.0,POINT (-38.0430979 145.26151)
17724572.0,POINT (-38.047876 145.2747904)
17731166.0,POINT (-38.0310244 145.2677481)
17739386.0,POINT (-38.0297838 145.2645472)
17757652.0,POINT (-38.044018 145.2796236)
17757652.0,POINT (-38.044018 145.2796236)
17704483.0,POINT (-38.2993297 145.1786644)
17704483.0,POINT (-38.2993297 145.1786644)
17714801.0,POINT (-38.3087488 145.1731679)
17714801.0,POINT (-38.3087488 145.1731679)
17717798.0,POINT (-38.317312 145.1889658)
17717798.0,POINT (-38.317312 145.1889658)
17731653.0,POINT (-38.297294 145.189776)
17731653.0,POINT (-38.297294 145.189776)
17742607.0,POINT (-38.298665 145.1760736)
17742607.0,POINT (-38.298665 145.1760736)
17718037.0,POINT (-37.8153023 145.0210218)
17718037.0,POINT (-37.8153023 145.0210218)
17740571.0,POINT (-37.8294207 145.041515)
17740571.0,POINT (-37.8294207 145.041515)
17744678.0,POINT (-37.8368785 145.0388974)
17729325.0,POINT (-37.825176 145.0346134)
17729882.0,POINT (-37.8201328 145.0233679)
17737663.0,POINT (-37.8162943 145.0249547)
17743289.0,POINT (-37.81394179999999 145.0208809)
8473867.0,POINT (-37.8226997 145.0429826)
17688662.0,POINT (-37.8285808 145.0283194)
8431399.0,POINT (-37.8282208 145.032328)
8431400.0,POINT (-37.8227434 145.0429424)
16511390.0,POINT (-37.8128149 145.0176067)
17595576.0,POINT (-37.8222156 145.0300354)
17653942.0,POINT (-37.8288232 145.0349047)
17671125.0,POINT (-37.8216563 145.034712)
10319565.0,POINT (-37.8274015 145.0344618)
16364366.0,POINT (-37.822733 145.0302228)
16700502.0,POINT (-37.8234875 145.0356476)
16700502.0,POINT (-37.8234875 145.0356476)
17647092.0,POINT (-37.8221338 145.0328928)
17646526.0,POINT (-37.8256607 145.044648)
17690471.0,POINT (-37.8222156 145.0300354)
17736933.0,POINT (-37.82161139999999 145.0343038)
17742768.0,POINT (-37.8282698 145.0287069)
16727942.0,POINT (-37.8307674 145.0340628)
17689990.0,POINT (-37.8240672 145.0377441)
17710602.0,POINT (-37.8157152 145.0272454)
13624699.0,POINT (-37.823106 145.034398)
17737429.0,POINT (-37.821917 145.024144)
17756237.0,POINT (-37.8261701 145.0344512)
16661239.0,POINT (-37.8247968 145.0255221)
16661239.0,POINT (-37.8247968 145.0255221)
17737966.0,POINT (-37.8175576 145.0193093)
17304099.0,POINT (-37.8234875 145.0356476)
17690496.0,POINT (-37.82695289999999 145.034289)
17706862.0,POINT (-37.8212572 145.0223916)
17758111.0,POINT (-37.8265868 145.044476)
17750041.0,POINT (-37.8293982 145.041268)
17750899.0,POINT (-37.8233283 145.0233911)
17751702.0,POINT (-37.8249217 145.0341578)
17752346.0,POINT (-37.8222152 145.0300306)
17752868.0,POINT (-37.822267 145.0299581)
17754364.0,POINT (-37.8265348 145.0256969)
17755669.0,POINT (-37.8286461 145.0346359)
17757390.0,POINT (-37.8267693 145.0343698)
17757955.0,POINT (-37.8256306 145.0253058)
17749114.0,POINT (-38.3121813 145.1921058)
17749114.0,POINT (-38.3121813 145.1921058)
17212480.0,POINT (-38.3025847 145.1871631)
17690289.0,POINT (-38.3051612 145.1879699)
17690289.0,POINT (-38.3051612 145.1879699)
17722225.0,POINT (-38.2996249 145.174538)
17722225.0,POINT (-38.2996249 145.174538)
17748882.0,POINT (-38.2991979 145.1693006)
16925849.0,POINT (-37.8303864 145.0482579)
16925849.0,POINT (-37.8303864 145.0482579)
