property_id,coordinates
17602320.0,POINT (-36.3534998 145.3853058)
17602320.0,POINT (-36.3534998 145.3853058)
17610744.0,POINT (-36.3672457 145.4040485)
17610744.0,POINT (-36.3672457 145.4040485)
17387237.0,POINT (-36.38816449999999 145.4033653)
17387237.0,POINT (-36.38816449999999 145.4033653)
17642919.0,POINT (-36.4015711 145.3981071)
17642919.0,POINT (-36.4015711 145.3981071)
15411948.0,POINT (-36.359495 145.4037479)
17652073.0,POINT (-36.3627934 145.4132515)
12294043.0,POINT (-36.371301 145.3985766)
17663144.0,POINT (-36.3627934 145.4132515)
17665654.0,POINT (-36.3751828 145.4027226)
17702367.0,POINT (-36.37477080000001 145.405042)
17706886.0,POINT (-36.3584119 145.378633)
17706886.0,POINT (-36.3584119 145.378633)
17714046.0,POINT (-36.3627934 145.4132515)
17714046.0,POINT (-36.3627934 145.4132515)
16490241.0,POINT (-36.362006 145.4009057)
17718160.0,POINT (-36.3697577 145.4119086)
17721636.0,POINT (-36.3534998 145.3853058)
17721639.0,POINT (-36.3925623 145.4056544)
17722608.0,POINT (-36.369093 145.4008571)
17733021.0,POINT (-36.3601259 145.3845896)
17735585.0,POINT (-36.404865 145.4213911)
17735585.0,POINT (-36.404865 145.4213911)
17737278.0,POINT (-36.3917419 145.4046883)
17737488.0,POINT (-36.4039872 145.4224765)
16367717.0,POINT (-36.3890352 145.4087897)
17746109.0,POINT (-36.3636358 145.4015534)
17749038.0,POINT (-36.40028960000001 145.4161666)
17749097.0,POINT (-36.3619825 145.3984862)
17749447.0,POINT (-36.3978575 145.4159591)
17750057.0,POINT (-36.3624781 145.394951)
17750057.0,POINT (-36.3624781 145.394951)
17750152.0,POINT (-36.3990444 145.4196053)
12920316.0,POINT (-36.3634858 145.4086182)
17419216.0,POINT (-36.4010406 145.4129862)
17751286.0,POINT (-36.3985623 145.4190908)
17751917.0,POINT (-36.4069317 145.421574)
17753400.0,POINT (-36.3694454 145.4034772)
17758348.0,POINT (-36.35989110000001 145.3842534)
17736833.0,POINT (-37.6306795 145.0846378)
17717019.0,POINT (-37.829696 144.9856614)
17732350.0,POINT (-37.8267241 144.95949)
17756221.0,POINT (-37.8328382 144.9714747)
17704107.0,POINT (-37.652033 145.088159)
17072937.0,POINT (-37.6266476 145.0674841)
17731003.0,POINT (-37.844869 144.9967423)
17722774.0,POINT (-37.8319526 144.9547333)
17723332.0,POINT (-37.8330054 144.9666827)
17727861.0,POINT (-37.83031390000001 144.9465471)
17680727.0,POINT (-37.8363781 144.9939543)
17750060.0,POINT (-37.8331046 144.9697118)
15304562.0,POINT (-37.8349052 144.9699958)
17743935.0,POINT (-37.8403385 145.0041811)
17753908.0,POINT (-37.82498510000001 144.9615874)
